cell_id,Ramphocelus flammigerus,Ramphocelus flammigerus flammigerus,Ramphocelus flammigerus icteronotus,Ramphocelus flammigerus flammigerus x icteronotus
826607fffffffff,7.0,0.0,0.0,0.0
82660ffffffffff,1112.0,0.0,294.0,0.0
826617fffffffff,964.0,0.0,315.0,0.0
82661ffffffffff,16523.0,1804.0,2879.0,0.0
8266a7fffffffff,4712.0,0.0,1261.0,0.0
8266affffffffff,1.0,0.0,0.0,0.0
8266b7fffffffff,4.0,0.0,0.0,0.0
8266c7fffffffff,1042.0,15.0,15.0,0.0
8266d7fffffffff,18034.0,14.0,8593.0,0.0
8266e7fffffffff,4294.0,456.0,126.0,0.0
8266f7fffffffff,13323.0,1125.0,2692.0,0.0
82679ffffffffff,1.0,0.0,0.0,0.0
828f0ffffffffff,1282.0,0.0,659.0,0.0
828f27fffffffff,31.0,0.0,11.0,0.0
828f2ffffffffff,1760.0,0.0,595.0,0.0
828f77fffffffff,106.0,0.0,25.0,0.0
