cell_id,Aplopelia larvata,Aplopelia larvata inornata,Aplopelia larvata principalis,Aplopelia larvata simplex,Aplopelia larvata larvata/bronzina
825287fffffffff,1.0,0.0,0.0,0.0,0.0
82529ffffffffff,21.0,0.0,0.0,0.0,0.0
8258c7fffffffff,3.0,0.0,0.0,0.0,0.0
8258d7fffffffff,18.0,14.0,0.0,0.0,0.0
826a4ffffffffff,1.0,0.0,0.0,0.0,0.0
826a6ffffffffff,5.0,0.0,0.0,0.0,0.0
826ac7fffffffff,8.0,0.0,0.0,0.0,0.0
826acffffffffff,3.0,0.0,0.0,0.0,0.0
826adffffffffff,30.0,0.0,0.0,0.0,0.0
8275a7fffffffff,4.0,0.0,0.0,0.0,0.0
827a47fffffffff,36.0,0.0,0.0,0.0,0.0
827a4ffffffffff,9.0,0.0,0.0,0.0,0.0
827a67fffffffff,22.0,0.0,0.0,0.0,0.0
827a6ffffffffff,40.0,0.0,0.0,0.0,0.0
827acffffffffff,141.0,0.0,0.0,0.0,0.0
827aeffffffffff,4.0,0.0,0.0,0.0,0.0
827b4ffffffffff,22.0,0.0,0.0,0.0,0.0
82828ffffffffff,98.0,20.0,0.0,0.0,0.0
8282affffffffff,4.0,2.0,0.0,0.0,0.0
8282c7fffffffff,43.0,0.0,18.0,0.0,0.0
8282d7fffffffff,14.0,5.0,0.0,0.0,0.0
8282e7fffffffff,103.0,0.0,0.0,65.0,0.0
82960ffffffffff,8.0,0.0,0.0,0.0,3.0
829637fffffffff,1.0,0.0,0.0,0.0,0.0
829657fffffffff,1.0,0.0,0.0,0.0,1.0
829697fffffffff,71.0,0.0,0.0,0.0,0.0
8296a7fffffffff,6.0,0.0,0.0,0.0,0.0
8296b7fffffffff,28.0,0.0,0.0,0.0,0.0
829707fffffffff,32.0,0.0,0.0,0.0,12.0
82971ffffffffff,17.0,0.0,0.0,0.0,1.0
82972ffffffffff,87.0,0.0,0.0,0.0,26.0
82978ffffffffff,16.0,0.0,0.0,0.0,0.0
8297affffffffff,5.0,0.0,0.0,0.0,0.0
82ad37fffffffff,196.0,0.0,0.0,0.0,28.0
82bc0ffffffffff,5.0,0.0,0.0,0.0,0.0
82bc1ffffffffff,19.0,0.0,0.0,0.0,4.0
82bc47fffffffff,126.0,0.0,0.0,0.0,33.0
82bc57fffffffff,7.0,0.0,0.0,0.0,0.0
82bc6ffffffffff,35.0,0.0,0.0,0.0,9.0
82bc77fffffffff,6.0,0.0,0.0,0.0,0.0
82bc8ffffffffff,2.0,0.0,0.0,0.0,0.0
82bcd7fffffffff,47.0,0.0,0.0,0.0,5.0
82bce7fffffffff,32.0,0.0,0.0,0.0,11.0
82bcf7fffffffff,260.0,0.0,0.0,0.0,70.0
