cell_id,Dryocopus lineatus,Dryocopus lineatus [lineatus Group],Dryocopus lineatus fuscipennis
824507fffffffff,617.0,4.0,0.0
82450ffffffffff,2891.0,206.0,0.0
82451ffffffffff,4.0,1.0,0.0
824527fffffffff,4848.0,0.0,0.0
82452ffffffffff,11031.0,272.0,0.0
824537fffffffff,925.0,0.0,0.0
82456ffffffffff,2.0,0.0,0.0
824577fffffffff,176.0,37.0,0.0
824807fffffffff,47.0,0.0,0.0
82480ffffffffff,166.0,0.0,0.0
824837fffffffff,3393.0,78.0,0.0
8248b7fffffffff,12.0,0.0,0.0
824997fffffffff,1988.0,198.0,0.0
82499ffffffffff,395.0,2.0,0.0
8249a7fffffffff,58.0,0.0,0.0
8249affffffffff,942.0,25.0,0.0
8249b7fffffffff,76.0,0.0,0.0
825f07fffffffff,177.0,9.0,0.0
825f0ffffffffff,272.0,0.0,0.0
825f17fffffffff,111.0,0.0,0.0
825f1ffffffffff,52.0,0.0,0.0
825f27fffffffff,9.0,0.0,0.0
825f2ffffffffff,935.0,0.0,0.0
825f47fffffffff,78.0,2.0,0.0
825f4ffffffffff,48.0,0.0,0.0
825f57fffffffff,23.0,0.0,0.0
825f5ffffffffff,1085.0,0.0,0.0
825f67fffffffff,2.0,0.0,0.0
825f6ffffffffff,25.0,0.0,0.0
825f77fffffffff,123.0,0.0,0.0
826607fffffffff,390.0,0.0,0.0
82660ffffffffff,1942.0,8.0,0.0
826617fffffffff,2731.0,0.0,0.0
82661ffffffffff,5429.0,27.0,0.0
826627fffffffff,1435.0,36.0,0.0
82662ffffffffff,237.0,1.0,0.0
826637fffffffff,291.0,2.0,0.0
826647fffffffff,538.0,3.0,0.0
82664ffffffffff,8.0,0.0,0.0
826657fffffffff,596.0,0.0,0.0
82665ffffffffff,811.0,6.0,0.0
826667fffffffff,71.0,1.0,0.0
82666ffffffffff,38.0,0.0,0.0
826677fffffffff,388.0,0.0,0.0
8266a7fffffffff,5623.0,0.0,0.0
8266affffffffff,1.0,0.0,0.0
8266b7fffffffff,7236.0,0.0,0.0
8266c7fffffffff,2015.0,12.0,0.0
8266cffffffffff,102.0,0.0,0.0
8266d7fffffffff,1893.0,3.0,99.0
8266dffffffffff,1933.0,144.0,0.0
8266e7fffffffff,6332.0,30.0,0.0
8266effffffffff,920.0,0.0,0.0
8266f7fffffffff,3849.0,9.0,0.0
826747fffffffff,267.0,6.0,0.0
82674ffffffffff,321.0,8.0,0.0
826757fffffffff,344.0,0.0,0.0
82675ffffffffff,378.0,5.0,0.0
826797fffffffff,231.0,0.0,0.0
82679ffffffffff,1198.0,0.0,0.0
8267b7fffffffff,12.0,0.0,0.0
826d07fffffffff,520.0,101.0,0.0
826d17fffffffff,567.0,71.0,0.0
826d27fffffffff,647.0,46.0,0.0
826d2ffffffffff,2862.0,93.0,0.0
826d37fffffffff,1822.0,61.0,0.0
826d67fffffffff,1720.0,0.0,0.0
826d6ffffffffff,12054.0,0.0,0.0
826d77fffffffff,358.0,0.0,0.0
82800ffffffffff,4.0,0.0,0.0
828027fffffffff,1.0,0.0,0.0
82802ffffffffff,3.0,0.0,0.0
828047fffffffff,121.0,0.0,0.0
82804ffffffffff,26.0,1.0,0.0
828057fffffffff,19.0,0.0,0.0
828067fffffffff,16.0,0.0,0.0
82806ffffffffff,16.0,0.0,0.0
828077fffffffff,2.0,0.0,0.0
828107fffffffff,17.0,0.0,0.0
82810ffffffffff,10.0,0.0,0.0
828117fffffffff,13.0,2.0,0.0
828127fffffffff,65.0,0.0,0.0
82812ffffffffff,22.0,3.0,0.0
828137fffffffff,203.0,7.0,0.0
828147fffffffff,86.0,0.0,0.0
82814ffffffffff,213.0,0.0,0.0
828157fffffffff,1.0,0.0,0.0
82815ffffffffff,42.0,3.0,0.0
828167fffffffff,33.0,0.0,0.0
828177fffffffff,57.0,0.0,0.0
828187fffffffff,101.0,4.0,0.0
82818ffffffffff,2.0,0.0,0.0
82819ffffffffff,22.0,0.0,0.0
8281a7fffffffff,23.0,4.0,0.0
8281affffffffff,12.0,0.0,0.0
828a07fffffffff,51.0,6.0,0.0
828a17fffffffff,20.0,5.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828a27fffffffff,15.0,0.0,0.0
828a2ffffffffff,2.0,0.0,0.0
828a37fffffffff,5.0,0.0,0.0
828a47fffffffff,301.0,2.0,0.0
828a4ffffffffff,5.0,0.0,0.0
828a57fffffffff,9.0,0.0,0.0
828a5ffffffffff,1.0,1.0,0.0
828a6ffffffffff,445.0,11.0,0.0
828a77fffffffff,11.0,0.0,0.0
828a87fffffffff,56.0,0.0,0.0
828a8ffffffffff,6.0,0.0,0.0
828a97fffffffff,11.0,0.0,0.0
828a9ffffffffff,14.0,0.0,0.0
828aa7fffffffff,2.0,0.0,0.0
828aaffffffffff,78.0,0.0,0.0
828ab7fffffffff,2.0,0.0,0.0
828ad7fffffffff,2.0,0.0,0.0
828adffffffffff,106.0,7.0,0.0
828af7fffffffff,518.0,26.0,0.0
828b07fffffffff,24.0,0.0,0.0
828b0ffffffffff,64.0,0.0,0.0
828b17fffffffff,9.0,0.0,0.0
828b1ffffffffff,5.0,0.0,0.0
828b27fffffffff,250.0,0.0,0.0
828b2ffffffffff,69.0,0.0,0.0
828b37fffffffff,17.0,0.0,0.0
828b47fffffffff,690.0,0.0,0.0
828b4ffffffffff,14.0,3.0,0.0
828b57fffffffff,57.0,1.0,0.0
828b5ffffffffff,38.0,6.0,0.0
828b67fffffffff,626.0,0.0,0.0
828b6ffffffffff,134.0,0.0,0.0
828b77fffffffff,102.0,0.0,0.0
828b87fffffffff,53.0,0.0,0.0
828b8ffffffffff,36.0,0.0,0.0
828b9ffffffffff,292.0,16.0,0.0
828ba7fffffffff,31.0,0.0,0.0
828bb7fffffffff,195.0,2.0,0.0
828e67fffffffff,131.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0
828f0ffffffffff,176.0,0.0,3.0
828f27fffffffff,5.0,0.0,0.0
828f2ffffffffff,425.0,0.0,18.0
828f47fffffffff,394.0,7.0,0.0
828f4ffffffffff,129.0,0.0,0.0
828f57fffffffff,352.0,0.0,0.0
828f5ffffffffff,92.0,0.0,0.0
828f67fffffffff,128.0,0.0,0.0
828f6ffffffffff,70.0,3.0,0.0
828f77fffffffff,667.0,48.0,0.0
82a597fffffffff,35.0,4.0,0.0
82a807fffffffff,356.0,31.0,0.0
82a80ffffffffff,16.0,0.0,0.0
82a817fffffffff,2623.0,82.0,0.0
82a81ffffffffff,1113.0,5.0,0.0
82a827fffffffff,126.0,0.0,0.0
82a82ffffffffff,51.0,0.0,0.0
82a837fffffffff,104.0,3.0,0.0
82a847fffffffff,308.0,21.0,0.0
82a84ffffffffff,1.0,0.0,0.0
82a857fffffffff,25.0,0.0,0.0
82a85ffffffffff,417.0,7.0,0.0
82a867fffffffff,45.0,0.0,0.0
82a877fffffffff,37.0,0.0,0.0
82a887fffffffff,203.0,20.0,0.0
82a88ffffffffff,40.0,0.0,0.0
82a897fffffffff,71.0,8.0,0.0
82a8a7fffffffff,444.0,14.0,0.0
82a8affffffffff,110.0,0.0,0.0
82a8c7fffffffff,100.0,6.0,0.0
82a8cffffffffff,5.0,3.0,0.0
82a8d7fffffffff,80.0,5.0,0.0
82a8dffffffffff,33.0,1.0,0.0
82a8e7fffffffff,14.0,0.0,0.0
82a8effffffffff,31.0,0.0,0.0
82a8f7fffffffff,16.0,1.0,0.0
82a90ffffffffff,27.0,0.0,0.0
82a91ffffffffff,90.0,1.0,0.0
82a92ffffffffff,4.0,0.0,0.0
82a947fffffffff,429.0,0.0,0.0
82a94ffffffffff,9.0,0.0,0.0
82a957fffffffff,1318.0,4.0,0.0
82a95ffffffffff,101.0,0.0,0.0
82a967fffffffff,8.0,0.0,0.0
82a96ffffffffff,13.0,0.0,0.0
82a977fffffffff,93.0,0.0,0.0
82b327fffffffff,36.0,0.0,0.0
82b367fffffffff,9.0,0.0,0.0
