cell_id,Platysteira concreta,Platysteira concreta concreta,Platysteira concreta ansorgei,Platysteira concreta graueri,Platysteira concreta kungwensis
8258d7fffffffff,32.0,0.0,0.0,20.0,0.0
8258dffffffffff,5.0,0.0,0.0,5.0,0.0
826ac7fffffffff,4.0,0.0,0.0,0.0,0.0
826adffffffffff,16.0,0.0,0.0,0.0,0.0
826aeffffffffff,1.0,0.0,0.0,0.0,0.0
82758ffffffffff,2.0,0.0,0.0,0.0,0.0
8275a7fffffffff,5.0,0.0,0.0,0.0,0.0
8275affffffffff,6.0,0.0,0.0,0.0,0.0
8275b7fffffffff,8.0,0.0,0.0,0.0,0.0
827a4ffffffffff,73.0,0.0,0.0,0.0,0.0
82828ffffffffff,97.0,0.0,0.0,46.0,0.0
8282a7fffffffff,12.0,0.0,0.0,0.0,0.0
8282affffffffff,14.0,0.0,0.0,5.0,0.0
8282d7fffffffff,35.0,0.0,0.0,18.0,0.0
8282f7fffffffff,2.0,0.0,0.0,0.0,0.0
828317fffffffff,36.0,0.0,17.0,0.0,0.0
828327fffffffff,3.0,0.0,0.0,0.0,0.0
