cell_id,Columba delegorguei,Columba delegorguei sharpei,Columba delegorguei delegorguei
837a40fffffffff,1.0,0.0,0.0
837a45fffffffff,228.0,0.0,0.0
837a48fffffffff,9.0,0.0,0.0
837a4cfffffffff,29.0,0.0,0.0
837a4dfffffffff,2.0,0.0,0.0
837a60fffffffff,1.0,0.0,0.0
837a61fffffffff,1.0,0.0,0.0
837a65fffffffff,7.0,0.0,0.0
837a68fffffffff,3.0,0.0,0.0
837a6bfffffffff,3.0,0.0,0.0
837a6cfffffffff,2.0,0.0,0.0
837a6efffffffff,10.0,0.0,0.0
837b48fffffffff,22.0,0.0,0.0
837b4bfffffffff,98.0,0.0,0.0
839692fffffffff,57.0,0.0,0.0
839693fffffffff,32.0,0.0,0.0
8396b0fffffffff,12.0,0.0,0.0
8396b2fffffffff,8.0,0.0,0.0
8396b5fffffffff,19.0,0.0,0.0
8396b6fffffffff,3.0,0.0,0.0
839700fffffffff,2.0,0.0,0.0
839702fffffffff,14.0,0.0,0.0
839703fffffffff,23.0,0.0,0.0
839711fffffffff,7.0,0.0,0.0
83971cfffffffff,26.0,0.0,0.0
83bcf0fffffffff,140.0,0.0,1.0
83bcf4fffffffff,7.0,0.0,0.0
83bcf5fffffffff,3.0,0.0,0.0
