cell_id,Ptilinopus superbus,Ptilinopus superbus temminckii,Ptilinopus superbus superbus
8468c81ffffffff,72.0,11.0,0.0
8468c8bffffffff,7.0,0.0,0.0
8468ca9ffffffff,26.0,6.0,0.0
8468ce7ffffffff,3.0,0.0,0.0
8468d05ffffffff,2.0,0.0,0.0
8468d23ffffffff,2.0,2.0,0.0
8468d29ffffffff,1.0,0.0,0.0
8468d2bffffffff,130.0,50.0,0.0
8468d85ffffffff,21.0,11.0,0.0
8468d87ffffffff,2.0,0.0,0.0
8468ddbffffffff,5.0,0.0,0.0
8472895ffffffff,2.0,0.0,0.0
84728e1ffffffff,1.0,0.0,0.0
84729dbffffffff,6.0,0.0,0.0
8472a07ffffffff,2.0,0.0,0.0
8472a2bffffffff,63.0,0.0,0.0
8472a31ffffffff,2.0,0.0,0.0
8472ae3ffffffff,28.0,0.0,0.0
8472b03ffffffff,2.0,0.0,0.0
8472c91ffffffff,2.0,0.0,0.0
8472d23ffffffff,46.0,0.0,0.0
8472d3dffffffff,3.0,0.0,0.0
8472d59ffffffff,2.0,0.0,0.0
8472d93ffffffff,2.0,0.0,0.0
8472d97ffffffff,3.0,0.0,0.0
8472db3ffffffff,22.0,0.0,0.0
8472dbbffffffff,43.0,0.0,0.0
8472f23ffffffff,27.0,0.0,0.0
8472f37ffffffff,2.0,0.0,0.0
8473901ffffffff,9.0,0.0,2.0
8473905ffffffff,5.0,0.0,0.0
8473907ffffffff,6.0,0.0,0.0
847390bffffffff,17.0,0.0,0.0
847390dffffffff,2.0,0.0,0.0
84739a9ffffffff,1.0,0.0,0.0
84739abffffffff,4.0,0.0,0.0
84739b1ffffffff,22.0,0.0,0.0
84739b5ffffffff,1.0,0.0,0.0
847683bffffffff,2.0,0.0,0.0
8476845ffffffff,1.0,0.0,0.0
847699dffffffff,2.0,0.0,0.0
84769d1ffffffff,11.0,0.0,0.0
849500bffffffff,6.0,2.0,0.0
8495217ffffffff,2.0,0.0,0.0
8495419ffffffff,3.0,0.0,0.0
8495449ffffffff,37.0,0.0,0.0
849544bffffffff,4.0,0.0,0.0
849545bffffffff,6.0,0.0,0.0
8495613ffffffff,19.0,0.0,0.0
8495661ffffffff,2.0,0.0,0.0
84956a3ffffffff,4.0,0.0,0.0
84956a5ffffffff,15.0,0.0,0.0
84956b5ffffffff,2.0,0.0,0.0
84956bdffffffff,95.0,0.0,0.0
84956c5ffffffff,2.0,0.0,0.0
849c003ffffffff,3.0,0.0,0.0
849c009ffffffff,15.0,0.0,0.0
849c00bffffffff,2.0,0.0,0.0
849c055ffffffff,5.0,0.0,0.0
849c059ffffffff,2.0,0.0,0.0
849c05dffffffff,77.0,0.0,0.0
849c0edffffffff,2.0,0.0,0.0
849c191ffffffff,444.0,0.0,0.0
849c19dffffffff,12.0,0.0,0.0
849c203ffffffff,33.0,0.0,0.0
849c207ffffffff,4.0,0.0,0.0
849c20bffffffff,14.0,0.0,0.0
849c215ffffffff,113.0,0.0,0.0
849c231ffffffff,302.0,0.0,0.0
849c233ffffffff,2.0,0.0,0.0
849c237ffffffff,757.0,0.0,0.0
849c239ffffffff,378.0,0.0,0.0
849c23bffffffff,8.0,0.0,0.0
849c251ffffffff,12.0,0.0,0.0
849c255ffffffff,1.0,0.0,0.0
849c257ffffffff,2.0,0.0,0.0
849c259ffffffff,31.0,0.0,0.0
849c85bffffffff,77.0,0.0,1.0
849c8b5ffffffff,4.0,0.0,0.0
849c8bdffffffff,1.0,0.0,0.0
849c8e7ffffffff,1.0,0.0,0.0
849c901ffffffff,5.0,0.0,0.0
849c90dffffffff,1.0,0.0,0.0
849c993ffffffff,70.0,0.0,0.0
849c997ffffffff,54.0,0.0,0.0
849c9d1ffffffff,4.0,0.0,0.0
849c9d5ffffffff,2.0,0.0,0.0
849ca65ffffffff,6.0,0.0,0.0
849cb51ffffffff,16.0,0.0,0.0
849cb59ffffffff,4.0,0.0,0.0
849cd31ffffffff,54.0,0.0,0.0
849cd33ffffffff,47.0,0.0,0.0
849cf39ffffffff,4.0,0.0,0.0
849cf3bffffffff,3.0,0.0,0.0
849cf53ffffffff,32.0,0.0,0.0
849d013ffffffff,7.0,0.0,0.0
849d01bffffffff,2.0,0.0,0.0
849d0b5ffffffff,3.0,0.0,0.0
849d0b7ffffffff,3.0,0.0,0.0
849d0bdffffffff,2.0,0.0,0.0
849d0c1ffffffff,1.0,0.0,0.0
849d0c5ffffffff,26.0,0.0,0.0
849d0cdffffffff,52.0,0.0,0.0
849d0e1ffffffff,2.0,0.0,0.0
849d0e9ffffffff,11.0,0.0,0.0
849d0edffffffff,2.0,0.0,0.0
849ed33ffffffff,1.0,0.0,0.0
849ed8dffffffff,6.0,0.0,0.0
849eda7ffffffff,12.0,0.0,0.0
849edebffffffff,1.0,0.0,0.0
84be887ffffffff,5.0,0.0,0.0
84be88bffffffff,2.0,0.0,0.0
84be8d7ffffffff,1.0,0.0,0.0
84bea91ffffffff,5.0,0.0,0.0
84bea95ffffffff,4.0,0.0,1.0
84bea97ffffffff,7.0,0.0,0.0
84beab3ffffffff,4.0,0.0,0.0
84beabbffffffff,29.0,0.0,0.0
84bef61ffffffff,1.0,0.0,0.0
84bef6dffffffff,4.0,0.0,0.0
