cell_id,Leistes loyca,Leistes loyca obscurus,Leistes loyca [loyca Group]
84b2003ffffffff,6.0,0.0,0.0
84b2015ffffffff,31.0,0.0,0.0
84b2037ffffffff,4.0,0.0,0.0
84b2039ffffffff,35.0,0.0,0.0
84b2081ffffffff,2.0,0.0,0.0
84b2095ffffffff,1.0,0.0,0.0
84b20a5ffffffff,5.0,0.0,0.0
84b20a7ffffffff,4.0,0.0,0.0
84b20adffffffff,2.0,0.0,0.0
84b20b3ffffffff,3.0,0.0,0.0
84b20b7ffffffff,6.0,0.0,0.0
84b20e7ffffffff,4.0,0.0,0.0
84b2191ffffffff,746.0,0.0,0.0
84b2193ffffffff,22.0,0.0,0.0
84b2195ffffffff,32.0,0.0,0.0
84b2197ffffffff,424.0,0.0,0.0
84b219bffffffff,19.0,0.0,0.0
84b219dffffffff,55.0,0.0,0.0
84b21bbffffffff,265.0,0.0,0.0
84b21d7ffffffff,7.0,0.0,0.0
84b21d9ffffffff,38.0,0.0,0.0
84b21dbffffffff,11.0,0.0,0.0
84b21ddffffffff,99.0,0.0,0.0
84b2293ffffffff,3.0,0.0,0.0
84b2297ffffffff,8.0,0.0,0.0
84b22dbffffffff,2.0,0.0,0.0
84b2405ffffffff,1.0,0.0,0.0
84b2423ffffffff,20.0,0.0,0.0
84b242bffffffff,2.0,0.0,0.0
84b2435ffffffff,19.0,0.0,0.0
84b243dffffffff,44.0,0.0,0.0
84b2463ffffffff,1.0,0.0,0.0
84b24a5ffffffff,2.0,0.0,0.0
84b24b1ffffffff,2.0,0.0,0.0
84b2525ffffffff,11.0,0.0,0.0
84b2527ffffffff,3.0,0.0,0.0
84b2581ffffffff,1.0,0.0,0.0
84b2583ffffffff,6.0,0.0,0.0
84b2585ffffffff,14.0,0.0,0.0
84b2587ffffffff,5.0,0.0,0.0
84b2589ffffffff,104.0,0.0,0.0
84b258bffffffff,13.0,0.0,0.0
84b258dffffffff,6.0,0.0,0.0
84b25a1ffffffff,5.0,0.0,0.0
84b25a7ffffffff,4.0,0.0,0.0
84b25a9ffffffff,9.0,0.0,0.0
84b25abffffffff,1.0,0.0,0.0
84b25b1ffffffff,1.0,0.0,0.0
84b25b5ffffffff,1.0,0.0,0.0
84b25b7ffffffff,2.0,0.0,0.0
84b25b9ffffffff,34.0,0.0,0.0
84b25bbffffffff,2.0,0.0,0.0
84b25bdffffffff,5.0,0.0,0.0
84b25c1ffffffff,27.0,0.0,0.0
84b25c3ffffffff,48.0,0.0,0.0
84b25c7ffffffff,1.0,0.0,0.0
84b25c9ffffffff,73.0,0.0,0.0
84b25cbffffffff,379.0,0.0,0.0
84b25cdffffffff,55.0,0.0,0.0
84b25d5ffffffff,5.0,0.0,0.0
84b25ddffffffff,2.0,0.0,0.0
84b25e3ffffffff,12.0,0.0,0.0
84b25e7ffffffff,9.0,0.0,0.0
84b25ebffffffff,2.0,0.0,0.0
84b2709ffffffff,1.0,0.0,0.0
84b2723ffffffff,3.0,0.0,0.0
84b2c01ffffffff,93.0,0.0,0.0
84b2c03ffffffff,108.0,0.0,0.0
84b2c05ffffffff,154.0,0.0,0.0
84b2c07ffffffff,57.0,0.0,0.0
84b2c09ffffffff,106.0,0.0,0.0
84b2c0bffffffff,257.0,0.0,0.0
84b2c0dffffffff,1917.0,0.0,0.0
84b2c11ffffffff,154.0,0.0,0.0
84b2c15ffffffff,254.0,0.0,0.0
84b2c17ffffffff,31.0,0.0,0.0
84b2c19ffffffff,3.0,0.0,0.0
84b2c1dffffffff,62.0,0.0,0.0
84b2c2bffffffff,202.0,0.0,0.0
84b2c31ffffffff,54.0,0.0,0.0
84b2c33ffffffff,46.0,0.0,0.0
84b2c35ffffffff,260.0,0.0,0.0
84b2c37ffffffff,17.0,0.0,0.0
84b2c39ffffffff,377.0,0.0,0.0
84b2c3bffffffff,110.0,0.0,0.0
84b2c3dffffffff,151.0,0.0,0.0
84b2c41ffffffff,1624.0,0.0,0.0
84b2c43ffffffff,201.0,0.0,0.0
84b2c45ffffffff,71.0,0.0,0.0
84b2c47ffffffff,685.0,0.0,0.0
84b2c49ffffffff,175.0,0.0,0.0
84b2c4bffffffff,253.0,0.0,0.0
84b2c4dffffffff,396.0,0.0,0.0
84b2c51ffffffff,2177.0,0.0,0.0
84b2c53ffffffff,594.0,0.0,0.0
84b2c55ffffffff,1083.0,0.0,0.0
84b2c57ffffffff,284.0,0.0,0.0
84b2c59ffffffff,2.0,0.0,0.0
84b2c5bffffffff,2.0,0.0,0.0
84b2c5dffffffff,2549.0,0.0,0.0
84b2c81ffffffff,10.0,0.0,0.0
84b2c83ffffffff,4.0,0.0,0.0
84b2c85ffffffff,22.0,0.0,0.0
84b2c89ffffffff,7.0,0.0,0.0
84b2c8bffffffff,23.0,0.0,0.0
84b2c8dffffffff,31.0,0.0,0.0
84b2ca3ffffffff,5.0,0.0,0.0
84b2ca7ffffffff,48.0,0.0,0.0
84b2ca9ffffffff,39.0,0.0,0.0
84b2cadffffffff,2.0,0.0,0.0
84b2cb5ffffffff,3.0,0.0,0.0
84b2cc7ffffffff,6.0,0.0,0.0
84b2ccbffffffff,3.0,0.0,0.0
84b2cd1ffffffff,2.0,0.0,0.0
84b2cddffffffff,24.0,0.0,0.0
84b2ce1ffffffff,2.0,0.0,0.0
84b2ce3ffffffff,32.0,0.0,0.0
84b2ce5ffffffff,19.0,0.0,0.0
84b2ce7ffffffff,12.0,0.0,0.0
84b2ce9ffffffff,44.0,0.0,0.0
84b2cebffffffff,7.0,0.0,0.0
84b2cedffffffff,17.0,0.0,0.0
84b2d81ffffffff,71.0,0.0,0.0
84b2d83ffffffff,3.0,0.0,0.0
84b2d87ffffffff,232.0,0.0,0.0
84b2d89ffffffff,29.0,0.0,0.0
84b2d8bffffffff,2.0,0.0,0.0
84b2d91ffffffff,8.0,0.0,0.0
84b2d93ffffffff,1.0,0.0,0.0
84b2d95ffffffff,8.0,0.0,0.0
84b2d97ffffffff,34.0,0.0,0.0
84b2d9dffffffff,37.0,0.0,0.0
84b2da3ffffffff,159.0,0.0,0.0
84b2dabffffffff,182.0,0.0,0.0
84b2db1ffffffff,17.0,0.0,0.0
84b2db3ffffffff,24.0,0.0,0.0
84b2db7ffffffff,10.0,0.0,0.0
84b2db9ffffffff,21.0,0.0,0.0
84b2dbbffffffff,22.0,0.0,0.0
84b2dbdffffffff,10.0,0.0,0.0
84b2dc1ffffffff,2.0,0.0,0.0
84b2dc3ffffffff,87.0,0.0,0.0
84b2dcbffffffff,180.0,0.0,0.0
84b2dd1ffffffff,103.0,0.0,0.0
84b2dd3ffffffff,10.0,0.0,0.0
84b2dd5ffffffff,44.0,0.0,0.0
84b2dd7ffffffff,3.0,0.0,0.0
84b2dd9ffffffff,136.0,0.0,0.0
84b2ddbffffffff,111.0,0.0,0.0
84b2dddffffffff,15.0,0.0,0.0
84b2e07ffffffff,2.0,0.0,0.0
84b2e0dffffffff,41.0,0.0,0.0
84b2e11ffffffff,4.0,0.0,0.0
84b2e13ffffffff,2.0,0.0,0.0
84b2e1bffffffff,15.0,0.0,0.0
84b2e1dffffffff,9.0,0.0,0.0
84b2e21ffffffff,165.0,0.0,0.0
84b2e23ffffffff,32.0,0.0,0.0
84b2e27ffffffff,606.0,0.0,0.0
84b2e29ffffffff,70.0,0.0,0.0
84b2e2bffffffff,21.0,0.0,0.0
84b2e2dffffffff,298.0,0.0,0.0
84b2e33ffffffff,7.0,0.0,0.0
84b2e35ffffffff,50.0,0.0,0.0
84b2e37ffffffff,17.0,0.0,0.0
84b2e3dffffffff,63.0,0.0,0.0
84b2e41ffffffff,2.0,0.0,0.0
84b2e45ffffffff,17.0,0.0,0.0
84b2e4dffffffff,9.0,0.0,0.0
84b2e61ffffffff,1.0,0.0,0.0
84b2e63ffffffff,7.0,0.0,0.0
84b2e65ffffffff,82.0,0.0,0.0
84b2e67ffffffff,28.0,0.0,0.0
84b2e69ffffffff,30.0,0.0,0.0
84b2e6bffffffff,18.0,0.0,0.0
84b2e6dffffffff,205.0,0.0,0.0
84b2e85ffffffff,84.0,0.0,0.0
84b2e8dffffffff,17.0,0.0,0.0
84b2ea1ffffffff,1.0,0.0,0.0
84b2ea3ffffffff,11.0,0.0,0.0
84b2ea5ffffffff,1.0,0.0,0.0
84b2ea7ffffffff,14.0,0.0,0.0
84b2ea9ffffffff,20.0,0.0,0.0
84b2eabffffffff,2.0,0.0,0.0
84b2eadffffffff,15.0,0.0,0.0
84b2eb3ffffffff,2.0,0.0,0.0
84b2eb5ffffffff,3.0,0.0,0.0
84b2eb7ffffffff,10.0,0.0,0.0
84b2ebbffffffff,1.0,0.0,0.0
84b2ec1ffffffff,6.0,0.0,0.0
84b2ec5ffffffff,27.0,0.0,0.0
84b2ec7ffffffff,55.0,0.0,0.0
84b2ec9ffffffff,1.0,0.0,0.0
84b2ecbffffffff,2.0,0.0,0.0
84b2ecdffffffff,6.0,0.0,0.0
84b2ee1ffffffff,56.0,0.0,0.0
84b2ee3ffffffff,14.0,0.0,0.0
84b2ee7ffffffff,11.0,0.0,0.0
84b2ee9ffffffff,18.0,0.0,0.0
84b2eebffffffff,101.0,0.0,0.0
84b2eedffffffff,5.0,0.0,0.0
84b3515ffffffff,21.0,0.0,0.0
84b3517ffffffff,17.0,0.0,0.0
84b3519ffffffff,15.0,0.0,0.0
84b353bffffffff,3.0,0.0,0.0
84b3551ffffffff,2.0,0.0,0.0
84b3553ffffffff,43.0,0.0,0.0
84b355dffffffff,2.0,0.0,0.0
84b35a1ffffffff,9.0,0.0,0.0
84b35a5ffffffff,10.0,0.0,0.0
84b35a7ffffffff,31.0,0.0,0.0
84b35adffffffff,23.0,0.0,0.0
84b35e5ffffffff,23.0,0.0,0.0
84c203bffffffff,5.0,0.0,0.0
84c2053ffffffff,23.0,0.0,0.0
84c205bffffffff,8.0,0.0,0.0
84c21d1ffffffff,7.0,0.0,0.0
84c21d5ffffffff,14.0,0.0,0.0
84c21d9ffffffff,17.0,0.0,0.0
84c21ddffffffff,33.0,0.0,0.0
84c2213ffffffff,45.0,0.0,0.0
84c2217ffffffff,38.0,0.0,0.0
84c2281ffffffff,26.0,0.0,0.0
84c2283ffffffff,2.0,0.0,0.0
84c2287ffffffff,8.0,0.0,0.0
84c22a1ffffffff,43.0,0.0,0.0
84c22a5ffffffff,8.0,0.0,0.0
84c22a7ffffffff,3.0,0.0,0.0
84c22a9ffffffff,16.0,0.0,0.0
84c22abffffffff,55.0,0.0,0.0
84c22adffffffff,75.0,0.0,0.0
84c22b9ffffffff,12.0,0.0,0.0
84c22c1ffffffff,2.0,0.0,0.0
84c22c3ffffffff,1.0,0.0,0.0
84c22c5ffffffff,1.0,0.0,0.0
84c22cbffffffff,4.0,0.0,0.0
84c22cdffffffff,3.0,0.0,0.0
84c22e1ffffffff,30.0,0.0,0.0
84c22e5ffffffff,5.0,0.0,0.0
84c22e7ffffffff,17.0,0.0,0.0
84c22e9ffffffff,2.0,0.0,0.0
84c22ebffffffff,2.0,0.0,0.0
84c22edffffffff,7.0,0.0,0.0
84c2e09ffffffff,2.0,0.0,0.0
84c2e31ffffffff,3.0,0.0,0.0
84c2e57ffffffff,1.0,0.0,0.0
