cell_id,Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus [brunneicapillus Group],Campylorhynchus brunneicapillus [affinis Group]
8226d7fffffffff,84.0,0.0,0.0
8226dffffffffff,176.0,0.0,0.0
822987fffffffff,993.0,0.0,0.0
822997fffffffff,689.0,0.0,0.0
8229a7fffffffff,13338.0,0.0,0.0
8229affffffffff,1906.0,0.0,0.0
8229b7fffffffff,5303.0,0.0,0.0
824807fffffffff,412.0,0.0,3.0
82480ffffffffff,1072.0,0.0,1.0
824817fffffffff,554.0,0.0,0.0
82481ffffffffff,26.0,0.0,0.0
824827fffffffff,1170.0,0.0,25.0
82482ffffffffff,2261.0,0.0,33.0
824837fffffffff,1.0,0.0,0.0
824847fffffffff,169.0,0.0,0.0
82484ffffffffff,68.0,0.0,0.0
824857fffffffff,705.0,0.0,0.0
82485ffffffffff,1163.0,0.0,0.0
824877fffffffff,888.0,0.0,8.0
824887fffffffff,4064.0,0.0,0.0
82488ffffffffff,3983.0,0.0,0.0
824897fffffffff,127.0,0.0,0.0
82489ffffffffff,206.0,0.0,0.0
8248a7fffffffff,766.0,0.0,0.0
8248affffffffff,4285.0,0.0,0.0
8248b7fffffffff,2721.0,0.0,0.0
8248c7fffffffff,14949.0,0.0,0.0
8248cffffffffff,111.0,0.0,0.0
8248d7fffffffff,465.0,0.0,0.0
8248dffffffffff,918.0,0.0,0.0
8248e7fffffffff,684.0,0.0,0.0
8248effffffffff,56255.0,0.0,0.0
8248f7fffffffff,2532.0,0.0,0.0
824987fffffffff,908.0,9.0,0.0
82498ffffffffff,519.0,0.0,0.0
824997fffffffff,649.0,0.0,0.0
82499ffffffffff,61.0,0.0,0.0
8249affffffffff,7.0,0.0,0.0
