cell_id,Actinodura ramsayi,Actinodura ramsayi radcliffei/yunnanensis,Actinodura ramsayi ramsayi
846482bffffffff,1.0,0.0,0.0
8464911ffffffff,12.0,0.0,0.0
8464983ffffffff,4.0,0.0,0.0
