cell_id,Neotis denhami,Neotis denhami denhami,Neotis denhami jacksoni,Neotis denhami stanleyi
82544ffffffffff,2.0,0.0,0.0,0.0
82585ffffffffff,2.0,0.0,0.0,0.0
8258a7fffffffff,7.0,0.0,0.0,0.0
82599ffffffffff,1.0,0.0,0.0,0.0
826a5ffffffffff,1.0,0.0,0.0,0.0
826ac7fffffffff,2.0,2.0,0.0,0.0
826aeffffffffff,175.0,14.0,0.0,0.0
826b37fffffffff,2.0,0.0,0.0,0.0
827527fffffffff,21.0,4.0,0.0,0.0
827537fffffffff,2.0,0.0,0.0,0.0
827a47fffffffff,3.0,0.0,0.0,0.0
827a6ffffffffff,1.0,0.0,0.0,0.0
828387fffffffff,1.0,0.0,0.0,0.0
82960ffffffffff,4.0,0.0,0.0,0.0
829617fffffffff,1.0,0.0,0.0,0.0
82962ffffffffff,3.0,0.0,1.0,0.0
829677fffffffff,15.0,0.0,0.0,0.0
829697fffffffff,1.0,0.0,0.0,0.0
8296a7fffffffff,43.0,0.0,11.0,0.0
8296e7fffffffff,1.0,0.0,0.0,0.0
829747fffffffff,4.0,0.0,0.0,0.0
82974ffffffffff,3.0,0.0,0.0,0.0
829757fffffffff,1.0,0.0,0.0,0.0
82975ffffffffff,4.0,0.0,0.0,0.0
82bc0ffffffffff,6.0,0.0,0.0,0.0
82bc47fffffffff,19.0,0.0,0.0,2.0
82bc4ffffffffff,1.0,0.0,0.0,1.0
82bc57fffffffff,7.0,0.0,0.0,0.0
82bc6ffffffffff,449.0,0.0,0.0,128.0
82bc77fffffffff,52.0,0.0,0.0,4.0
82bcc7fffffffff,14.0,0.0,0.0,8.0
82bcd7fffffffff,46.0,0.0,0.0,19.0
82bcdffffffffff,3.0,0.0,0.0,2.0
82bce7fffffffff,91.0,0.0,0.0,30.0
82bcf7fffffffff,149.0,0.0,0.0,50.0
