cell_id,Sporophila morelleti,Sporophila morelleti sharpei,Sporophila morelleti morelleti
824507fffffffff,2742.0,0.0,0.0
82450ffffffffff,3220.0,0.0,0.0
82451ffffffffff,201.0,0.0,0.0
824527fffffffff,16726.0,0.0,0.0
82452ffffffffff,29059.0,0.0,0.0
824537fffffffff,1997.0,0.0,0.0
82456ffffffffff,4.0,0.0,0.0
824577fffffffff,232.0,0.0,0.0
824887fffffffff,1610.0,0.0,0.0
8248a7fffffffff,217.0,0.0,0.0
8248b7fffffffff,58.0,0.0,0.0
824997fffffffff,3689.0,0.0,0.0
82499ffffffffff,362.0,0.0,0.0
8266a7fffffffff,336.0,0.0,0.0
8266b7fffffffff,4916.0,0.0,0.0
826797fffffffff,373.0,0.0,0.0
82679ffffffffff,662.0,0.0,0.0
8267b7fffffffff,5.0,0.0,0.0
826d07fffffffff,447.0,0.0,0.0
826d27fffffffff,2585.0,0.0,0.0
826d2ffffffffff,8987.0,0.0,0.0
826d37fffffffff,5494.0,0.0,0.0
826d67fffffffff,3645.0,0.0,0.0
826d6ffffffffff,13612.0,0.0,0.0
826d77fffffffff,1748.0,0.0,0.0
