cell_id,Cercotrichas galactotes,Cercotrichas galactotes [galactotes Group],Cercotrichas galactotes minor/hamertoni
841eca5ffffffff,18.0,7.0,0.0
841ecadffffffff,7.0,2.0,0.0
841ecbbffffffff,2.0,2.0,0.0
841ecd5ffffffff,3.0,3.0,0.0
841ece5ffffffff,9.0,3.0,0.0
841ece7ffffffff,4.0,3.0,0.0
841ed91ffffffff,11.0,3.0,0.0
841ed93ffffffff,15.0,9.0,0.0
841ed9bffffffff,5.0,0.0,0.0
841eda3ffffffff,23.0,8.0,0.0
841eda7ffffffff,2.0,0.0,0.0
84200a1ffffffff,8.0,0.0,0.0
84200a7ffffffff,10.0,4.0,0.0
84200adffffffff,5.0,2.0,0.0
84200e3ffffffff,2.0,1.0,0.0
842010dffffffff,1.0,0.0,0.0
8420161ffffffff,9.0,2.0,0.0
8420165ffffffff,1.0,1.0,0.0
842016bffffffff,13.0,2.0,0.0
8420199ffffffff,5.0,3.0,0.0
84201d3ffffffff,5.0,5.0,0.0
8420a43ffffffff,3.0,0.0,0.0
8420b15ffffffff,2.0,0.0,0.0
8420b39ffffffff,1.0,0.0,0.0
8420b3bffffffff,5.0,3.0,0.0
8420e39ffffffff,2.0,0.0,0.0
8421837ffffffff,1.0,0.0,0.0
8421897ffffffff,2.0,0.0,0.0
84218b3ffffffff,18.0,0.0,0.0
84218bbffffffff,2.0,2.0,0.0
8421981ffffffff,9.0,7.0,0.0
8421983ffffffff,9.0,1.0,0.0
84219c9ffffffff,7.0,7.0,0.0
84219cbffffffff,1.0,0.0,0.0
84219e5ffffffff,2.0,0.0,0.0
8421b59ffffffff,2.0,0.0,0.0
8425b1dffffffff,3.0,2.0,0.0
842c003ffffffff,58.0,32.0,0.0
842c007ffffffff,3.0,3.0,0.0
842c00bffffffff,2.0,0.0,0.0
842c01dffffffff,1.0,0.0,0.0
842c035ffffffff,11.0,11.0,0.0
842c037ffffffff,3.0,3.0,0.0
842c039ffffffff,2.0,2.0,0.0
842c03dffffffff,6.0,0.0,0.0
842c043ffffffff,59.0,23.0,0.0
842c055ffffffff,2.0,0.0,0.0
842c057ffffffff,6.0,4.0,0.0
842c059ffffffff,3.0,3.0,0.0
842c065ffffffff,2.0,2.0,0.0
842c0a7ffffffff,2.0,0.0,0.0
842c0b3ffffffff,1.0,1.0,0.0
842c0b5ffffffff,2.0,2.0,0.0
842c0b7ffffffff,6.0,6.0,0.0
842c0c1ffffffff,18.0,0.0,0.0
842c0c7ffffffff,3.0,0.0,0.0
842c0c9ffffffff,2.0,0.0,0.0
842c0cbffffffff,1.0,0.0,0.0
842c101ffffffff,1.0,1.0,0.0
842c103ffffffff,2.0,0.0,0.0
842c105ffffffff,1.0,1.0,0.0
842c107ffffffff,2.0,2.0,0.0
842c10bffffffff,4.0,0.0,0.0
842c11dffffffff,2.0,0.0,0.0
842c123ffffffff,2.0,2.0,0.0
842c129ffffffff,2.0,2.0,0.0
842c13bffffffff,6.0,0.0,0.0
842c141ffffffff,1.0,1.0,0.0
