cell_id,Schiffornis veraepacis,Schiffornis veraepacis [veraepacis Group],Schiffornis veraepacis rosenbergi
834501fffffffff,23.0,0.0,0.0
834505fffffffff,59.0,0.0,0.0
834508fffffffff,8.0,0.0,0.0
83450afffffffff,2.0,0.0,0.0
83450cfffffffff,24.0,0.0,0.0
83450efffffffff,17.0,0.0,0.0
834520fffffffff,84.0,10.0,0.0
834521fffffffff,674.0,10.0,0.0
834522fffffffff,128.0,12.0,0.0
834523fffffffff,1228.0,23.0,0.0
834525fffffffff,9.0,0.0,0.0
834528fffffffff,739.0,34.0,0.0
83452afffffffff,1009.0,105.0,0.0
83452bfffffffff,38.0,0.0,0.0
83452cfffffffff,573.0,62.0,0.0
83452dfffffffff,344.0,51.0,0.0
83452efffffffff,6356.0,375.0,0.0
834530fffffffff,19.0,0.0,0.0
834531fffffffff,43.0,0.0,0.0
834532fffffffff,45.0,3.0,0.0
834534fffffffff,7.0,0.0,0.0
834535fffffffff,2.0,0.0,0.0
834536fffffffff,116.0,0.0,0.0
836611fffffffff,3.0,0.0,0.0
83661afffffffff,3.0,0.0,0.0
83661bfffffffff,7.0,0.0,0.0
83661cfffffffff,7.0,0.0,0.0
83661efffffffff,3.0,0.0,0.0
8366a0fffffffff,466.0,45.0,0.0
8366a3fffffffff,38.0,0.0,0.0
8366a5fffffffff,355.0,34.0,0.0
8366b0fffffffff,203.0,0.0,0.0
8366b1fffffffff,9.0,0.0,0.0
8366b4fffffffff,571.0,0.0,0.0
8366b5fffffffff,195.0,0.0,0.0
8366b6fffffffff,2.0,0.0,0.0
8366d0fffffffff,265.0,0.0,10.0
8366d2fffffffff,21.0,0.0,9.0
8366d3fffffffff,272.0,0.0,90.0
8366d5fffffffff,5.0,0.0,0.0
8366f0fffffffff,120.0,0.0,0.0
836794fffffffff,2.0,0.0,0.0
836796fffffffff,88.0,0.0,0.0
83679afffffffff,29.0,0.0,0.0
83679bfffffffff,6.0,0.0,0.0
836d21fffffffff,57.0,15.0,0.0
836d22fffffffff,6.0,0.0,0.0
836d2cfffffffff,437.0,83.0,0.0
836d2dfffffffff,91.0,50.0,0.0
836d31fffffffff,11.0,3.0,0.0
836d35fffffffff,4.0,0.0,0.0
836d65fffffffff,12.0,0.0,0.0
836d68fffffffff,450.0,0.0,0.0
836d69fffffffff,1023.0,0.0,0.0
836d6dfffffffff,56.0,0.0,0.0
838f08fffffffff,2.0,0.0,0.0
838f0dfffffffff,300.0,0.0,74.0
838f29fffffffff,13.0,0.0,0.0
838f2afffffffff,30.0,0.0,6.0
838f2bfffffffff,1.0,0.0,0.0
838f2cfffffffff,46.0,0.0,0.0
