cell_id,Thryothorus ludovicianus,Thryothorus ludovicianus [ludovicianus Group],Thryothorus ludovicianus [berlandieri Group],Thryothorus ludovicianus albinucha/subfulvus
8426015ffffffff,6.0,0.0,0.0,0.0
8426017ffffffff,30.0,0.0,0.0,0.0
8426033ffffffff,4.0,0.0,0.0,0.0
8426039ffffffff,11.0,1.0,0.0,0.0
842603bffffffff,14.0,0.0,0.0,0.0
8426083ffffffff,6.0,0.0,0.0,0.0
8426085ffffffff,315.0,4.0,0.0,0.0
8426087ffffffff,80.0,0.0,0.0,0.0
842608bffffffff,8.0,0.0,0.0,0.0
842608dffffffff,7.0,0.0,0.0,0.0
8426091ffffffff,4.0,0.0,0.0,0.0
8426093ffffffff,12.0,0.0,0.0,0.0
8426095ffffffff,10.0,0.0,0.0,0.0
8426097ffffffff,10.0,0.0,0.0,0.0
8426099ffffffff,5.0,0.0,0.0,0.0
842609bffffffff,21.0,0.0,0.0,0.0
842609dffffffff,5.0,0.0,0.0,0.0
84260a1ffffffff,280.0,0.0,0.0,0.0
84260a3ffffffff,7.0,0.0,0.0,0.0
84260a7ffffffff,6.0,0.0,0.0,0.0
84260a9ffffffff,82.0,0.0,0.0,0.0
84260abffffffff,18.0,0.0,0.0,0.0
84260adffffffff,29.0,0.0,0.0,0.0
84260b1ffffffff,43.0,0.0,0.0,0.0
84260b3ffffffff,285.0,0.0,0.0,0.0
84260b5ffffffff,36.0,0.0,0.0,0.0
84260b7ffffffff,66.0,0.0,0.0,0.0
84260b9ffffffff,461.0,0.0,0.0,0.0
84260bbffffffff,178.0,0.0,0.0,0.0
84260bdffffffff,25.0,0.0,0.0,0.0
84260c9ffffffff,2.0,0.0,0.0,0.0
84260d7ffffffff,1.0,0.0,0.0,0.0
84260d9ffffffff,177.0,0.0,0.0,0.0
84260ddffffffff,3.0,0.0,0.0,0.0
84260e1ffffffff,1.0,0.0,0.0,0.0
84260e3ffffffff,231.0,8.0,0.0,0.0
84260e7ffffffff,9.0,0.0,0.0,0.0
84260e9ffffffff,11.0,0.0,0.0,0.0
84260ebffffffff,6.0,0.0,0.0,0.0
8426183ffffffff,3.0,0.0,0.0,0.0
842618bffffffff,3.0,0.0,0.0,0.0
8426193ffffffff,4.0,0.0,0.0,0.0
8426197ffffffff,5.0,0.0,0.0,0.0
8426199ffffffff,2.0,0.0,0.0,0.0
842619dffffffff,4.0,0.0,0.0,0.0
84261a3ffffffff,1.0,0.0,0.0,0.0
84261abffffffff,4.0,0.0,0.0,0.0
84261b1ffffffff,9.0,0.0,0.0,0.0
84261b3ffffffff,5.0,0.0,0.0,0.0
84261b9ffffffff,2.0,0.0,0.0,0.0
84261bbffffffff,2.0,0.0,0.0,0.0
84261d7ffffffff,1.0,0.0,0.0,0.0
8426291ffffffff,16.0,0.0,0.0,0.0
8426293ffffffff,2.0,0.0,0.0,0.0
84262b3ffffffff,98.0,0.0,0.0,0.0
84262b5ffffffff,2.0,0.0,0.0,0.0
84262b7ffffffff,7.0,0.0,0.0,0.0
84262bbffffffff,1.0,0.0,0.0,0.0
84262d7ffffffff,2.0,0.0,0.0,0.0
84262d9ffffffff,3.0,0.0,0.0,0.0
84262dbffffffff,4.0,0.0,0.0,0.0
8426401ffffffff,70.0,0.0,0.0,0.0
8426403ffffffff,159.0,0.0,0.0,0.0
8426405ffffffff,683.0,0.0,0.0,0.0
8426407ffffffff,131.0,0.0,0.0,0.0
8426409ffffffff,454.0,0.0,0.0,0.0
842640bffffffff,9.0,0.0,0.0,0.0
842640dffffffff,1415.0,0.0,0.0,0.0
8426411ffffffff,250.0,0.0,0.0,0.0
8426413ffffffff,158.0,0.0,0.0,0.0
8426415ffffffff,2187.0,0.0,0.0,0.0
8426417ffffffff,725.0,0.0,0.0,0.0
8426419ffffffff,16.0,0.0,0.0,0.0
842641bffffffff,94.0,0.0,0.0,0.0
842641dffffffff,466.0,0.0,0.0,0.0
8426421ffffffff,243.0,0.0,0.0,0.0
8426423ffffffff,210.0,0.0,0.0,0.0
8426425ffffffff,563.0,0.0,0.0,0.0
8426427ffffffff,103.0,0.0,0.0,0.0
8426429ffffffff,874.0,0.0,0.0,0.0
842642bffffffff,242.0,0.0,0.0,0.0
842642dffffffff,135.0,0.0,0.0,0.0
8426431ffffffff,362.0,0.0,0.0,0.0
8426433ffffffff,973.0,0.0,0.0,0.0
8426435ffffffff,82.0,0.0,0.0,0.0
8426437ffffffff,1013.0,0.0,0.0,0.0
8426439ffffffff,969.0,0.0,0.0,0.0
842643bffffffff,1135.0,0.0,0.0,0.0
842643dffffffff,244.0,0.0,0.0,0.0
8426441ffffffff,12.0,0.0,0.0,0.0
8426443ffffffff,80.0,0.0,0.0,0.0
8426445ffffffff,12.0,0.0,0.0,0.0
8426447ffffffff,4.0,0.0,0.0,0.0
8426449ffffffff,29.0,0.0,0.0,0.0
842644bffffffff,25.0,0.0,0.0,0.0
842644dffffffff,293.0,0.0,0.0,0.0
8426451ffffffff,14.0,0.0,0.0,0.0
8426453ffffffff,13.0,0.0,0.0,0.0
8426455ffffffff,105.0,0.0,0.0,0.0
8426457ffffffff,50.0,0.0,0.0,0.0
8426459ffffffff,176.0,0.0,0.0,0.0
842645bffffffff,29.0,0.0,0.0,0.0
842645dffffffff,45.0,0.0,0.0,0.0
8426461ffffffff,2133.0,0.0,0.0,0.0
8426463ffffffff,6030.0,0.0,0.0,0.0
