cell_id,Myiarchus phaeocephalus,Myiarchus phaeocephalus phaeocephalus,Myiarchus phaeocephalus interior
8466d07ffffffff,2.0,0.0,0.0
8466d23ffffffff,1.0,0.0,0.0
8466d25ffffffff,3.0,0.0,0.0
8466d27ffffffff,1.0,0.0,0.0
848f08bffffffff,12.0,0.0,0.0
848f093ffffffff,5.0,0.0,0.0
848f095ffffffff,13.0,0.0,0.0
848f099ffffffff,73.0,10.0,0.0
848f09bffffffff,1.0,0.0,0.0
848f0d1ffffffff,34.0,0.0,0.0
848f0d3ffffffff,245.0,27.0,0.0
848f0d5ffffffff,43.0,0.0,0.0
848f0d7ffffffff,27.0,2.0,0.0
848f0d9ffffffff,6.0,0.0,0.0
848f0dbffffffff,5.0,0.0,0.0
848f0ddffffffff,19.0,0.0,0.0
848f285ffffffff,7.0,0.0,0.0
848f287ffffffff,21.0,0.0,0.0
848f289ffffffff,2.0,0.0,0.0
848f28dffffffff,35.0,5.0,0.0
848f295ffffffff,6.0,0.0,0.0
848f2a1ffffffff,11.0,0.0,0.0
848f2a3ffffffff,28.0,0.0,0.0
848f2a7ffffffff,3.0,0.0,0.0
848f2a9ffffffff,269.0,5.0,0.0
848f2abffffffff,74.0,0.0,0.0
848f2b5ffffffff,2.0,0.0,0.0
848f2b7ffffffff,1.0,0.0,0.0
848f2b9ffffffff,105.0,16.0,0.0
848f2bbffffffff,30.0,0.0,0.0
848f2bdffffffff,246.0,18.0,0.0
848f2c3ffffffff,2.0,0.0,0.0
848f2cdffffffff,4.0,0.0,0.0
848f2e3ffffffff,58.0,9.0,0.0
848f2e7ffffffff,13.0,2.0,0.0
848f2ebffffffff,7.0,0.0,0.0
848f501ffffffff,35.0,0.0,0.0
848f505ffffffff,2.0,0.0,0.0
848f509ffffffff,30.0,0.0,0.0
848f50dffffffff,39.0,0.0,0.0
848f545ffffffff,40.0,0.0,0.0
848f547ffffffff,3.0,0.0,0.0
848f549ffffffff,12.0,0.0,0.0
848f54bffffffff,55.0,0.0,0.0
848f54dffffffff,10.0,0.0,0.0
848f553ffffffff,2.0,0.0,0.0
848f559ffffffff,10.0,0.0,0.0
848f55dffffffff,12.0,0.0,0.0
848f705ffffffff,2.0,0.0,0.0
848f723ffffffff,3.0,0.0,0.0
848f725ffffffff,2.0,2.0,0.0
848f727ffffffff,7.0,0.0,0.0
848f729ffffffff,2.0,0.0,0.0
848f733ffffffff,1.0,0.0,0.0
848f735ffffffff,9.0,0.0,0.0
848f737ffffffff,3.0,0.0,0.0
