cell_id,Pardipicus caroli,Pardipicus caroli arizelus,Pardipicus caroli caroli
825887fffffffff,1.0,0.0,0.0
826a9ffffffffff,6.0,0.0,0.0
826ac7fffffffff,287.0,0.0,32.0
826acffffffffff,61.0,0.0,2.0
826adffffffffff,2.0,0.0,0.0
826aeffffffffff,122.0,0.0,4.0
82750ffffffffff,73.0,3.0,0.0
82752ffffffffff,9.0,2.0,0.0
8275affffffffff,5.0,0.0,0.0
8275b7fffffffff,5.0,0.0,0.0
827a4ffffffffff,134.0,0.0,0.0
82821ffffffffff,3.0,0.0,0.0
828287fffffffff,6.0,0.0,0.0
82828ffffffffff,68.0,0.0,0.0
828297fffffffff,4.0,0.0,0.0
8282a7fffffffff,7.0,0.0,0.0
8282affffffffff,20.0,0.0,0.0
8282b7fffffffff,1.0,0.0,0.0
8282f7fffffffff,1.0,0.0,0.0
828317fffffffff,10.0,0.0,0.0
82831ffffffffff,4.0,0.0,0.0
82839ffffffffff,2.0,0.0,0.0
8283affffffffff,5.0,0.0,0.0
82960ffffffffff,5.0,0.0,0.0
829657fffffffff,2.0,0.0,1.0
