cell_id,Ammospiza nelsoni,Ammospiza nelsoni nelsoni/altera,Ammospiza nelsoni subvirgata
830e80fffffffff,119.0,0.0,0.0
830e86fffffffff,1.0,0.0,0.0
830e8dfffffffff,2.0,0.0,0.0
830ec0fffffffff,3.0,1.0,0.0
830ec1fffffffff,27.0,0.0,0.0
830ec4fffffffff,2.0,0.0,0.0
830ec5fffffffff,2.0,0.0,0.0
830eccfffffffff,660.0,0.0,0.0
830ee2fffffffff,1.0,0.0,0.0
830eeafffffffff,1754.0,3.0,0.0
830eebfffffffff,36.0,0.0,0.0
830ef0fffffffff,10.0,0.0,0.0
830ef1fffffffff,3.0,0.0,0.0
831213fffffffff,1.0,0.0,0.0
831218fffffffff,8.0,0.0,0.0
83121bfffffffff,2.0,0.0,0.0
83121efffffffff,22.0,0.0,0.0
83124bfffffffff,18.0,0.0,0.0
83124dfffffffff,1.0,0.0,0.0
831250fffffffff,4.0,0.0,0.0
831251fffffffff,102.0,6.0,0.0
831252fffffffff,13.0,0.0,0.0
831253fffffffff,34.0,4.0,0.0
831254fffffffff,2.0,0.0,0.0
831258fffffffff,5.0,0.0,0.0
831259fffffffff,101.0,0.0,0.0
83125afffffffff,10.0,2.0,0.0
83125bfffffffff,22.0,0.0,0.0
83125dfffffffff,4.0,0.0,0.0
83125efffffffff,2.0,0.0,0.0
831276fffffffff,1.0,0.0,0.0
8312c1fffffffff,231.0,12.0,0.0
8312c5fffffffff,1.0,0.0,0.0
8312ccfffffffff,294.0,32.0,0.0
8312e1fffffffff,60.0,0.0,0.0
8312e2fffffffff,2.0,0.0,0.0
8312e5fffffffff,2.0,0.0,0.0
8312e8fffffffff,11.0,1.0,0.0
8312eafffffffff,118.0,9.0,0.0
8312ecfffffffff,393.0,21.0,0.0
8312edfffffffff,2.0,0.0,0.0
8312eefffffffff,9.0,0.0,0.0
831352fffffffff,2.0,0.0,0.0
832601fffffffff,7.0,5.0,0.0
832603fffffffff,1.0,0.0,0.0
832605fffffffff,3.0,0.0,0.0
832606fffffffff,1.0,0.0,0.0
832608fffffffff,2.0,0.0,0.0
832609fffffffff,2.0,0.0,0.0
83260afffffffff,23.0,0.0,0.0
83260bfffffffff,3.0,0.0,0.0
83260dfffffffff,3.0,0.0,0.0
83260efffffffff,4.0,0.0,0.0
832620fffffffff,16.0,0.0,0.0
832621fffffffff,8.0,0.0,0.0
832622fffffffff,2.0,0.0,0.0
832623fffffffff,11.0,0.0,0.0
832624fffffffff,5.0,0.0,0.0
832625fffffffff,5.0,0.0,0.0
832626fffffffff,19.0,3.0,0.0
832628fffffffff,8.0,0.0,0.0
83262bfffffffff,19.0,4.0,0.0
83262cfffffffff,33.0,2.0,0.0
83262efffffffff,2.0,0.0,0.0
832630fffffffff,5.0,0.0,0.0
832634fffffffff,413.0,71.0,0.0
832635fffffffff,16.0,5.0,0.0
832636fffffffff,10.0,0.0,0.0
832640fffffffff,7.0,0.0,0.0
832644fffffffff,2.0,0.0,0.0
832646fffffffff,80.0,2.0,0.0
832650fffffffff,3.0,0.0,0.0
832652fffffffff,19.0,8.0,0.0
832653fffffffff,1.0,0.0,0.0
832654fffffffff,6.0,0.0,0.0
832655fffffffff,62.0,0.0,0.0
832656fffffffff,12.0,0.0,0.0
832660fffffffff,4.0,0.0,0.0
832661fffffffff,12.0,0.0,0.0
832662fffffffff,8.0,0.0,0.0
832663fffffffff,5.0,0.0,0.0
832664fffffffff,264.0,0.0,0.0
832665fffffffff,5.0,0.0,0.0
832666fffffffff,14.0,0.0,0.0
83266efffffffff,11.0,0.0,0.0
832671fffffffff,4.0,0.0,0.0
832672fffffffff,3.0,0.0,0.0
832674fffffffff,24.0,6.0,0.0
832676fffffffff,2.0,0.0,0.0
8326e2fffffffff,3.0,0.0,0.0
8326e5fffffffff,128.0,8.0,0.0
8326e6fffffffff,1.0,0.0,0.0
8326ecfffffffff,1.0,0.0,0.0
832702fffffffff,164.0,0.0,0.0
832703fffffffff,8.0,0.0,0.0
83270bfffffffff,2.0,0.0,0.0
83270efffffffff,18.0,0.0,0.0
832710fffffffff,6.0,0.0,0.0
832711fffffffff,53.0,0.0,0.0
832712fffffffff,5.0,0.0,0.0
832713fffffffff,230.0,0.0,0.0
832716fffffffff,4.0,0.0,0.0
832718fffffffff,129.0,14.0,0.0
832719fffffffff,38.0,2.0,0.0
83271afffffffff,25.0,2.0,0.0
83271bfffffffff,37.0,23.0,0.0
83271cfffffffff,4.0,0.0,0.0
83271dfffffffff,48.0,0.0,0.0
83271efffffffff,2.0,0.0,0.0
832756fffffffff,22.0,4.0,0.0
832759fffffffff,119.0,2.0,0.0
83275bfffffffff,2.0,0.0,0.0
832780fffffffff,1.0,0.0,0.0
832784fffffffff,11.0,0.0,0.0
832785fffffffff,44.0,0.0,0.0
832786fffffffff,47.0,0.0,0.0
83278cfffffffff,1.0,1.0,0.0
83278dfffffffff,1.0,0.0,0.0
8327a0fffffffff,36.0,0.0,0.0
8327a1fffffffff,15.0,0.0,0.0
8327a2fffffffff,27.0,0.0,0.0
8327a3fffffffff,11.0,0.0,0.0
8327a4fffffffff,13.0,0.0,0.0
8327a5fffffffff,2.0,0.0,0.0
8327a6fffffffff,37.0,0.0,0.0
8327a8fffffffff,125.0,49.0,0.0
8327a9fffffffff,28.0,2.0,0.0
8327aafffffffff,3.0,0.0,0.0
8327abfffffffff,7.0,0.0,0.0
8327acfffffffff,30.0,0.0,0.0
8327adfffffffff,149.0,42.0,0.0
8327aefffffffff,94.0,2.0,0.0
8327b0fffffffff,2.0,0.0,0.0
8327b1fffffffff,8.0,0.0,0.0
8327b3fffffffff,3.0,0.0,0.0
8327b5fffffffff,10.0,0.0,0.0
832a06fffffffff,22.0,5.0,11.0
832a10fffffffff,507.0,0.0,29.0
832a13fffffffff,228.0,23.0,54.0
832a14fffffffff,86.0,0.0,0.0
832a15fffffffff,91.0,0.0,12.0
832a1afffffffff,2.0,0.0,0.0
832a30fffffffff,247.0,9.0,41.0
832a31fffffffff,124.0,22.0,33.0
832a33fffffffff,170.0,30.0,23.0
832a34fffffffff,1686.0,0.0,547.0
832a92fffffffff,2.0,0.0,0.0
832a94fffffffff,2.0,0.0,0.0
832a95fffffffff,2.0,0.0,0.0
832a9cfffffffff,2.0,0.0,0.0
832aa4fffffffff,86.0,37.0,0.0
832aa9fffffffff,396.0,93.0,56.0
832aadfffffffff,672.0,115.0,123.0
832ab0fffffffff,44.0,0.0,0.0
832ab2fffffffff,1.0,0.0,0.0
832ab3fffffffff,9.0,0.0,0.0
832ac6fffffffff,2.0,0.0,0.0
832ad0fffffffff,31.0,1.0,0.0
832ad1fffffffff,113.0,2.0,0.0
832ad3fffffffff,145.0,0.0,0.0
832ad5fffffffff,89.0,0.0,0.0
832af0fffffffff,17.0,2.0,0.0
832af1fffffffff,327.0,13.0,0.0
832af3fffffffff,13.0,3.0,0.0
832af4fffffffff,1.0,0.0,1.0
832af6fffffffff,593.0,66.0,66.0
832b00fffffffff,383.0,0.0,8.0
832b01fffffffff,91.0,0.0,22.0
832b02fffffffff,3.0,0.0,0.0
832b03fffffffff,266.0,0.0,42.0
832b05fffffffff,216.0,0.0,9.0
832b06fffffffff,82.0,0.0,0.0
832b0afffffffff,1234.0,0.0,146.0
832b0cfffffffff,589.0,0.0,91.0
832b0efffffffff,139.0,0.0,19.0
832b12fffffffff,852.0,1.0,0.0
832b14fffffffff,4.0,0.0,0.0
832b15fffffffff,2.0,0.0,0.0
832b16fffffffff,240.0,2.0,0.0
832b18fffffffff,626.0,0.0,81.0
832b19fffffffff,214.0,0.0,5.0
832b1afffffffff,355.0,0.0,79.0
832b1bfffffffff,70.0,0.0,8.0
832b1cfffffffff,50.0,0.0,0.0
832b1dfffffffff,71.0,0.0,8.0
832b21fffffffff,2.0,0.0,0.0
