cell_id,Thryothorus ludovicianus,Thryothorus ludovicianus [ludovicianus Group],Thryothorus ludovicianus [berlandieri Group],Thryothorus ludovicianus albinucha/subfulvus
830e49fffffffff,2.0,0.0,0.0,0.0
830e4dfffffffff,7.0,0.0,0.0,0.0
832600fffffffff,2.0,0.0,0.0,0.0
832601fffffffff,6.0,0.0,0.0,0.0
832603fffffffff,8.0,0.0,0.0,0.0
832605fffffffff,3.0,0.0,0.0,0.0
832608fffffffff,4.0,0.0,0.0,0.0
83260afffffffff,2.0,2.0,0.0,0.0
832611fffffffff,5.0,0.0,0.0,0.0
832619fffffffff,2.0,0.0,0.0,0.0
832620fffffffff,1.0,0.0,0.0,0.0
832621fffffffff,17.0,0.0,0.0,0.0
832624fffffffff,1.0,0.0,0.0,0.0
832626fffffffff,17.0,0.0,0.0,0.0
83262afffffffff,3.0,0.0,0.0,0.0
83262cfffffffff,116.0,1.0,0.0,0.0
83262dfffffffff,50.0,0.0,0.0,0.0
83262efffffffff,2.0,0.0,0.0,0.0
832640fffffffff,15.0,1.0,0.0,0.0
832641fffffffff,2.0,0.0,0.0,0.0
832642fffffffff,4.0,0.0,0.0,0.0
832643fffffffff,6.0,0.0,0.0,0.0
832644fffffffff,3.0,0.0,0.0,0.0
832645fffffffff,1.0,0.0,0.0,0.0
832646fffffffff,23.0,0.0,0.0,0.0
832648fffffffff,26.0,24.0,0.0,0.0
832649fffffffff,1.0,0.0,0.0,0.0
83264afffffffff,17.0,13.0,0.0,0.0
83264bfffffffff,4.0,4.0,0.0,0.0
83264cfffffffff,35.0,33.0,0.0,0.0
83264dfffffffff,11.0,9.0,0.0,0.0
83264efffffffff,31.0,20.0,0.0,0.0
832653fffffffff,4.0,0.0,0.0,0.0
832654fffffffff,1.0,0.0,0.0,0.0
832655fffffffff,3.0,0.0,0.0,0.0
832656fffffffff,24.0,2.0,0.0,0.0
832659fffffffff,15.0,1.0,0.0,0.0
83265afffffffff,1.0,0.0,0.0,0.0
83265bfffffffff,4.0,0.0,0.0,0.0
83265dfffffffff,4.0,4.0,0.0,0.0
832661fffffffff,3.0,3.0,0.0,0.0
832662fffffffff,2.0,0.0,0.0,0.0
832663fffffffff,1.0,1.0,0.0,0.0
832664fffffffff,51.0,0.0,0.0,0.0
832666fffffffff,40.0,0.0,0.0,0.0
832669fffffffff,9.0,0.0,0.0,0.0
83266afffffffff,2.0,1.0,0.0,0.0
83266bfffffffff,1.0,0.0,0.0,0.0
83266dfffffffff,6.0,0.0,0.0,0.0
83266efffffffff,1.0,0.0,0.0,0.0
832671fffffffff,1.0,1.0,0.0,0.0
832672fffffffff,2.0,2.0,0.0,0.0
832674fffffffff,3.0,0.0,0.0,0.0
832675fffffffff,4.0,0.0,0.0,0.0
832681fffffffff,30.0,0.0,0.0,0.0
832688fffffffff,116.0,0.0,0.0,0.0
832689fffffffff,15.0,0.0,0.0,0.0
83268cfffffffff,12.0,0.0,0.0,0.0
8326a8fffffffff,15.0,0.0,0.0,0.0
8326a9fffffffff,5.0,0.0,0.0,0.0
8326aafffffffff,10.0,0.0,0.0,0.0
8326aefffffffff,2.0,0.0,0.0,0.0
8326c4fffffffff,2.0,0.0,0.0,0.0
8326c8fffffffff,1.0,0.0,0.0,0.0
8326cbfffffffff,1.0,0.0,0.0,0.0
8326d0fffffffff,3.0,0.0,0.0,0.0
8326d1fffffffff,14.0,0.0,0.0,0.0
8326d3fffffffff,1.0,0.0,0.0,0.0
8326d4fffffffff,3.0,0.0,0.0,0.0
8326d5fffffffff,4.0,0.0,0.0,0.0
8326d6fffffffff,2.0,0.0,0.0,0.0
8326dafffffffff,5.0,0.0,0.0,0.0
8326defffffffff,21.0,0.0,0.0,0.0
8326e2fffffffff,2.0,0.0,0.0,0.0
8326e4fffffffff,5.0,1.0,0.0,0.0
8326e5fffffffff,26.0,0.0,0.0,0.0
8326e6fffffffff,2.0,0.0,0.0,0.0
8326edfffffffff,8.0,0.0,0.0,0.0
