cell_id,Numenius phaeopus,Numenius phaeopus hudsonicus,Numenius phaeopus phaeopus,Numenius phaeopus alboaxillaris,Numenius phaeopus variegatus/rogachevae,Numenius phaeopus [phaeopus Group]
820127fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
820137fffffffff,319.0,0.0,67.0,0.0,0.0,0.0
8202cffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
820747fffffffff,1567.0,0.0,434.0,0.0,0.0,0.0
82074ffffffffff,36.0,0.0,7.0,0.0,0.0,0.0
820757fffffffff,163.0,0.0,55.0,0.0,0.0,0.0
82075ffffffffff,1473.0,0.0,354.0,0.0,0.0,0.0
820767fffffffff,226.0,0.0,90.0,0.0,0.0,0.0
820777fffffffff,730.0,0.0,398.0,0.0,0.0,0.0
820807fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
820817fffffffff,63.0,0.0,9.0,0.0,0.0,0.0
82081ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0
82082ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820837fffffffff,2.0,0.0,1.0,0.0,0.0,0.0
820887fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
82088ffffffffff,30.0,0.0,6.0,0.0,0.0,0.0
820897fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
82089ffffffffff,109.0,0.0,6.0,0.0,0.0,0.0
8208a7fffffffff,6.0,0.0,1.0,0.0,0.0,0.0
8208affffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8208b7fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8208c7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8208cffffffffff,121.0,0.0,17.0,0.0,0.0,0.0
8208d7fffffffff,55.0,0.0,5.0,0.0,0.0,0.0
8208dffffffffff,41.0,0.0,3.0,0.0,0.0,0.0
8208e7fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8208effffffffff,34.0,0.0,3.0,0.0,0.0,0.0
8208f7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
820937fffffffff,23.0,0.0,10.0,0.0,0.0,0.0
82094ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0
82095ffffffffff,25.0,0.0,0.0,0.0,0.0,0.0
820987fffffffff,25.0,0.0,2.0,0.0,0.0,0.0
82098ffffffffff,16.0,0.0,0.0,0.0,0.0,0.0
820997fffffffff,86.0,0.0,11.0,0.0,0.0,0.0
82099ffffffffff,28.0,0.0,2.0,0.0,0.0,0.0
