cell_id,Progne tapera,Progne tapera tapera,Progne tapera fusca
835f03fffffffff,1.0,0.0,0.0
835f06fffffffff,2.0,0.0,0.0
835f08fffffffff,21.0,0.0,0.0
835f09fffffffff,2.0,0.0,0.0
835f0bfffffffff,1.0,0.0,0.0
835f0dfffffffff,1.0,0.0,0.0
835f11fffffffff,5.0,0.0,0.0
835f12fffffffff,41.0,0.0,0.0
835f13fffffffff,26.0,0.0,0.0
835f16fffffffff,2.0,0.0,0.0
835f1cfffffffff,23.0,0.0,0.0
835f1dfffffffff,8.0,0.0,0.0
835f1efffffffff,5.0,0.0,0.0
835f29fffffffff,160.0,0.0,0.0
835f2bfffffffff,118.0,0.0,0.0
835f2dfffffffff,30.0,0.0,0.0
835f40fffffffff,5.0,0.0,0.0
835f41fffffffff,2.0,0.0,0.0
835f42fffffffff,10.0,0.0,0.0
835f43fffffffff,9.0,0.0,0.0
835f46fffffffff,2.0,0.0,0.0
835f48fffffffff,3.0,0.0,0.0
835f49fffffffff,5.0,0.0,0.0
835f4afffffffff,4.0,0.0,0.0
835f4bfffffffff,17.0,0.0,0.0
835f4dfffffffff,2.0,0.0,0.0
835f4efffffffff,2.0,0.0,0.0
835f56fffffffff,2.0,0.0,0.0
835f5dfffffffff,3.0,0.0,0.0
835f68fffffffff,13.0,0.0,0.0
835f71fffffffff,7.0,0.0,0.0
835f75fffffffff,6.0,0.0,0.0
836600fffffffff,4.0,0.0,0.0
836601fffffffff,2.0,0.0,0.0
836602fffffffff,200.0,0.0,0.0
836603fffffffff,4.0,0.0,0.0
836604fffffffff,61.0,0.0,0.0
836605fffffffff,3.0,0.0,0.0
836606fffffffff,176.0,0.0,0.0
836608fffffffff,125.0,0.0,0.0
836609fffffffff,10.0,0.0,0.0
83660afffffffff,68.0,0.0,0.0
83660bfffffffff,331.0,0.0,0.0
83660cfffffffff,62.0,0.0,0.0
83660dfffffffff,29.0,2.0,0.0
83660efffffffff,167.0,0.0,0.0
836610fffffffff,7.0,0.0,0.0
836611fffffffff,86.0,0.0,0.0
836613fffffffff,4.0,0.0,0.0
836615fffffffff,4.0,0.0,0.0
836616fffffffff,15.0,0.0,0.0
836618fffffffff,8.0,0.0,0.0
836619fffffffff,236.0,6.0,0.0
83661afffffffff,5.0,0.0,0.0
83661bfffffffff,28.0,0.0,0.0
83661cfffffffff,20.0,0.0,0.0
83661dfffffffff,9.0,0.0,0.0
83661efffffffff,9.0,0.0,0.0
836620fffffffff,104.0,2.0,0.0
836621fffffffff,34.0,0.0,0.0
836622fffffffff,397.0,14.0,0.0
836623fffffffff,8.0,0.0,0.0
836625fffffffff,21.0,0.0,0.0
836628fffffffff,17.0,0.0,0.0
836629fffffffff,63.0,0.0,4.0
83662bfffffffff,5.0,0.0,0.0
83662cfffffffff,15.0,0.0,0.0
83662dfffffffff,12.0,0.0,0.0
83662efffffffff,21.0,0.0,0.0
836631fffffffff,138.0,0.0,0.0
836641fffffffff,102.0,0.0,0.0
836642fffffffff,3.0,0.0,0.0
836644fffffffff,7.0,0.0,0.0
836645fffffffff,6.0,0.0,0.0
836648fffffffff,2.0,0.0,0.0
83664bfffffffff,2.0,0.0,0.0
83664efffffffff,2.0,0.0,0.0
836650fffffffff,19.0,0.0,0.0
836652fffffffff,165.0,0.0,0.0
836653fffffffff,5.0,0.0,0.0
836654fffffffff,155.0,0.0,0.0
836656fffffffff,115.0,0.0,0.0
83665afffffffff,51.0,0.0,0.0
83665bfffffffff,14.0,0.0,0.0
83665cfffffffff,3.0,0.0,0.0
83665efffffffff,8.0,0.0,0.0
836660fffffffff,4.0,0.0,0.0
836662fffffffff,5.0,0.0,0.0
836663fffffffff,43.0,0.0,0.0
836664fffffffff,8.0,3.0,0.0
83666afffffffff,1.0,0.0,0.0
83666efffffffff,6.0,0.0,0.0
836670fffffffff,9.0,0.0,0.0
836671fffffffff,6.0,0.0,0.0
836672fffffffff,49.0,0.0,0.0
836673fffffffff,32.0,0.0,0.0
836674fffffffff,5.0,0.0,0.0
836675fffffffff,23.0,0.0,0.0
836676fffffffff,2.0,0.0,0.0
8366a5fffffffff,10.0,0.0,0.0
8366c0fffffffff,148.0,0.0,0.0
8366c1fffffffff,15.0,0.0,0.0
8366c2fffffffff,162.0,0.0,0.0
8366c3fffffffff,9.0,2.0,0.0
8366c4fffffffff,38.0,0.0,0.0
8366c5fffffffff,42.0,0.0,0.0
8366c6fffffffff,9.0,0.0,0.0
8366cdfffffffff,3.0,0.0,0.0
8366cefffffffff,70.0,0.0,0.0
8366d0fffffffff,24.0,0.0,0.0
