cell_id,Columba livia,Columba livia (Wild type)
830130fffffffff,103.0,0.0
830131fffffffff,3.0,0.0
830135fffffffff,61.0,0.0
830136fffffffff,1.0,0.0
830588fffffffff,9.0,0.0
830741fffffffff,190.0,62.0
830743fffffffff,52.0,2.0
830744fffffffff,24.0,12.0
830745fffffffff,44.0,24.0
830746fffffffff,11.0,0.0
83074efffffffff,135.0,18.0
830755fffffffff,22.0,1.0
830758fffffffff,21.0,0.0
83075cfffffffff,1.0,0.0
83075dfffffffff,472.0,0.0
83075efffffffff,10.0,0.0
830762fffffffff,85.0,20.0
830763fffffffff,65.0,39.0
830773fffffffff,2.0,0.0
830775fffffffff,4.0,2.0
830800fffffffff,1.0,0.0
830810fffffffff,2.0,0.0
830812fffffffff,2.0,0.0
830814fffffffff,2.0,0.0
830815fffffffff,86.0,0.0
83081efffffffff,2.0,0.0
830829fffffffff,3.0,0.0
83082afffffffff,2.0,0.0
83082bfffffffff,2.0,0.0
830830fffffffff,4.0,0.0
830832fffffffff,2.0,0.0
830833fffffffff,11.0,0.0
830836fffffffff,14.0,0.0
830880fffffffff,47.0,0.0
830882fffffffff,4.0,0.0
830883fffffffff,8.0,0.0
830884fffffffff,10.0,0.0
830885fffffffff,2.0,0.0
830886fffffffff,301.0,0.0
830888fffffffff,9.0,0.0
830889fffffffff,2.0,0.0
83088afffffffff,4.0,0.0
83088bfffffffff,2.0,0.0
83088efffffffff,2.0,0.0
830890fffffffff,2.0,0.0
830893fffffffff,8.0,0.0
830895fffffffff,26.0,0.0
830896fffffffff,23.0,0.0
830898fffffffff,19.0,0.0
830899fffffffff,74.0,0.0
83089afffffffff,89.0,0.0
83089bfffffffff,122.0,0.0
83089dfffffffff,78.0,0.0
83089efffffffff,11.0,0.0
8308a2fffffffff,23.0,0.0
8308a3fffffffff,7.0,0.0
8308a4fffffffff,31.0,0.0
8308a6fffffffff,8.0,0.0
8308adfffffffff,1.0,0.0
8308aefffffffff,3.0,0.0
8308b0fffffffff,3.0,0.0
8308b1fffffffff,18.0,0.0
8308b3fffffffff,6.0,0.0
8308b4fffffffff,14.0,0.0
8308b6fffffffff,13.0,0.0
8308c2fffffffff,3.0,0.0
8308c3fffffffff,20.0,0.0
8308c6fffffffff,1.0,0.0
8308cefffffffff,6.0,0.0
8308d1fffffffff,26.0,0.0
8308d2fffffffff,3.0,0.0
8308d4fffffffff,14.0,0.0
8308d5fffffffff,2.0,0.0
8308d8fffffffff,8.0,0.0
8308dbfffffffff,2.0,0.0
8308e3fffffffff,1.0,0.0
8308e9fffffffff,2.0,0.0
8308ecfffffffff,2.0,0.0
8308edfffffffff,29.0,0.0
8308eefffffffff,1.0,0.0
8308f6fffffffff,2.0,0.0
830958fffffffff,1.0,0.0
830959fffffffff,3.0,0.0
83095afffffffff,2.0,0.0
830980fffffffff,3.0,0.0
830981fffffffff,85.0,0.0
830982fffffffff,69.0,0.0
830983fffffffff,2.0,0.0
830988fffffffff,4.0,0.0
830989fffffffff,8.0,0.0
83098afffffffff,3.0,0.0
83098bfffffffff,3.0,0.0
83098cfffffffff,1.0,0.0
830991fffffffff,87.0,0.0
830993fffffffff,13.0,0.0
830998fffffffff,8.0,0.0
830999fffffffff,259.0,0.0
83099afffffffff,2.0,0.0
83099bfffffffff,88.0,0.0
83099efffffffff,6.0,0.0
8309a0fffffffff,168.0,49.0
8309a4fffffffff,319.0,71.0
8309a5fffffffff,8.0,5.0
8309a6fffffffff,222.0,68.0
830aa6fffffffff,1.0,0.0
830b9afffffffff,4.0,0.0
830bb0fffffffff,26.0,0.0
830bb4fffffffff,1.0,0.0
830bb6fffffffff,3.0,0.0
830c42fffffffff,871.0,0.0
830c44fffffffff,4.0,0.0
830c45fffffffff,1.0,0.0
830c46fffffffff,50.0,0.0
830c50fffffffff,4.0,0.0
830c51fffffffff,1130.0,0.0
830c55fffffffff,67.0,0.0
830c5afffffffff,153.0,0.0
830c62fffffffff,4.0,0.0
830c64fffffffff,1.0,0.0
830c70fffffffff,6.0,0.0
830c71fffffffff,3.0,0.0
830c73fffffffff,2242.0,0.0
830c74fffffffff,10.0,0.0
830d58fffffffff,2.0,0.0
830d5afffffffff,320.0,0.0
830d5efffffffff,3.0,0.0
830d93fffffffff,8.0,0.0
830e49fffffffff,487.0,0.0
830e4dfffffffff,1210.0,0.0
830e5bfffffffff,14.0,0.0
830ec8fffffffff,2.0,0.0
830ec9fffffffff,68.0,0.0
830ecafffffffff,27.0,0.0
830ecbfffffffff,5.0,0.0
830edbfffffffff,2.0,0.0
831012fffffffff,2.0,0.0
831016fffffffff,6.0,0.0
831020fffffffff,2.0,0.0
831093fffffffff,2.0,0.0
831096fffffffff,2.0,0.0
8310a1fffffffff,4.0,0.0
8310a2fffffffff,2.0,0.0
8310a8fffffffff,4.0,0.0
8310b3fffffffff,1.0,0.0
8310c0fffffffff,1.0,0.0
8310c2fffffffff,171.0,0.0
8310d1fffffffff,2.0,0.0
8310d2fffffffff,4.0,0.0
8310d6fffffffff,1.0,0.0
8310dcfffffffff,16.0,0.0
8310f0fffffffff,23.0,0.0
8310f6fffffffff,1.0,0.0
831100fffffffff,2.0,0.0
831102fffffffff,2.0,0.0
831103fffffffff,6.0,0.0
831104fffffffff,14.0,0.0
831105fffffffff,3.0,0.0
831106fffffffff,626.0,3.0
831115fffffffff,6.0,0.0
831116fffffffff,35.0,0.0
831120fffffffff,3.0,0.0
831122fffffffff,1.0,0.0
831123fffffffff,24.0,0.0
831124fffffffff,9.0,0.0
831125fffffffff,7.0,0.0
831126fffffffff,380.0,0.0
831128fffffffff,1.0,0.0
83112afffffffff,5.0,0.0
83112efffffffff,6.0,0.0
831130fffffffff,2.0,0.0
831131fffffffff,2.0,0.0
831132fffffffff,3.0,0.0
831133fffffffff,4.0,0.0
831134fffffffff,14.0,0.0
831135fffffffff,5.0,0.0
831136fffffffff,54.0,0.0
831154fffffffff,8.0,0.0
831164fffffffff,1.0,0.0
831165fffffffff,6.0,0.0
831180fffffffff,10.0,0.0
831181fffffffff,89.0,0.0
831182fffffffff,2.0,0.0
831183fffffffff,2.0,0.0
831185fffffffff,13.0,0.0
831188fffffffff,1.0,0.0
83118afffffffff,42.0,0.0
83118bfffffffff,4.0,0.0
83118cfffffffff,295.0,0.0
83118dfffffffff,2.0,0.0
83118efffffffff,107.0,0.0
831191fffffffff,1.0,0.0
831196fffffffff,2.0,0.0
831198fffffffff,1.0,0.0
83119cfffffffff,15.0,0.0
83119dfffffffff,2.0,0.0
8311a4fffffffff,4.0,0.0
8311a6fffffffff,25.0,0.0
8311a8fffffffff,3.0,0.0
8311a9fffffffff,1.0,0.0
8311aafffffffff,1380.0,0.0
8311abfffffffff,78.0,0.0
8311aefffffffff,357.0,0.0
8311b4fffffffff,10.0,0.0
83120afffffffff,4.0,0.0
83120cfffffffff,1.0,0.0
831214fffffffff,1.0,0.0
831218fffffffff,44.0,0.0
83121bfffffffff,40.0,0.0
83121efffffffff,12.0,0.0
831243fffffffff,1.0,0.0
831248fffffffff,4.0,0.0
831249fffffffff,5.0,0.0
83124afffffffff,15.0,0.0
83124bfffffffff,16.0,0.0
83124efffffffff,2.0,0.0
831250fffffffff,1.0,0.0
831251fffffffff,75.0,0.0
831252fffffffff,215.0,0.0
831253fffffffff,157.0,0.0
831254fffffffff,3.0,0.0
831256fffffffff,5.0,0.0
831258fffffffff,48.0,0.0
831259fffffffff,1644.0,0.0
83125afffffffff,25.0,0.0
83125bfffffffff,80.0,0.0
83125cfffffffff,2.0,0.0
83125dfffffffff,140.0,0.0
83125efffffffff,32.0,0.0
83126afffffffff,2.0,0.0
83126bfffffffff,6.0,0.0
831272fffffffff,73.0,0.0
831284fffffffff,14.0,0.0
831286fffffffff,130.0,0.0
831288fffffffff,1.0,0.0
831289fffffffff,105.0,0.0
83128dfffffffff,109.0,0.0
831294fffffffff,11.0,0.0
83129bfffffffff,95.0,0.0
83129dfffffffff,5.0,0.0
8312abfffffffff,114.0,0.0
8312b0fffffffff,403.0,0.0
8312b3fffffffff,1.0,0.0
8312b4fffffffff,112.0,0.0
8312b6fffffffff,34.0,0.0
8312c0fffffffff,110.0,0.0
8312c1fffffffff,1093.0,0.0
8312c2fffffffff,25.0,0.0
8312c3fffffffff,28.0,0.0
8312c4fffffffff,3.0,0.0
8312c5fffffffff,23.0,0.0
8312c8fffffffff,720.0,0.0
8312c9fffffffff,617.0,0.0
8312cafffffffff,52.0,0.0
8312cbfffffffff,149.0,0.0
8312ccfffffffff,12825.0,0.0
8312cdfffffffff,387.0,0.0
8312cefffffffff,41.0,0.0
8312d0fffffffff,456.0,0.0
8312d1fffffffff,1526.0,0.0
8312d2fffffffff,21.0,0.0
8312d3fffffffff,135.0,0.0
8312d4fffffffff,5.0,0.0
8312d5fffffffff,14.0,0.0
8312d6fffffffff,57.0,0.0
8312d8fffffffff,359.0,0.0
8312d9fffffffff,246.0,0.0
8312dafffffffff,346.0,0.0
8312dbfffffffff,784.0,0.0
8312dcfffffffff,648.0,0.0
8312ddfffffffff,2334.0,0.0
8312defffffffff,1875.0,0.0
8312e1fffffffff,1370.0,0.0
8312e2fffffffff,25.0,0.0
8312e3fffffffff,59.0,0.0
8312e4fffffffff,5.0,0.0
8312e5fffffffff,37.0,0.0
8312e6fffffffff,3.0,0.0
8312e8fffffffff,113.0,0.0
8312e9fffffffff,11.0,0.0
8312eafffffffff,1068.0,0.0
8312ebfffffffff,181.0,0.0
8312ecfffffffff,3024.0,0.0
8312edfffffffff,57.0,0.0
8312eefffffffff,149.0,0.0
8312f0fffffffff,3.0,0.0
8312f1fffffffff,88.0,0.0
8312f6fffffffff,232.0,0.0
831391fffffffff,99.0,0.0
83139efffffffff,218.0,0.0
831436fffffffff,1.0,0.0
831496fffffffff,2.0,0.0
83149afffffffff,4.0,0.0
8314aefffffffff,243.0,0.0
8314d6fffffffff,5.0,0.0
831586fffffffff,2.0,0.0
831590fffffffff,4.0,0.0
831592fffffffff,24.0,0.0
831598fffffffff,9.0,0.0
83159cfffffffff,1.0,0.0
8315b0fffffffff,2.0,0.0
8315b3fffffffff,3.0,0.0
8315b6fffffffff,3.0,0.0
831616fffffffff,40.0,0.0
83176bfffffffff,12.0,0.0
831788fffffffff,2.0,0.0
831801fffffffff,49.0,5.0
831805fffffffff,158.0,103.0
83180cfffffffff,62.0,4.0
831820fffffffff,6.0,0.0
831821fffffffff,8.0,0.0
831823fffffffff,95.0,5.0
831824fffffffff,8.0,0.0
831825fffffffff,50.0,0.0
831828fffffffff,225.0,0.0
831829fffffffff,57.0,0.0
83182afffffffff,122.0,6.0
83182cfffffffff,1816.0,0.0
83182dfffffffff,34.0,0.0
83182efffffffff,450.0,4.0
831844fffffffff,32.0,0.0
831845fffffffff,36.0,0.0
831846fffffffff,63.0,0.0
831849fffffffff,1560.0,0.0
83184afffffffff,357.0,0.0
83184bfffffffff,1174.0,12.0
83184cfffffffff,9.0,0.0
83184dfffffffff,120.0,0.0
831859fffffffff,13.0,0.0
83185bfffffffff,313.0,0.0
831860fffffffff,54.0,0.0
831861fffffffff,10.0,0.0
831862fffffffff,147.0,0.0
831863fffffffff,56.0,0.0
831864fffffffff,4.0,0.0
831865fffffffff,33.0,0.0
831866fffffffff,26.0,0.0
831868fffffffff,19.0,0.0
831869fffffffff,15.0,0.0
83186afffffffff,90.0,1.0
83186bfffffffff,3.0,0.0
83186cfffffffff,123.0,0.0
83186dfffffffff,15.0,0.0
83186efffffffff,21.0,0.0
831870fffffffff,165.0,0.0
831871fffffffff,11.0,0.0
831872fffffffff,2.0,0.0
831873fffffffff,13.0,0.0
831874fffffffff,70.0,0.0
831875fffffffff,8.0,0.0
831876fffffffff,149.0,0.0
831901fffffffff,96.0,30.0
831908fffffffff,227.0,33.0
831909fffffffff,245.0,2.0
83190afffffffff,14.0,7.0
83190bfffffffff,204.0,43.0
83190cfffffffff,246.0,35.0
83190dfffffffff,160.0,10.0
83190efffffffff,202.0,100.0
83191dfffffffff,2.0,0.0
831922fffffffff,24.0,2.0
831926fffffffff,248.0,13.0
831928fffffffff,260.0,35.0
831929fffffffff,45.0,0.0
83192afffffffff,83.0,33.0
83192bfffffffff,306.0,106.0
83192cfffffffff,105.0,20.0
831940fffffffff,831.0,0.0
831941fffffffff,968.0,0.0
831942fffffffff,2449.0,0.0
831943fffffffff,606.0,0.0
831946fffffffff,639.0,0.0
831948fffffffff,2148.0,0.0
831949fffffffff,26.0,0.0
83194afffffffff,4341.0,0.0
83194bfffffffff,77.0,0.0
83194cfffffffff,339.0,0.0
83194dfffffffff,560.0,0.0
83194efffffffff,1871.0,0.0
831950fffffffff,213.0,0.0
831951fffffffff,752.0,0.0
831952fffffffff,215.0,0.0
831953fffffffff,188.0,0.0
831954fffffffff,72.0,0.0
831955fffffffff,222.0,0.0
831956fffffffff,75.0,0.0
831958fffffffff,606.0,0.0
831959fffffffff,1404.0,0.0
83195afffffffff,174.0,0.0
83195bfffffffff,338.0,0.0
83195cfffffffff,689.0,0.0
83195dfffffffff,2728.0,0.0
83195efffffffff,50.0,0.0
831968fffffffff,159.0,0.0
831969fffffffff,876.0,0.0
83196bfffffffff,247.0,0.0
83196cfffffffff,2.0,0.0
83196dfffffffff,109.0,0.0
831972fffffffff,1369.0,0.0
831973fffffffff,795.0,0.0
831976fffffffff,210.0,0.0
831aa0fffffffff,2602.0,0.0
831aa2fffffffff,8.0,0.0
831aa3fffffffff,39.0,0.0
831aa4fffffffff,45.0,0.0
831aa6fffffffff,25.0,0.0
831ab0fffffffff,6.0,0.0
831b82fffffffff,4.0,0.0
831b86fffffffff,1.0,0.0
831b98fffffffff,2.0,0.0
831b99fffffffff,7.0,0.0
831b9afffffffff,227.0,0.0
831b9bfffffffff,6.0,0.0
831b9cfffffffff,3.0,0.0
831b9efffffffff,27.0,0.0
831bb0fffffffff,7.0,0.0
831bb3fffffffff,1.0,0.0
831d24fffffffff,122.0,0.0
831e00fffffffff,23.0,0.0
831e01fffffffff,17.0,0.0
831e02fffffffff,493.0,0.0
831e03fffffffff,494.0,0.0
831e04fffffffff,520.0,0.0
831e05fffffffff,197.0,0.0
831e06fffffffff,1645.0,0.0
831e08fffffffff,89.0,0.0
831e09fffffffff,3.0,0.0
831e0afffffffff,613.0,0.0
831e0bfffffffff,76.0,0.0
831e0cfffffffff,79.0,0.0
831e0efffffffff,427.0,0.0
831e10fffffffff,92.0,0.0
831e11fffffffff,34.0,0.0
831e12fffffffff,466.0,9.0
831e13fffffffff,622.0,0.0
831e14fffffffff,11.0,0.0
831e15fffffffff,246.0,0.0
831e16fffffffff,23.0,2.0
831e18fffffffff,47.0,0.0
831e19fffffffff,212.0,0.0
831e1afffffffff,14.0,0.0
831e1bfffffffff,1969.0,0.0
831e1cfffffffff,100.0,0.0
831e1dfffffffff,161.0,0.0
831e1efffffffff,21.0,0.0
831e20fffffffff,61.0,0.0
831e21fffffffff,30.0,0.0
831e22fffffffff,187.0,0.0
831e23fffffffff,127.0,0.0
831e24fffffffff,89.0,0.0
831e25fffffffff,43.0,0.0
831e26fffffffff,38.0,0.0
831e28fffffffff,43.0,0.0
831e29fffffffff,13.0,0.0
831e2afffffffff,19.0,0.0
831e2bfffffffff,28.0,0.0
831e2cfffffffff,6.0,0.0
831e2dfffffffff,35.0,0.0
831e2efffffffff,529.0,0.0
831e30fffffffff,326.0,0.0
831e31fffffffff,32.0,0.0
831e32fffffffff,122.0,0.0
831e33fffffffff,1100.0,0.0
831e34fffffffff,253.0,0.0
831e35fffffffff,2553.0,0.0
831e36fffffffff,165.0,0.0
831e42fffffffff,127.0,0.0
831e46fffffffff,22.0,0.0
831e4afffffffff,6.0,0.0
831e4bfffffffff,8.0,0.0
831e4dfffffffff,7.0,0.0
831e50fffffffff,3.0,0.0
831e51fffffffff,69.0,0.0
831e52fffffffff,31.0,0.0
831e53fffffffff,5.0,0.0
831e54fffffffff,3.0,0.0
831e55fffffffff,7.0,0.0
831e56fffffffff,2.0,0.0
831e58fffffffff,2.0,0.0
831e5afffffffff,101.0,0.0
831e5cfffffffff,21.0,0.0
831e5dfffffffff,20.0,0.0
831e5efffffffff,129.0,0.0
831e63fffffffff,275.0,0.0
831e64fffffffff,10.0,0.0
831e65fffffffff,1.0,0.0
831e66fffffffff,1.0,0.0
831e69fffffffff,4.0,0.0
831e6afffffffff,13.0,0.0
831e6bfffffffff,49.0,0.0
831e6dfffffffff,35.0,0.0
831e6efffffffff,7.0,0.0
831e70fffffffff,2.0,0.0
831e72fffffffff,7.0,0.0
831e73fffffffff,2.0,0.0
831e74fffffffff,9.0,0.0
831e75fffffffff,5.0,0.0
831e76fffffffff,54.0,0.0
831e80fffffffff,626.0,0.0
831e81fffffffff,14.0,0.0
831e82fffffffff,38.0,0.0
831e83fffffffff,196.0,0.0
831e84fffffffff,172.0,0.0
831e85fffffffff,21.0,0.0
831e86fffffffff,86.0,0.0
831e88fffffffff,9.0,0.0
831e8afffffffff,4.0,0.0
831e8bfffffffff,2.0,0.0
831e8dfffffffff,51.0,0.0
831e8efffffffff,11.0,0.0
831e90fffffffff,4.0,0.0
831e92fffffffff,20.0,0.0
831e94fffffffff,21.0,3.0
831e96fffffffff,12.0,0.0
831e99fffffffff,4.0,0.0
831e9afffffffff,103.0,0.0
831e9bfffffffff,24.0,0.0
831e9dfffffffff,110.0,2.0
831ea0fffffffff,177.0,0.0
831ea1fffffffff,153.0,0.0
831ea2fffffffff,280.0,0.0
831ea3fffffffff,36.0,0.0
831ea4fffffffff,84.0,0.0
831ea5fffffffff,262.0,0.0
831ea6fffffffff,11.0,0.0
831ea8fffffffff,162.0,19.0
831ea9fffffffff,32.0,0.0
831eabfffffffff,111.0,9.0
831eacfffffffff,128.0,4.0
831eadfffffffff,44.0,2.0
831eaefffffffff,34.0,0.0
831eb0fffffffff,76.0,24.0
831eb1fffffffff,30.0,0.0
831eb2fffffffff,46.0,9.0
831eb3fffffffff,20.0,0.0
831eb4fffffffff,286.0,0.0
831eb5fffffffff,148.0,0.0
831ec0fffffffff,402.0,4.0
831ec1fffffffff,298.0,2.0
831ec2fffffffff,323.0,0.0
831ec3fffffffff,162.0,2.0
831ec4fffffffff,641.0,2.0
831ec5fffffffff,20.0,0.0
831ec6fffffffff,59.0,0.0
831ec8fffffffff,42.0,0.0
831ec9fffffffff,2566.0,0.0
831ecafffffffff,179.0,0.0
831ecbfffffffff,77.0,0.0
831eccfffffffff,72.0,0.0
831ecdfffffffff,201.0,0.0
831ecefffffffff,163.0,3.0
831ed0fffffffff,46.0,0.0
831ed1fffffffff,121.0,4.0
831ed2fffffffff,21.0,1.0
831ed3fffffffff,91.0,8.0
831ed4fffffffff,155.0,0.0
831ed5fffffffff,38.0,0.0
831ed6fffffffff,13.0,0.0
831ed8fffffffff,6.0,0.0
831ed9fffffffff,217.0,26.0
831edafffffffff,1221.0,22.0
831edbfffffffff,8.0,0.0
831edcfffffffff,82.0,0.0
831eddfffffffff,1.0,0.0
831edefffffffff,298.0,0.0
831ee0fffffffff,1.0,0.0
831ee1fffffffff,2.0,0.0
831ee2fffffffff,28.0,0.0
831ee3fffffffff,34.0,0.0
831ee5fffffffff,11.0,0.0
831ee6fffffffff,166.0,0.0
831ee8fffffffff,60.0,4.0
831ee9fffffffff,214.0,0.0
831eeafffffffff,26.0,0.0
831eebfffffffff,436.0,4.0
831eecfffffffff,65.0,0.0
831eedfffffffff,31.0,0.0
831eeefffffffff,75.0,0.0
831ef0fffffffff,26.0,0.0
831ef1fffffffff,92.0,0.0
831ef2fffffffff,150.0,11.0
831ef3fffffffff,20.0,2.0
831ef4fffffffff,45.0,0.0
831ef5fffffffff,153.0,0.0
831ef6fffffffff,66.0,6.0
831f00fffffffff,114.0,0.0
831f01fffffffff,9.0,0.0
831f02fffffffff,23.0,0.0
831f03fffffffff,41.0,0.0
831f04fffffffff,15.0,0.0
831f05fffffffff,499.0,0.0
831f06fffffffff,53.0,0.0
831f08fffffffff,1.0,0.0
831f09fffffffff,43.0,0.0
831f0afffffffff,3.0,0.0
831f0bfffffffff,20.0,0.0
831f0cfffffffff,9.0,0.0
831f0dfffffffff,3.0,0.0
831f0efffffffff,34.0,0.0
831f10fffffffff,19.0,0.0
831f11fffffffff,33.0,0.0
831f12fffffffff,251.0,0.0
831f13fffffffff,49.0,0.0
831f14fffffffff,88.0,0.0
831f15fffffffff,189.0,0.0
831f16fffffffff,31.0,0.0
831f18fffffffff,249.0,0.0
831f19fffffffff,85.0,0.0
831f1afffffffff,354.0,0.0
831f1bfffffffff,89.0,0.0
831f1cfffffffff,53.0,0.0
831f1dfffffffff,175.0,0.0
831f1efffffffff,15.0,0.0
831f20fffffffff,13.0,0.0
831f21fffffffff,23.0,0.0
831f22fffffffff,14.0,0.0
831f23fffffffff,82.0,0.0
831f24fffffffff,18.0,0.0
831f25fffffffff,72.0,0.0
831f26fffffffff,6.0,0.0
831f28fffffffff,40.0,0.0
831f29fffffffff,83.0,0.0
831f2afffffffff,154.0,0.0
831f2bfffffffff,2.0,0.0
