cell_id,Tyto furcata,Tyto furcata [tuidara Group],Tyto furcata furcata,Tyto furcata bargei,Tyto furcata nigrescens/insularis,Tyto furcata punctatissima
8312dbfffffffff,7.0,2.0,0.0,0.0,0.0,0.0
832601fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832603fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
832609fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83260afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832611fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
832630fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832640fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
832641fffffffff,54.0,2.0,0.0,0.0,0.0,0.0
832643fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
832644fffffffff,4.0,2.0,0.0,0.0,0.0,0.0
832645fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
832646fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
832648fffffffff,29.0,0.0,0.0,0.0,0.0,0.0
832649fffffffff,41.0,0.0,0.0,0.0,0.0,0.0
83264afffffffff,63.0,0.0,0.0,0.0,0.0,0.0
83264bfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
83264cfffffffff,13.0,2.0,0.0,0.0,0.0,0.0
83264dfffffffff,23.0,2.0,0.0,0.0,0.0,0.0
83264efffffffff,5.0,0.0,0.0,0.0,0.0,0.0
832650fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
832651fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832652fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832653fffffffff,38.0,0.0,0.0,0.0,0.0,0.0
832654fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832656fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
832659fffffffff,37.0,0.0,0.0,0.0,0.0,0.0
83265bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83265cfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83265efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832662fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
832663fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832664fffffffff,66.0,5.0,0.0,0.0,0.0,0.0
832665fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832666fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
832668fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
832669fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
83266afffffffff,41.0,0.0,0.0,0.0,0.0,0.0
83266bfffffffff,83.0,7.0,0.0,0.0,0.0,0.0
83266cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83266dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83266efffffffff,40.0,1.0,0.0,0.0,0.0,0.0
832670fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
832674fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
832681fffffffff,75.0,0.0,0.0,0.0,0.0,0.0
832688fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83268afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83268cfffffffff,77.0,0.0,0.0,0.0,0.0,0.0
83268dfffffffff,11.0,0.0,0.0,0.0,0.0,0.0
832690fffffffff,9.0,5.0,0.0,0.0,0.0,0.0
832696fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
832698fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8326a1fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8326aafffffffff,68.0,0.0,0.0,0.0,0.0,0.0
8326abfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8326acfffffffff,5.0,2.0,0.0,0.0,0.0,0.0
8326adfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8326b5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8326c8fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8326cbfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8326d4fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8326dcfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8326e2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8326e5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8326e9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8326ecfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8326edfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8326f0fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8326f2fffffffff,30.0,0.0,0.0,0.0,0.0,0.0
8326f4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
832709fffffffff,28.0,0.0,0.0,0.0,0.0,0.0
832748fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
832749fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83274bfffffffff,24.0,4.0,0.0,0.0,0.0,0.0
832753fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83275afffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83276bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8327a8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8327aafffffffff,6.0,0.0,0.0,0.0,0.0,0.0
832813fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
83281afffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83281efffffffff,13.0,0.0,0.0,0.0,0.0,0.0
832830fffffffff,159.0,9.0,0.0,0.0,0.0,0.0
832832fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
832834fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
