cell_id,Colinus virginianus,Colinus virginianus [virginianus Group],Colinus virginianus graysoni/nigripectus,Colinus virginianus [pectoralis Group],Colinus virginianus [coyoleos Group]
840c555ffffffff,2.0,0.0,0.0,0.0,0.0
840e497ffffffff,1.0,0.0,0.0,0.0,0.0
840e4dbffffffff,1.0,0.0,0.0,0.0,0.0
8412d95ffffffff,2.0,0.0,0.0,0.0,0.0
8412db3ffffffff,2.0,0.0,0.0,0.0,0.0
84195b9ffffffff,1.0,0.0,0.0,0.0,0.0
841fb25ffffffff,2.0,0.0,0.0,0.0,0.0
8426013ffffffff,1.0,0.0,0.0,0.0,0.0
8426015ffffffff,2.0,0.0,0.0,0.0,0.0
8426017ffffffff,4.0,0.0,0.0,0.0,0.0
8426083ffffffff,2.0,0.0,0.0,0.0,0.0
8426085ffffffff,3.0,0.0,0.0,0.0,0.0
8426099ffffffff,1.0,0.0,0.0,0.0,0.0
84260b9ffffffff,1.0,0.0,0.0,0.0,0.0
84260c1ffffffff,2.0,0.0,0.0,0.0,0.0
84260c5ffffffff,2.0,0.0,0.0,0.0,0.0
84260c7ffffffff,1.0,0.0,0.0,0.0,0.0
84260d9ffffffff,7.0,0.0,0.0,0.0,0.0
84260e1ffffffff,2.0,2.0,0.0,0.0,0.0
84260e9ffffffff,7.0,0.0,0.0,0.0,0.0
84260ebffffffff,27.0,0.0,0.0,0.0,0.0
8426115ffffffff,2.0,0.0,0.0,0.0,0.0
842611dffffffff,2.0,0.0,0.0,0.0,0.0
8426151ffffffff,1.0,0.0,0.0,0.0,0.0
8426183ffffffff,1.0,0.0,0.0,0.0,0.0
84261b3ffffffff,2.0,0.0,0.0,0.0,0.0
8426203ffffffff,1.0,0.0,0.0,0.0,0.0
842621bffffffff,5.0,0.0,0.0,0.0,0.0
8426291ffffffff,3.0,0.0,0.0,0.0,0.0
84262cdffffffff,2.0,0.0,0.0,0.0,0.0
84262dbffffffff,2.0,0.0,0.0,0.0,0.0
84262ddffffffff,1.0,0.0,0.0,0.0,0.0
842636bffffffff,1.0,0.0,0.0,0.0,0.0
842640dffffffff,42.0,0.0,0.0,0.0,0.0
8426417ffffffff,1.0,0.0,0.0,0.0,0.0
8426425ffffffff,5.0,0.0,0.0,0.0,0.0
8426429ffffffff,2.0,0.0,0.0,0.0,0.0
8426439ffffffff,1.0,0.0,0.0,0.0,0.0
8426443ffffffff,1.0,0.0,0.0,0.0,0.0
8426455ffffffff,1.0,0.0,0.0,0.0,0.0
8426459ffffffff,1.0,0.0,0.0,0.0,0.0
8426461ffffffff,5.0,0.0,0.0,0.0,0.0
8426463ffffffff,21.0,0.0,0.0,0.0,0.0
842646bffffffff,42.0,0.0,0.0,0.0,0.0
8426487ffffffff,2.0,0.0,0.0,0.0,0.0
842649dffffffff,4.0,0.0,0.0,0.0,0.0
84264a1ffffffff,2.0,0.0,0.0,0.0,0.0
84264a5ffffffff,1.0,0.0,0.0,0.0,0.0
84264a7ffffffff,21.0,0.0,0.0,0.0,0.0
84264a9ffffffff,11.0,0.0,0.0,0.0,0.0
84264abffffffff,2.0,0.0,0.0,0.0,0.0
84264b9ffffffff,1.0,0.0,0.0,0.0,0.0
84264c3ffffffff,1.0,0.0,0.0,0.0,0.0
84264c7ffffffff,2.0,0.0,0.0,0.0,0.0
84264d1ffffffff,4.0,0.0,0.0,0.0,0.0
84264d5ffffffff,3.0,3.0,0.0,0.0,0.0
84264dbffffffff,4.0,0.0,0.0,0.0,0.0
84264e1ffffffff,3.0,0.0,0.0,0.0,0.0
84264e3ffffffff,8.0,0.0,0.0,0.0,0.0
84264e7ffffffff,4.0,0.0,0.0,0.0,0.0
84264ebffffffff,1.0,0.0,0.0,0.0,0.0
8426517ffffffff,2.0,0.0,0.0,0.0,0.0
8426519ffffffff,1.0,0.0,0.0,0.0,0.0
842651bffffffff,50.0,0.0,0.0,0.0,0.0
842652dffffffff,3.0,0.0,0.0,0.0,0.0
8426533ffffffff,1.0,0.0,0.0,0.0,0.0
842653bffffffff,2.0,0.0,0.0,0.0,0.0
842653dffffffff,1.0,0.0,0.0,0.0,0.0
842654dffffffff,3.0,0.0,0.0,0.0,0.0
8426551ffffffff,2.0,0.0,0.0,0.0,0.0
8426555ffffffff,2.0,0.0,0.0,0.0,0.0
8426565ffffffff,2.0,2.0,0.0,0.0,0.0
842659bffffffff,12.0,4.0,0.0,0.0,0.0
84265a1ffffffff,1.0,0.0,0.0,0.0,0.0
84265b5ffffffff,2.0,0.0,0.0,0.0,0.0
84265c7ffffffff,2.0,0.0,0.0,0.0,0.0
84265e7ffffffff,3.0,0.0,0.0,0.0,0.0
84265e9ffffffff,2.0,0.0,0.0,0.0,0.0
8426609ffffffff,14.0,0.0,0.0,0.0,0.0
842660bffffffff,1.0,0.0,0.0,0.0,0.0
842661dffffffff,1.0,0.0,0.0,0.0,0.0
8426621ffffffff,9.0,0.0,0.0,0.0,0.0
8426625ffffffff,4.0,0.0,0.0,0.0,0.0
842662dffffffff,1.0,0.0,0.0,0.0,0.0
8426631ffffffff,2.0,0.0,0.0,0.0,0.0
842663bffffffff,2.0,0.0,0.0,0.0,0.0
8426641ffffffff,28.0,0.0,0.0,0.0,0.0
8426643ffffffff,4.0,0.0,0.0,0.0,0.0
8426645ffffffff,16.0,0.0,0.0,0.0,0.0
8426647ffffffff,8.0,0.0,0.0,0.0,0.0
8426649ffffffff,2.0,0.0,0.0,0.0,0.0
842664dffffffff,16.0,0.0,0.0,0.0,0.0
8426651ffffffff,4.0,0.0,0.0,0.0,0.0
8426655ffffffff,19.0,0.0,0.0,0.0,0.0
842665dffffffff,2.0,0.0,0.0,0.0,0.0
8426669ffffffff,1.0,0.0,0.0,0.0,0.0
842666bffffffff,6.0,0.0,0.0,0.0,0.0
842669bffffffff,2.0,0.0,0.0,0.0,0.0
