cell_id,Pionites leucogaster,Pionites leucogaster xanthomerius,Pionites leucogaster xanthurus,Pionites leucogaster leucogaster
828047fffffffff,198.0,0.0,0.0,13.0
828067fffffffff,27.0,0.0,0.0,0.0
828077fffffffff,18.0,0.0,0.0,1.0
82814ffffffffff,4.0,0.0,0.0,0.0
82815ffffffffff,1.0,0.0,0.0,0.0
828a07fffffffff,52.0,0.0,0.0,3.0
828a17fffffffff,32.0,2.0,0.0,2.0
828a27fffffffff,7.0,0.0,0.0,0.0
828a2ffffffffff,1.0,0.0,0.0,0.0
828a47fffffffff,58.0,2.0,0.0,0.0
828a57fffffffff,1.0,0.0,0.0,0.0
828a6ffffffffff,48.0,0.0,0.0,0.0
828a77fffffffff,5.0,0.0,0.0,0.0
828a87fffffffff,3.0,0.0,0.0,0.0
828a97fffffffff,3.0,0.0,0.0,0.0
828ab7fffffffff,1.0,0.0,0.0,0.0
828b27fffffffff,2.0,0.0,0.0,0.0
828b47fffffffff,913.0,14.0,2.0,0.0
828b4ffffffffff,11.0,0.0,1.0,0.0
828b57fffffffff,29.0,0.0,0.0,0.0
828b5ffffffffff,32.0,0.0,0.0,0.0
828b67fffffffff,164.0,6.0,0.0,0.0
828b6ffffffffff,64.0,0.0,0.0,0.0
828b77fffffffff,113.0,0.0,0.0,0.0
828b87fffffffff,5.0,0.0,0.0,0.0
828b9ffffffffff,543.0,0.0,0.0,11.0
828f4ffffffffff,40.0,0.0,0.0,0.0
828f67fffffffff,5.0,0.0,0.0,0.0
828f6ffffffffff,6.0,0.0,3.0,0.0
82a8cffffffffff,15.0,0.0,0.0,15.0
