cell_id,Lamprotornis mevesii,Lamprotornis mevesii mevesii,Lamprotornis mevesii violacior,Lamprotornis mevesii benguelensis
848320dffffffff,10.0,0.0,0.0,0.0
8496141ffffffff,29.0,1.0,0.0,0.0
8496145ffffffff,6.0,0.0,0.0,0.0
8496147ffffffff,2.0,0.0,0.0,0.0
8496149ffffffff,9.0,4.0,0.0,0.0
849616bffffffff,2.0,0.0,0.0,0.0
8496201ffffffff,19.0,3.0,0.0,0.0
8496203ffffffff,24.0,2.0,0.0,0.0
8496207ffffffff,114.0,11.0,0.0,0.0
849620bffffffff,7.0,0.0,0.0,0.0
8496215ffffffff,4.0,2.0,0.0,0.0
8496217ffffffff,2.0,0.0,0.0,0.0
8496219ffffffff,16.0,10.0,0.0,0.0
849621dffffffff,7.0,5.0,0.0,0.0
849622bffffffff,20.0,1.0,0.0,0.0
849622dffffffff,3.0,1.0,0.0,0.0
8496239ffffffff,18.0,12.0,0.0,0.0
849623dffffffff,2.0,0.0,0.0,0.0
8496257ffffffff,5.0,0.0,0.0,0.0
8496261ffffffff,4.0,0.0,0.0,0.0
8496263ffffffff,37.0,0.0,0.0,0.0
8496267ffffffff,2.0,0.0,0.0,0.0
8496283ffffffff,2.0,0.0,0.0,0.0
849629dffffffff,3.0,0.0,0.0,0.0
84962c5ffffffff,5.0,0.0,0.0,0.0
84962c9ffffffff,4.0,0.0,0.0,0.0
84962cdffffffff,1.0,0.0,0.0,0.0
84962d1ffffffff,12.0,7.0,0.0,0.0
84962d5ffffffff,2.0,0.0,0.0,0.0
84962d9ffffffff,14.0,6.0,0.0,0.0
84962ddffffffff,5.0,1.0,0.0,0.0
8496311ffffffff,2.0,0.0,0.0,0.0
8496331ffffffff,11.0,1.0,0.0,0.0
8496335ffffffff,258.0,65.0,0.0,0.0
8497003ffffffff,4.0,0.0,0.0,0.0
8497015ffffffff,28.0,0.0,0.0,0.0
8497019ffffffff,7.0,0.0,0.0,0.0
8497039ffffffff,3.0,0.0,0.0,0.0
8497051ffffffff,11.0,1.0,0.0,0.0
8497053ffffffff,21.0,0.0,0.0,0.0
8497057ffffffff,10.0,0.0,0.0,0.0
84971cbffffffff,4.0,0.0,0.0,0.0
8497287ffffffff,2.0,2.0,0.0,0.0
849728bffffffff,2.0,0.0,0.0,0.0
849728dffffffff,49.0,18.0,0.0,0.0
8497291ffffffff,64.0,22.0,0.0,0.0
8497295ffffffff,8.0,6.0,0.0,0.0
8497297ffffffff,6.0,0.0,0.0,0.0
849729bffffffff,5.0,0.0,0.0,0.0
84972a5ffffffff,2.0,0.0,0.0,0.0
84972abffffffff,1.0,1.0,0.0,0.0
84972c5ffffffff,5.0,0.0,0.0,0.0
84972e3ffffffff,367.0,101.0,0.0,0.0
84972e7ffffffff,4.0,0.0,0.0,0.0
84972ebffffffff,23.0,7.0,0.0,0.0
8497401ffffffff,2.0,0.0,0.0,0.0
8497403ffffffff,1.0,0.0,0.0,0.0
8497409ffffffff,6.0,0.0,0.0,0.0
849740bffffffff,2.0,0.0,0.0,0.0
849740dffffffff,3.0,0.0,0.0,0.0
8497411ffffffff,5.0,0.0,0.0,0.0
8497415ffffffff,67.0,15.0,0.0,0.0
8497417ffffffff,81.0,11.0,0.0,0.0
8497419ffffffff,4.0,0.0,0.0,0.0
849741dffffffff,82.0,5.0,0.0,0.0
8497431ffffffff,172.0,10.0,0.0,0.0
8497435ffffffff,81.0,7.0,0.0,0.0
8497437ffffffff,41.0,2.0,0.0,0.0
8497439ffffffff,39.0,2.0,0.0,0.0
849743bffffffff,150.0,9.0,0.0,0.0
849743dffffffff,8.0,0.0,0.0,0.0
8497441ffffffff,2.0,0.0,0.0,0.0
8497447ffffffff,2.0,0.0,0.0,0.0
8497485ffffffff,4.0,0.0,0.0,0.0
84974a9ffffffff,202.0,45.0,0.0,0.0
84974abffffffff,445.0,61.0,0.0,0.0
84974adffffffff,6.0,1.0,0.0,0.0
84974b9ffffffff,3.0,0.0,0.0,0.0
84974bbffffffff,2.0,0.0,0.0,0.0
84974bdffffffff,3.0,1.0,0.0,0.0
84974c5ffffffff,1.0,0.0,0.0,0.0
84974cdffffffff,4.0,0.0,0.0,0.0
84974e1ffffffff,23.0,0.0,0.0,0.0
84974e3ffffffff,18.0,5.0,0.0,0.0
84974e5ffffffff,32.0,0.0,0.0,0.0
84974e9ffffffff,29.0,4.0,0.0,0.0
84974edffffffff,30.0,9.0,0.0,0.0
8497501ffffffff,1.0,0.0,0.0,0.0
8497503ffffffff,2.0,0.0,0.0,0.0
8497505ffffffff,2.0,0.0,0.0,0.0
8497509ffffffff,24.0,6.0,0.0,0.0
849750bffffffff,11.0,0.0,0.0,0.0
