cell_id,Sterna vittata,Sterna vittata [vittata Group],Sterna vittata georgiae
84ad321ffffffff,34.0,16.0,0.0
84ad329ffffffff,7.0,1.0,0.0
84ad369ffffffff,15.0,1.0,0.0
84bc687ffffffff,1.0,0.0,0.0
84bc695ffffffff,2.0,0.0,0.0
84bc697ffffffff,5.0,0.0,0.0
84be689ffffffff,7.0,0.0,0.0
84be695ffffffff,8.0,2.0,0.0
84be6c3ffffffff,3.0,0.0,0.0
84bf4c9ffffffff,35.0,0.0,0.0
84c01e1ffffffff,1.0,0.0,0.0
84c01ebffffffff,2.0,0.0,0.0
84c0e2dffffffff,1.0,0.0,0.0
84c2035ffffffff,1.0,0.0,0.0
84c2893ffffffff,4.0,0.0,0.0
84c2f23ffffffff,2.0,0.0,0.0
84d1689ffffffff,2.0,0.0,0.0
84da00dffffffff,16.0,8.0,0.0
84da189ffffffff,11.0,7.0,0.0
84da1abffffffff,1.0,0.0,0.0
84da84bffffffff,5.0,0.0,0.0
84daa91ffffffff,9.0,8.0,0.0
84daaa1ffffffff,4.0,0.0,0.0
84daaabffffffff,1.0,0.0,0.0
84db81bffffffff,2.0,0.0,0.0
84db825ffffffff,3.0,0.0,0.0
84de095ffffffff,2.0,0.0,0.0
84de821ffffffff,2.0,0.0,2.0
84de82dffffffff,1.0,0.0,1.0
84de953ffffffff,7.0,0.0,7.0
84de957ffffffff,2.0,0.0,2.0
84de95dffffffff,1.0,0.0,0.0
84df067ffffffff,2.0,2.0,0.0
84df149ffffffff,2.0,2.0,0.0
84df14bffffffff,2.0,2.0,0.0
84df4d9ffffffff,3.0,0.0,0.0
84df8c1ffffffff,2.0,2.0,0.0
84e093dffffffff,1.0,0.0,0.0
