cell_id,Trogon elegans,Trogon elegans [ambiguus Group],Trogon elegans elegans/lubricus
824527fffffffff,71.0,0.0,1.0
82480ffffffffff,5.0,5.0,0.0
824817fffffffff,2.0,0.0,0.0
82489ffffffffff,17.0,0.0,0.0
8248a7fffffffff,2.0,2.0,0.0
8248b7fffffffff,299.0,2.0,0.0
8248c7fffffffff,156.0,9.0,0.0
8248effffffffff,1464.0,88.0,0.0
824987fffffffff,7.0,2.0,0.0
82498ffffffffff,2.0,0.0,0.0
824997fffffffff,6.0,5.0,0.0
82499ffffffffff,3.0,0.0,0.0
826d2ffffffffff,29.0,0.0,5.0
826d37fffffffff,4.0,2.0,0.0
826d67fffffffff,18.0,0.0,0.0
826d6ffffffffff,17.0,0.0,0.0
826d77fffffffff,8.0,0.0,0.0
