cell_id,Otus rutilus,Otus rutilus rutilus,Otus rutilus madagascariensis
84a2127ffffffff,1.0,1.0,0.0
84a2143ffffffff,24.0,24.0,0.0
84a2147ffffffff,2.0,0.0,2.0
84a215dffffffff,1.0,0.0,0.0
84a2227ffffffff,93.0,86.0,0.0
84a2235ffffffff,4.0,4.0,0.0
84a2307ffffffff,2.0,1.0,1.0
84a231bffffffff,309.0,273.0,0.0
84a2353ffffffff,13.0,12.0,0.0
84a2357ffffffff,15.0,10.0,5.0
84a2a49ffffffff,49.0,0.0,47.0
84a2ae1ffffffff,1.0,0.0,1.0
84a2ae9ffffffff,4.0,4.0,0.0
84a2aedffffffff,126.0,0.0,121.0
84a308bffffffff,26.0,0.0,25.0
84a3091ffffffff,3.0,3.0,0.0
84a3093ffffffff,24.0,24.0,0.0
84a30cbffffffff,7.0,6.0,0.0
84a30d9ffffffff,2.0,2.0,0.0
84a30ddffffffff,3.0,0.0,0.0
84a30e7ffffffff,2.0,0.0,2.0
84a318bffffffff,2.0,2.0,0.0
84a3199ffffffff,4.0,0.0,4.0
84a319dffffffff,102.0,0.0,98.0
84a31d5ffffffff,6.0,0.0,5.0
84a3561ffffffff,4.0,4.0,0.0
84a3565ffffffff,11.0,11.0,0.0
84a3567ffffffff,58.0,58.0,0.0
84a372dffffffff,1.0,0.0,0.0
84a3761ffffffff,4.0,4.0,0.0
84a3765ffffffff,14.0,12.0,0.0
84a3767ffffffff,2.0,2.0,0.0
84a3769ffffffff,1.0,1.0,0.0
84a38b3ffffffff,27.0,0.0,26.0
84a38b7ffffffff,53.0,0.0,47.0
84a38c7ffffffff,3.0,0.0,3.0
84a3993ffffffff,1.0,0.0,1.0
84a3997ffffffff,3.0,0.0,3.0
84a399bffffffff,39.0,0.0,28.0
84a39dbffffffff,6.0,0.0,6.0
84a3ab3ffffffff,2.0,0.0,2.0
84a3ab7ffffffff,30.0,0.0,30.0
84a3ab9ffffffff,2.0,0.0,2.0
