cell_id,Cisticola subruficapilla,Cisticola subruficapilla newtoni,Cisticola subruficapilla [subruficapilla Group],Cisticola subruficapilla jamesi
838320fffffffff,3.0,0.0,0.0,0.0
83ac8efffffffff,1.0,0.0,0.0,0.0
83ac96fffffffff,2.0,0.0,0.0,0.0
83aca1fffffffff,3.0,0.0,0.0,0.0
83aca4fffffffff,3.0,0.0,0.0,0.0
83aca5fffffffff,2.0,0.0,0.0,0.0
83aca6fffffffff,16.0,0.0,0.0,0.0
83ad12fffffffff,24.0,0.0,0.0,0.0
83ad32fffffffff,654.0,0.0,187.0,0.0
83ad36fffffffff,602.0,0.0,156.0,0.0
83ad85fffffffff,2.0,0.0,0.0,0.0
83ad8bfffffffff,6.0,0.0,0.0,0.0
83ada0fffffffff,14.0,0.0,0.0,0.0
83ada1fffffffff,13.0,0.0,0.0,0.0
83ada3fffffffff,4.0,0.0,0.0,0.0
83ada4fffffffff,11.0,0.0,0.0,0.0
83ada5fffffffff,3.0,0.0,0.0,0.0
83ada6fffffffff,2.0,0.0,0.0,0.0
83ada8fffffffff,2.0,0.0,0.0,0.0
83adaafffffffff,4.0,0.0,1.0,0.0
83adacfffffffff,16.0,0.0,0.0,0.0
83adb4fffffffff,1.0,0.0,0.0,0.0
83adb5fffffffff,1.0,0.0,0.0,0.0
83bc40fffffffff,41.0,0.0,0.0,0.0
83bc41fffffffff,17.0,0.0,0.0,0.0
83bc42fffffffff,2.0,0.0,0.0,0.0
83bc43fffffffff,44.0,0.0,17.0,0.0
83bc45fffffffff,13.0,0.0,1.0,0.0
83bc46fffffffff,3.0,0.0,0.0,0.0
83bc48fffffffff,33.0,0.0,2.0,0.0
83bc49fffffffff,45.0,0.0,5.0,0.0
83bc4afffffffff,3.0,0.0,0.0,0.0
83bc4bfffffffff,38.0,0.0,0.0,0.0
83bc4cfffffffff,1.0,0.0,0.0,0.0
83bc4dfffffffff,196.0,0.0,28.0,0.0
83bc4efffffffff,16.0,0.0,5.0,0.0
83bc50fffffffff,2.0,0.0,0.0,0.0
83bc51fffffffff,4.0,0.0,0.0,0.0
83bc54fffffffff,1.0,0.0,0.0,0.0
83bc55fffffffff,2.0,0.0,0.0,0.0
83bc5cfffffffff,1.0,0.0,0.0,0.0
83bc5dfffffffff,2.0,0.0,0.0,0.0
83bc5efffffffff,8.0,0.0,0.0,0.0
83bc68fffffffff,147.0,0.0,58.0,0.0
83bc69fffffffff,485.0,0.0,117.0,0.0
83bc6afffffffff,126.0,0.0,29.0,0.0
83bc6bfffffffff,118.0,0.0,19.0,0.0
83bc71fffffffff,6.0,0.0,0.0,0.0
83bc73fffffffff,16.0,0.0,0.0,0.0
83bce5fffffffff,1.0,0.0,0.0,0.0
83bce8fffffffff,3.0,0.0,0.0,0.0
83bce9fffffffff,2.0,0.0,0.0,0.0
83bcebfffffffff,1.0,0.0,0.0,0.0
83bcedfffffffff,1.0,0.0,0.0,0.0
