cell_id,Sittasomus griseicapillus,Sittasomus griseicapillus [griseus Group],Sittasomus griseicapillus aequatorialis,Sittasomus griseicapillus [griseicapillus Group],Sittasomus griseicapillus reiseri,Sittasomus griseicapillus sylviellus/olivaceus
824507fffffffff,20.0,2.0,0.0,0.0,0.0,0.0
82450ffffffffff,2542.0,120.0,0.0,0.0,0.0,0.0
824527fffffffff,1025.0,10.0,0.0,0.0,0.0,0.0
82452ffffffffff,10539.0,926.0,0.0,0.0,0.0,0.0
824537fffffffff,123.0,0.0,0.0,0.0,0.0,0.0
824577fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
824837fffffffff,271.0,0.0,0.0,0.0,0.0,0.0
824997fffffffff,1390.0,377.0,0.0,0.0,0.0,0.0
82499ffffffffff,183.0,4.0,0.0,0.0,0.0,0.0
8249affffffffff,190.0,1.0,0.0,0.0,0.0,0.0
8249b7fffffffff,93.0,0.0,0.0,0.0,0.0,0.0
825f2ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0
825f4ffffffffff,128.0,1.0,0.0,0.0,0.0,0.0
825f5ffffffffff,314.0,0.0,0.0,0.0,0.0,0.0
825f6ffffffffff,12.0,0.0,0.0,4.0,0.0,0.0
825f77fffffffff,92.0,0.0,0.0,14.0,0.0,0.0
826607fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82660ffffffffff,92.0,0.0,0.0,0.0,0.0,0.0
826617fffffffff,168.0,16.0,0.0,0.0,0.0,0.0
82661ffffffffff,92.0,1.0,0.0,0.0,0.0,0.0
826627fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,62.0,1.0,0.0,0.0,0.0,0.0
826647fffffffff,151.0,0.0,0.0,8.0,0.0,0.0
82664ffffffffff,13.0,0.0,0.0,0.0,0.0,0.0
82665ffffffffff,197.0,0.0,0.0,24.0,0.0,0.0
8266a7fffffffff,1768.0,121.0,0.0,0.0,0.0,0.0
8266b7fffffffff,2552.0,13.0,0.0,0.0,0.0,0.0
8266c7fffffffff,49.0,0.0,0.0,0.0,0.0,0.0
8266cffffffffff,11.0,0.0,0.0,2.0,0.0,0.0
8266d7fffffffff,53.0,0.0,4.0,0.0,0.0,0.0
