cell_id,Cygnus columbianus,Cygnus columbianus columbianus,Cygnus columbianus bewickii,Cygnus columbianus columbianus x bewickii
8413807ffffffff,4.0,0.0,0.0,0.0
8413829ffffffff,6.0,0.0,0.0,0.0
841382dffffffff,2.0,0.0,0.0,0.0
8413839ffffffff,3.0,0.0,0.0,0.0
841383bffffffff,2.0,0.0,0.0,0.0
841383dffffffff,54.0,0.0,4.0,0.0
8413861ffffffff,6.0,0.0,3.0,0.0
8413899ffffffff,2.0,0.0,0.0,0.0
84138c7ffffffff,3.0,0.0,0.0,0.0
8415923ffffffff,4.0,0.0,4.0,0.0
8415925ffffffff,2.0,0.0,0.0,0.0
8415927ffffffff,11.0,0.0,5.0,0.0
841592bffffffff,2.0,0.0,0.0,0.0
8415b07ffffffff,12.0,0.0,5.0,0.0
8415b6bffffffff,1.0,0.0,0.0,0.0
84165e1ffffffff,1.0,0.0,1.0,0.0
841828bffffffff,29.0,0.0,18.0,0.0
84182c3ffffffff,2.0,0.0,0.0,0.0
84182cbffffffff,5.0,0.0,3.0,0.0
8418495ffffffff,2.0,0.0,0.0,0.0
84186c5ffffffff,2.0,0.0,2.0,0.0
8419293ffffffff,2.0,0.0,0.0,0.0
84192b7ffffffff,2.0,0.0,2.0,0.0
8419401ffffffff,2.0,0.0,0.0,0.0
8419405ffffffff,6.0,0.0,2.0,0.0
8419413ffffffff,1.0,0.0,0.0,0.0
8419421ffffffff,8.0,0.0,8.0,0.0
8419423ffffffff,1.0,0.0,1.0,0.0
8419429ffffffff,3.0,0.0,2.0,0.0
841942bffffffff,13.0,0.0,5.0,0.0
8419435ffffffff,2.0,0.0,0.0,0.0
8419437ffffffff,6.0,0.0,2.0,0.0
841943bffffffff,7.0,0.0,5.0,0.0
8419495ffffffff,2.0,0.0,2.0,0.0
84194a5ffffffff,2.0,0.0,0.0,0.0
84194abffffffff,3.0,0.0,3.0,0.0
84194c5ffffffff,1.0,0.0,1.0,0.0
84194d9ffffffff,2.0,0.0,2.0,0.0
84194e1ffffffff,14.0,0.0,0.0,0.0
84194e3ffffffff,1.0,0.0,1.0,0.0
84194e7ffffffff,2.0,0.0,1.0,0.0
84194ebffffffff,2.0,0.0,0.0,0.0
8419519ffffffff,4.0,0.0,4.0,0.0
8419543ffffffff,2.0,0.0,2.0,0.0
8419559ffffffff,2.0,0.0,2.0,0.0
8419581ffffffff,2.0,0.0,2.0,0.0
8419583ffffffff,2.0,0.0,0.0,0.0
