cell_id,Attila spadiceus,Attila spadiceus [flammulatus Group],Attila spadiceus spadiceus/uropygiatus
834424fffffffff,12.0,0.0,0.0
834501fffffffff,224.0,2.0,0.0
834505fffffffff,244.0,0.0,0.0
834508fffffffff,455.0,56.0,0.0
834509fffffffff,51.0,7.0,0.0
83450afffffffff,721.0,53.0,0.0
83450bfffffffff,289.0,24.0,0.0
83450cfffffffff,106.0,2.0,0.0
83450dfffffffff,264.0,124.0,0.0
83450efffffffff,413.0,32.0,0.0
834520fffffffff,523.0,0.0,0.0
834521fffffffff,1109.0,0.0,0.0
834522fffffffff,1040.0,0.0,0.0
834523fffffffff,826.0,0.0,0.0
834524fffffffff,33.0,0.0,0.0
834525fffffffff,54.0,0.0,0.0
834526fffffffff,554.0,0.0,0.0
834528fffffffff,1114.0,33.0,0.0
834529fffffffff,7.0,0.0,0.0
83452afffffffff,1868.0,23.0,0.0
83452bfffffffff,276.0,48.0,0.0
83452cfffffffff,762.0,19.0,0.0
83452dfffffffff,275.0,10.0,0.0
83452efffffffff,7305.0,19.0,0.0
834530fffffffff,27.0,0.0,0.0
834531fffffffff,37.0,0.0,0.0
834532fffffffff,45.0,0.0,0.0
834534fffffffff,53.0,0.0,0.0
834535fffffffff,7.0,0.0,0.0
834536fffffffff,95.0,0.0,0.0
834564fffffffff,34.0,2.0,0.0
834572fffffffff,90.0,29.0,0.0
834576fffffffff,37.0,3.0,0.0
834802fffffffff,1.0,0.0,0.0
834806fffffffff,13.0,0.0,0.0
83480afffffffff,69.0,0.0,0.0
834815fffffffff,10.0,0.0,0.0
83481dfffffffff,16.0,0.0,0.0
834832fffffffff,25.0,0.0,0.0
834833fffffffff,192.0,0.0,0.0
834836fffffffff,1922.0,38.0,0.0
834980fffffffff,33.0,5.0,0.0
834985fffffffff,11.0,0.0,0.0
834986fffffffff,45.0,0.0,0.0
83498cfffffffff,20.0,0.0,0.0
83498dfffffffff,6.0,0.0,0.0
834996fffffffff,24.0,11.0,0.0
8349a2fffffffff,9.0,0.0,0.0
8349a3fffffffff,9.0,0.0,0.0
8349a8fffffffff,204.0,3.0,0.0
8349a9fffffffff,406.0,30.0,0.0
8349aafffffffff,24.0,2.0,0.0
8349abfffffffff,159.0,0.0,0.0
8349adfffffffff,23.0,0.0,0.0
8349aefffffffff,2.0,0.0,0.0
8349b0fffffffff,10.0,0.0,0.0
8349b1fffffffff,13.0,0.0,0.0
8349b2fffffffff,1.0,0.0,0.0
8349b3fffffffff,40.0,0.0,0.0
8349b5fffffffff,106.0,0.0,0.0
835f01fffffffff,6.0,0.0,0.0
835f02fffffffff,5.0,0.0,0.0
835f03fffffffff,59.0,0.0,0.0
835f08fffffffff,2.0,0.0,0.0
835f0dfffffffff,2.0,0.0,0.0
835f10fffffffff,11.0,0.0,0.0
835f11fffffffff,4.0,0.0,0.0
835f12fffffffff,10.0,0.0,0.0
835f13fffffffff,5.0,0.0,0.0
835f14fffffffff,6.0,0.0,0.0
835f15fffffffff,1.0,0.0,0.0
835f16fffffffff,7.0,0.0,0.0
835f1cfffffffff,17.0,0.0,0.0
835f28fffffffff,2.0,0.0,0.0
835f29fffffffff,12.0,0.0,0.0
835f2bfffffffff,311.0,0.0,0.0
835f2dfffffffff,17.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f40fffffffff,6.0,0.0,0.0
835f42fffffffff,6.0,0.0,0.0
835f46fffffffff,2.0,0.0,0.0
835f4afffffffff,2.0,0.0,0.0
835f50fffffffff,1.0,0.0,0.0
835f54fffffffff,34.0,0.0,0.0
835f58fffffffff,194.0,0.0,0.0
835f59fffffffff,6.0,0.0,0.0
835f5bfffffffff,32.0,0.0,0.0
835f68fffffffff,17.0,0.0,0.0
835f70fffffffff,2.0,0.0,0.0
835f71fffffffff,14.0,0.0,0.0
835f75fffffffff,36.0,0.0,2.0
836600fffffffff,2.0,0.0,0.0
836601fffffffff,3.0,0.0,0.0
836602fffffffff,10.0,0.0,0.0
836603fffffffff,1.0,0.0,0.0
836604fffffffff,11.0,0.0,0.0
836606fffffffff,9.0,0.0,0.0
836608fffffffff,313.0,6.0,0.0
836609fffffffff,1.0,0.0,0.0
83660afffffffff,546.0,10.0,0.0
83660bfffffffff,2.0,0.0,0.0
83660cfffffffff,12.0,0.0,0.0
83660dfffffffff,30.0,0.0,0.0
83660efffffffff,42.0,0.0,0.0
836610fffffffff,839.0,98.0,0.0
836611fffffffff,76.0,0.0,0.0
836612fffffffff,32.0,0.0,0.0
836613fffffffff,581.0,34.0,0.0
836616fffffffff,607.0,78.0,0.0
836618fffffffff,4.0,2.0,0.0
836619fffffffff,532.0,0.0,0.0
83661afffffffff,135.0,3.0,0.0
83661bfffffffff,327.0,0.0,0.0
83661cfffffffff,179.0,0.0,0.0
83661dfffffffff,24.0,0.0,0.0
83661efffffffff,99.0,0.0,0.0
836620fffffffff,542.0,0.0,0.0
836621fffffffff,4.0,0.0,0.0
836622fffffffff,186.0,0.0,0.0
836623fffffffff,13.0,0.0,0.0
836629fffffffff,7.0,0.0,0.0
83662bfffffffff,6.0,0.0,0.0
83662dfffffffff,9.0,0.0,0.0
836631fffffffff,5.0,0.0,0.0
836641fffffffff,109.0,0.0,0.0
836644fffffffff,1.0,0.0,0.0
836645fffffffff,2.0,0.0,0.0
836648fffffffff,6.0,0.0,0.0
83664dfffffffff,1.0,0.0,0.0
83664efffffffff,1.0,0.0,0.0
836651fffffffff,2.0,0.0,0.0
836652fffffffff,10.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0
836656fffffffff,44.0,0.0,0.0
83665afffffffff,195.0,0.0,0.0
83665bfffffffff,44.0,0.0,0.0
83665efffffffff,35.0,0.0,0.0
836663fffffffff,27.0,0.0,0.0
83666afffffffff,5.0,0.0,0.0
83666bfffffffff,6.0,0.0,0.0
83666cfffffffff,7.0,0.0,0.0
83666efffffffff,10.0,0.0,0.0
836670fffffffff,1.0,0.0,0.0
836672fffffffff,24.0,0.0,0.0
836673fffffffff,4.0,0.0,0.0
836676fffffffff,10.0,0.0,0.0
836684fffffffff,2.0,0.0,0.0
8366a0fffffffff,250.0,43.0,0.0
8366a1fffffffff,2.0,0.0,0.0
8366a2fffffffff,9.0,0.0,0.0
8366a3fffffffff,18.0,0.0,0.0
8366a5fffffffff,3859.0,426.0,0.0
8366a6fffffffff,145.0,3.0,0.0
8366adfffffffff,1.0,0.0,0.0
8366b0fffffffff,2011.0,0.0,0.0
8366b1fffffffff,27.0,4.0,0.0
8366b4fffffffff,4100.0,0.0,0.0
8366b5fffffffff,2689.0,38.0,0.0
8366b6fffffffff,199.0,0.0,0.0
8366c0fffffffff,180.0,0.0,0.0
8366c1fffffffff,3.0,0.0,0.0
8366c2fffffffff,292.0,0.0,0.0
8366c3fffffffff,19.0,0.0,0.0
8366c5fffffffff,77.0,0.0,0.0
8366c9fffffffff,5.0,0.0,0.0
8366cefffffffff,35.0,0.0,0.0
8366d0fffffffff,246.0,4.0,0.0
8366d1fffffffff,101.0,0.0,0.0
8366d2fffffffff,79.0,8.0,0.0
8366d3fffffffff,326.0,27.0,0.0
8366d4fffffffff,1.0,0.0,0.0
8366d5fffffffff,22.0,0.0,0.0
8366d8fffffffff,47.0,0.0,4.0
8366dafffffffff,10.0,0.0,1.0
8366dbfffffffff,19.0,0.0,0.0
8366dcfffffffff,672.0,0.0,76.0
8366ddfffffffff,71.0,0.0,7.0
8366defffffffff,222.0,0.0,38.0
8366e0fffffffff,73.0,0.0,0.0
8366e1fffffffff,96.0,0.0,0.0
8366e3fffffffff,115.0,0.0,0.0
8366e4fffffffff,14.0,0.0,0.0
8366e5fffffffff,673.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0
8366e8fffffffff,5.0,0.0,0.0
8366e9fffffffff,4.0,0.0,0.0
8366ecfffffffff,110.0,0.0,0.0
8366eefffffffff,18.0,0.0,0.0
8366f0fffffffff,869.0,13.0,0.0
8366f1fffffffff,1514.0,17.0,0.0
8366f5fffffffff,10.0,0.0,0.0
836742fffffffff,2.0,0.0,0.0
836743fffffffff,13.0,0.0,0.0
83674cfffffffff,20.0,0.0,0.0
836751fffffffff,8.0,0.0,0.0
83675cfffffffff,6.0,0.0,0.0
836790fffffffff,11.0,0.0,0.0
836792fffffffff,10.0,0.0,0.0
836793fffffffff,3.0,0.0,0.0
836794fffffffff,12.0,0.0,0.0
836796fffffffff,116.0,0.0,0.0
83679afffffffff,4293.0,0.0,0.0
83679bfffffffff,1180.0,11.0,0.0
836d04fffffffff,30.0,4.0,0.0
836d05fffffffff,211.0,113.0,0.0
836d14fffffffff,6.0,0.0,0.0
836d15fffffffff,101.0,7.0,0.0
836d20fffffffff,22.0,0.0,0.0
836d21fffffffff,145.0,48.0,0.0
836d22fffffffff,39.0,0.0,0.0
836d23fffffffff,189.0,56.0,0.0
836d24fffffffff,15.0,0.0,0.0
836d25fffffffff,28.0,2.0,0.0
836d2afffffffff,2.0,0.0,0.0
836d2bfffffffff,30.0,10.0,0.0
836d2cfffffffff,412.0,103.0,0.0
836d2dfffffffff,419.0,0.0,0.0
836d30fffffffff,129.0,28.0,0.0
836d31fffffffff,84.0,26.0,0.0
836d32fffffffff,1.0,0.0,0.0
836d33fffffffff,204.0,50.0,0.0
836d34fffffffff,44.0,23.0,0.0
836d35fffffffff,110.0,15.0,0.0
836d36fffffffff,6.0,0.0,0.0
836d60fffffffff,50.0,0.0,0.0
836d61fffffffff,8.0,0.0,0.0
836d64fffffffff,64.0,0.0,0.0
836d65fffffffff,671.0,0.0,0.0
836d66fffffffff,1.0,0.0,0.0
836d68fffffffff,1464.0,0.0,0.0
836d69fffffffff,8233.0,0.0,0.0
836d6bfffffffff,1717.0,0.0,0.0
836d6cfffffffff,3.0,0.0,0.0
836d6dfffffffff,868.0,0.0,0.0
836d74fffffffff,27.0,0.0,0.0
838005fffffffff,8.0,0.0,0.0
838008fffffffff,1.0,0.0,0.0
83800cfffffffff,1.0,0.0,0.0
838010fffffffff,1.0,0.0,1.0
83802bfffffffff,2.0,0.0,0.0
