cell_id,Estrilda paludicola,Estrilda paludicola ochrogaster,Estrilda paludicola [paludicola Group],Estrilda paludicola benguellensis
846b8abffffffff,1.0,0.0,1.0,0.0
847a483ffffffff,28.0,0.0,0.0,0.0
847a491ffffffff,2.0,0.0,0.0,0.0
847a495ffffffff,4.0,0.0,0.0,0.0
847a4b1ffffffff,1.0,0.0,0.0,0.0
847a4b5ffffffff,6.0,0.0,0.0,0.0
847a4cbffffffff,9.0,0.0,3.0,0.0
847a4d1ffffffff,29.0,0.0,0.0,0.0
847a4d3ffffffff,2.0,0.0,0.0,0.0
847a4d9ffffffff,4.0,0.0,1.0,0.0
847a4ddffffffff,25.0,0.0,0.0,0.0
847a69dffffffff,2.0,0.0,0.0,0.0
847a6d1ffffffff,2.0,0.0,0.0,0.0
847a6dbffffffff,1.0,0.0,0.0,0.0
847ac8bffffffff,5.0,5.0,0.0,0.0
847ac97ffffffff,3.0,3.0,0.0,0.0
847acc3ffffffff,1.0,0.0,0.0,0.0
847acd5ffffffff,9.0,9.0,0.0,0.0
847acd7ffffffff,3.0,2.0,0.0,0.0
847ad93ffffffff,3.0,3.0,0.0,0.0
847aedbffffffff,1.0,1.0,0.0,0.0
848284dffffffff,3.0,0.0,1.0,0.0
8483109ffffffff,1.0,0.0,0.0,1.0
8483117ffffffff,2.0,0.0,0.0,2.0
8483125ffffffff,10.0,0.0,0.0,0.0
8483151ffffffff,3.0,0.0,0.0,0.0
848330dffffffff,4.0,0.0,0.0,0.0
8483331ffffffff,1.0,0.0,0.0,0.0
8483335ffffffff,1.0,0.0,0.0,1.0
848333dffffffff,19.0,0.0,0.0,7.0
84838e3ffffffff,2.0,0.0,2.0,0.0
8496001ffffffff,1.0,0.0,0.0,0.0
8496003ffffffff,2.0,0.0,0.0,0.0
8496009ffffffff,3.0,0.0,0.0,1.0
8496015ffffffff,8.0,0.0,0.0,2.0
849602dffffffff,6.0,0.0,0.0,3.0
8496039ffffffff,1.0,0.0,0.0,1.0
8496047ffffffff,2.0,0.0,0.0,2.0
8496061ffffffff,1.0,0.0,0.0,0.0
8496089ffffffff,2.0,0.0,0.0,2.0
849608dffffffff,1.0,0.0,0.0,0.0
8496097ffffffff,26.0,0.0,0.0,9.0
84960b7ffffffff,2.0,0.0,0.0,0.0
84960bbffffffff,4.0,0.0,0.0,0.0
8496151ffffffff,2.0,0.0,0.0,0.0
849615dffffffff,19.0,0.0,0.0,6.0
84961e3ffffffff,1.0,0.0,0.0,0.0
8496401ffffffff,1.0,0.0,0.0,0.0
84964c7ffffffff,1.0,0.0,0.0,0.0
8496569ffffffff,15.0,0.0,0.0,6.0
849656bffffffff,1.0,0.0,0.0,0.0
849666bffffffff,1.0,0.0,0.0,0.0
8496701ffffffff,1.0,0.0,0.0,0.0
8496703ffffffff,1.0,0.0,0.0,0.0
8496901ffffffff,8.0,0.0,0.0,0.0
8496a07ffffffff,4.0,0.0,2.0,0.0
8496a15ffffffff,6.0,0.0,0.0,0.0
8496a2dffffffff,16.0,0.0,0.0,0.0
8496a39ffffffff,2.0,0.0,0.0,0.0
8496a8dffffffff,3.0,0.0,2.0,0.0
8496ac3ffffffff,2.0,0.0,0.0,0.0
8496ad9ffffffff,2.0,0.0,0.0,0.0
8496b1bffffffff,1.0,0.0,0.0,0.0
8496b51ffffffff,1.0,0.0,0.0,0.0
8496b53ffffffff,4.0,0.0,0.0,0.0
8496b55ffffffff,4.0,0.0,0.0,0.0
8496e49ffffffff,4.0,0.0,0.0,0.0
