cell_id,Anas flavirostris,Anas flavirostris flavirostris,Anas flavirostris oxyptera
838b20fffffffff,4.0,0.0,0.0
838b21fffffffff,71.0,0.0,0.0
838b24fffffffff,2.0,0.0,0.0
838b2cfffffffff,285.0,0.0,0.0
838b60fffffffff,53.0,0.0,2.0
838b61fffffffff,2641.0,0.0,242.0
838b64fffffffff,57.0,0.0,5.0
838b65fffffffff,26.0,0.0,0.0
838b66fffffffff,31.0,0.0,2.0
838b6cfffffffff,179.0,0.0,24.0
838b75fffffffff,1.0,0.0,0.0
838e45fffffffff,2.0,0.0,0.0
838e60fffffffff,158.0,0.0,15.0
838e61fffffffff,19.0,0.0,0.0
838e62fffffffff,65.0,0.0,0.0
838e63fffffffff,2.0,0.0,0.0
838e64fffffffff,178.0,0.0,25.0
838e65fffffffff,24.0,0.0,7.0
838e66fffffffff,318.0,0.0,53.0
838e68fffffffff,20.0,0.0,0.0
838e69fffffffff,10.0,0.0,0.0
838e6afffffffff,15.0,0.0,0.0
838e6cfffffffff,50.0,0.0,13.0
838e6dfffffffff,36.0,0.0,9.0
838e6efffffffff,37.0,0.0,1.0
838e75fffffffff,4.0,0.0,0.0
838f42fffffffff,41.0,0.0,3.0
838f46fffffffff,2.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0
838f51fffffffff,113.0,0.0,7.0
838f55fffffffff,5.0,0.0,2.0
838f58fffffffff,119.0,0.0,13.0
838f59fffffffff,73.0,0.0,1.0
838f5bfffffffff,64.0,0.0,6.0
838f5cfffffffff,6.0,0.0,0.0
838f5dfffffffff,2.0,0.0,0.0
838f5efffffffff,8.0,0.0,0.0
83a810fffffffff,133.0,0.0,0.0
83a811fffffffff,3.0,0.0,0.0
83a824fffffffff,3.0,0.0,0.0
83a831fffffffff,7.0,0.0,0.0
83a835fffffffff,2.0,0.0,0.0
83a901fffffffff,16.0,0.0,0.0
83a903fffffffff,5.0,1.0,0.0
83a905fffffffff,202.0,23.0,0.0
83a909fffffffff,9.0,0.0,0.0
83a90afffffffff,12.0,0.0,0.0
83a90bfffffffff,2.0,0.0,0.0
83a90cfffffffff,8.0,0.0,0.0
83a90efffffffff,47.0,5.0,0.0
83a918fffffffff,6.0,0.0,0.0
83a919fffffffff,25.0,0.0,0.0
83a91bfffffffff,8.0,0.0,0.0
83a91dfffffffff,27.0,1.0,0.0
83a921fffffffff,75.0,0.0,0.0
83a928fffffffff,6.0,0.0,0.0
83a929fffffffff,10.0,0.0,0.0
83a92cfffffffff,270.0,0.0,0.0
83a92dfffffffff,98.0,8.0,0.0
83a92efffffffff,228.0,11.0,0.0
83a944fffffffff,5.0,0.0,0.0
83a954fffffffff,2.0,0.0,0.0
83a960fffffffff,15.0,0.0,0.0
83a961fffffffff,1.0,0.0,0.0
83a962fffffffff,69.0,0.0,0.0
83a964fffffffff,85.0,0.0,0.0
83a966fffffffff,6.0,0.0,0.0
83a971fffffffff,2.0,0.0,0.0
83a972fffffffff,1.0,1.0,0.0
83a974fffffffff,17.0,0.0,0.0
83a975fffffffff,6.0,0.0,0.0
83a976fffffffff,3.0,0.0,0.0
83b200fffffffff,6.0,0.0,0.0
83b201fffffffff,25.0,0.0,0.0
83b203fffffffff,24.0,0.0,0.0
83b205fffffffff,4.0,0.0,0.0
83b208fffffffff,3.0,0.0,0.0
83b20afffffffff,11.0,0.0,0.0
83b20bfffffffff,13.0,0.0,0.0
83b20cfffffffff,10.0,0.0,0.0
83b20dfffffffff,3.0,0.0,0.0
83b20efffffffff,5.0,0.0,0.0
83b219fffffffff,877.0,28.0,0.0
83b21bfffffffff,2.0,0.0,0.0
83b21dfffffffff,106.0,0.0,5.0
