cell_id,Periparus ater,Periparus ater britannicus/hibernicus,Periparus ater [ater Group],Periparus ater ledouci/atlas,Periparus ater cypriotes,Periparus ater [phaeonotus Group],Periparus ater melanolophus,Periparus ater [aemodius Group],Periparus ater ptilosus/kuatunensis
820807fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820817fffffffff,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82081ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82082ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820837fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820887fffffffff,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82088ffffffffff,58.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
820897fffffffff,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82089ffffffffff,503.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0
8208a7fffffffff,31.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8208b7fffffffff,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208c7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208cffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208d7fffffffff,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8208dffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8208f7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82095ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820987fffffffff,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82098ffffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820997fffffffff,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82099ffffffffff,116.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8209affffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820a37fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820a97fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820b9ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820bb7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82100ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821017fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8210c7fffffffff,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8210d7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8210dffffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8210effffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8210f7fffffffff,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821107fffffffff,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821117fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821127fffffffff,44.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
82112ffffffffff,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
821137fffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821187fffffffff,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82118ffffffffff,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8211a7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8211affffffffff,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8211b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82148ffffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82149ffffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8214affffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82159ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821617fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82178ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821807fffffffff,81.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82180ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821827fffffffff,123.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82182ffffffffff,1312.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821847fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82184ffffffffff,1295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82185ffffffffff,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821867fffffffff,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82186ffffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821877fffffffff,206.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821907fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82190ffffffffff,1818.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82192ffffffffff,318.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821947fffffffff,5476.0,1998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82194ffffffffff,3951.0,1070.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
821957fffffffff,1565.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82195ffffffffff,3861.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82196ffffffffff,255.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
821977fffffffff,1379.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e07fffffffff,833.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
821e0ffffffffff,228.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821e17fffffffff,724.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
821e1ffffffffff,131.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
821e27fffffffff,681.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
821e2ffffffffff,195.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821e37fffffffff,1198.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
821e47fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e4ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e57fffffffff,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e5ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e67fffffffff,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e6ffffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e77fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821e87fffffffff,80.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
821e8ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
