cell_id,Anas flavirostris,Anas flavirostris flavirostris,Anas flavirostris oxyptera
841f827ffffffff,2.0,0.0,0.0
841f83dffffffff,2.0,0.0,0.0
8439447ffffffff,2.0,0.0,0.0
84396c7ffffffff,1.0,0.0,0.0
848b649ffffffff,2.0,0.0,0.0
848b6cdffffffff,2.0,0.0,0.0
848e621ffffffff,6.0,0.0,0.0
848e62dffffffff,35.0,0.0,6.0
848e635ffffffff,5.0,0.0,0.0
848e66bffffffff,3.0,0.0,3.0
848f425ffffffff,4.0,0.0,0.0
848f4a5ffffffff,4.0,0.0,4.0
848f501ffffffff,4.0,0.0,0.0
848f505ffffffff,3.0,0.0,0.0
848f513ffffffff,3.0,0.0,1.0
84a865bffffffff,3.0,0.0,0.0
84a91d1ffffffff,1.0,1.0,0.0
84a9497ffffffff,1.0,0.0,0.0
84a9611ffffffff,2.0,0.0,0.0
84a9621ffffffff,2.0,0.0,0.0
84a9627ffffffff,3.0,0.0,0.0
84a96a5ffffffff,3.0,0.0,0.0
84a96adffffffff,7.0,0.0,0.0
84a9711ffffffff,3.0,0.0,0.0
84b2013ffffffff,4.0,0.0,4.0
84b2015ffffffff,3.0,0.0,3.0
84b20a5ffffffff,12.0,0.0,12.0
84b20a7ffffffff,2.0,0.0,2.0
84b20c7ffffffff,3.0,0.0,0.0
84b20cdffffffff,2.0,0.0,0.0
84b2191ffffffff,37.0,0.0,37.0
84b2193ffffffff,1.0,0.0,1.0
84b21bbffffffff,6.0,0.0,6.0
84b21ddffffffff,6.0,0.0,2.0
84b228bffffffff,2.0,0.0,2.0
84b22a5ffffffff,1.0,0.0,0.0
84b22adffffffff,2.0,0.0,2.0
84b22b5ffffffff,8.0,0.0,4.0
84b243dffffffff,2.0,2.0,0.0
84b248bffffffff,22.0,0.0,0.0
84b2491ffffffff,3.0,0.0,0.0
84b2493ffffffff,6.0,0.0,0.0
84b2495ffffffff,2.0,0.0,0.0
84b2497ffffffff,2.0,0.0,0.0
84b2499ffffffff,6.0,0.0,0.0
84b249bffffffff,3.0,0.0,0.0
84b249dffffffff,35.0,0.0,0.0
84b24b3ffffffff,2.0,0.0,0.0
84b24b9ffffffff,8.0,0.0,0.0
84b24bbffffffff,2.0,0.0,0.0
84b24d1ffffffff,136.0,0.0,0.0
84b24d3ffffffff,117.0,0.0,0.0
84b24d5ffffffff,3.0,0.0,0.0
84b24d7ffffffff,22.0,0.0,0.0
84b24d9ffffffff,13.0,0.0,0.0
84b24dbffffffff,140.0,0.0,0.0
84b2583ffffffff,4.0,4.0,0.0
84b258bffffffff,4.0,4.0,0.0
84b2591ffffffff,7.0,7.0,0.0
84b2595ffffffff,4.0,4.0,0.0
84b259bffffffff,9.0,9.0,0.0
84b259dffffffff,6.0,6.0,0.0
84b25b9ffffffff,10.0,10.0,0.0
84b25d7ffffffff,6.0,6.0,0.0
84b25ddffffffff,2.0,0.0,0.0
84b268bffffffff,1.0,0.0,0.0
84b268dffffffff,2.0,0.0,0.0
84b2691ffffffff,2.0,0.0,0.0
84b2693ffffffff,2.0,0.0,0.0
84b269bffffffff,2.0,0.0,0.0
84b26b1ffffffff,2.0,0.0,0.0
84b26b3ffffffff,12.0,0.0,0.0
84b26b9ffffffff,6.0,0.0,0.0
84b26ddffffffff,4.0,0.0,0.0
