cell_id,Sporophila corvina,Sporophila corvina corvina,Sporophila corvina [ophthalmica Group]
824507fffffffff,50.0,0.0,0.0
824527fffffffff,3505.0,111.0,0.0
82452ffffffffff,3260.0,259.0,0.0
824537fffffffff,513.0,0.0,0.0
826617fffffffff,3690.0,0.0,0.0
82661ffffffffff,1170.0,0.0,29.0
826687fffffffff,8.0,0.0,0.0
8266a7fffffffff,15598.0,636.0,0.0
8266affffffffff,2.0,0.0,0.0
8266b7fffffffff,21369.0,162.0,0.0
8266d7fffffffff,7166.0,0.0,582.0
8266f7fffffffff,1375.0,0.0,20.0
82678ffffffffff,3.0,0.0,0.0
826797fffffffff,376.0,0.0,0.0
82679ffffffffff,4761.0,182.0,0.0
8267b7fffffffff,6.0,0.0,0.0
826d27fffffffff,290.0,51.0,0.0
826d2ffffffffff,564.0,136.0,0.0
826d37fffffffff,271.0,37.0,0.0
826d67fffffffff,1489.0,0.0,0.0
826d6ffffffffff,31209.0,148.0,11.0
828f0ffffffffff,852.0,0.0,0.0
828f27fffffffff,23.0,0.0,0.0
828f2ffffffffff,2543.0,0.0,96.0
828f57fffffffff,299.0,0.0,0.0
828f77fffffffff,74.0,0.0,0.0
