cell_id,Henicorhina leucophrys,Henicorhina leucophrys [mexicana Group],Henicorhina leucophrys brunneiceps,Henicorhina leucophrys bangsi,Henicorhina leucophrys manastarae,Henicorhina leucophrys meridana,Henicorhina leucophrys venezuelensis,Henicorhina leucophrys hilaris,Henicorhina leucophrys leucophrys/boliviana
8445201ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445243ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445247ffffffff,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844524bffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449863ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844990bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844990dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449963ffffffff,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449969ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844996bffffffff,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449987ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449a23ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449a27ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846608dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660bdffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84660ddffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466139ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466165ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466193ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8466217ffffffff,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
846622bffffffff,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
8466a05ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466a0bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466b41ffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466b45ffffffff,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466b4dffffffff,33.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466b51ffffffff,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466c41ffffffff,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d0bffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d31ffffffff,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0
8466d35ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466de1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
8466dedffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e03ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466e67ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8466e6dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f03ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466f1dffffffff,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8467413ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8467417ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84675c1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84675ddffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d04dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d227ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d23bffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d287ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d291ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d2b9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d2d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d305ffffffff,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d307ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d30dffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d315ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d32bffffffff,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d337ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d36dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d64dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d691ffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d695ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d69bffffffff,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d69dffffffff,43.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
848b203ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
848b617ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
848b6edffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
848f0dbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
848f2a9ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
848f2abffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
848f2cbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
848f4b3ffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
848f705ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
848f727ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
