cell_id,Zosterops senegalensis,Zosterops senegalensis senegalensis/demeryi,Zosterops senegalensis jacksoni/gerhardi
846a5a9ffffffff,21.0,0.0,0.0
846a653ffffffff,3.0,0.0,0.0
846ac15ffffffff,4.0,0.0,0.0
846ac89ffffffff,1.0,0.0,0.0
846ac93ffffffff,25.0,0.0,0.0
846ac9bffffffff,11.0,0.0,0.0
846adc1ffffffff,10.0,0.0,0.0
846adc5ffffffff,18.0,0.0,0.0
846aea1ffffffff,3.0,0.0,0.0
846aeb7ffffffff,2.0,0.0,0.0
846aec1ffffffff,2.0,0.0,0.0
846aec5ffffffff,2.0,0.0,0.0
846aee1ffffffff,2.0,0.0,0.0
846aee3ffffffff,2.0,0.0,0.0
846aee7ffffffff,1.0,0.0,0.0
846b127ffffffff,2.0,0.0,0.0
846bb61ffffffff,3.0,0.0,0.0
8475039ffffffff,1.0,0.0,0.0
8475057ffffffff,1.0,0.0,0.0
8475085ffffffff,6.0,0.0,0.0
8475087ffffffff,2.0,2.0,0.0
84750a1ffffffff,2.0,0.0,0.0
84750c9ffffffff,2.0,0.0,0.0
84750d1ffffffff,196.0,14.0,0.0
84750d3ffffffff,2.0,0.0,0.0
84750d9ffffffff,4.0,0.0,0.0
84750dbffffffff,3.0,0.0,0.0
84750ddffffffff,1.0,0.0,0.0
8475201ffffffff,43.0,2.0,0.0
8475203ffffffff,1.0,1.0,0.0
8475207ffffffff,100.0,13.0,0.0
847520bffffffff,6.0,0.0,0.0
8475295ffffffff,121.0,5.0,0.0
8475299ffffffff,2.0,0.0,0.0
847529bffffffff,6.0,0.0,0.0
84752abffffffff,6.0,0.0,0.0
84752adffffffff,5.0,0.0,0.0
84752dbffffffff,1.0,0.0,0.0
84752e9ffffffff,4.0,0.0,0.0
84752edffffffff,2.0,0.0,0.0
847532bffffffff,2.0,0.0,0.0
8475761ffffffff,1.0,0.0,0.0
8475765ffffffff,1.0,0.0,0.0
8475769ffffffff,2.0,0.0,0.0
8475a07ffffffff,4.0,0.0,0.0
8475a65ffffffff,2.0,0.0,0.0
8475b01ffffffff,1.0,0.0,0.0
8475b05ffffffff,5.0,0.0,0.0
847a40bffffffff,1.0,0.0,0.0
847a413ffffffff,1.0,0.0,0.0
847a417ffffffff,1.0,0.0,0.0
847a41bffffffff,13.0,0.0,0.0
847a43bffffffff,1.0,0.0,0.0
847a453ffffffff,5.0,0.0,0.0
847a457ffffffff,5.0,0.0,0.0
847a481ffffffff,8.0,0.0,0.0
847a483ffffffff,7.0,0.0,0.0
847a489ffffffff,69.0,0.0,0.0
847a48bffffffff,26.0,0.0,0.0
847a48dffffffff,21.0,0.0,0.0
847a49dffffffff,8.0,0.0,0.0
847a4b5ffffffff,2.0,0.0,0.0
847a4c1ffffffff,24.0,0.0,0.0
847a4c3ffffffff,9.0,0.0,0.0
847a4c5ffffffff,20.0,0.0,0.0
847a4c7ffffffff,13.0,0.0,0.0
847a4c9ffffffff,23.0,0.0,0.0
847a4cbffffffff,177.0,0.0,0.0
847a4cdffffffff,21.0,0.0,0.0
847a4d1ffffffff,113.0,0.0,0.0
847a4d5ffffffff,4.0,0.0,0.0
847a4d7ffffffff,7.0,0.0,0.0
847a4d9ffffffff,18.0,0.0,0.0
847a4dbffffffff,15.0,0.0,0.0
847a4ddffffffff,201.0,0.0,0.0
847a681ffffffff,31.0,0.0,0.0
847a683ffffffff,123.0,0.0,0.0
847a685ffffffff,6.0,0.0,0.0
847a687ffffffff,5.0,0.0,0.0
847a68bffffffff,4.0,0.0,0.0
847a68dffffffff,4.0,0.0,0.0
847a695ffffffff,4.0,0.0,0.0
847a6a1ffffffff,8.0,0.0,0.0
847a6a3ffffffff,11.0,0.0,0.0
847a6a5ffffffff,6.0,0.0,0.0
847a6a7ffffffff,5.0,0.0,0.0
847a6a9ffffffff,1.0,0.0,0.0
847a6adffffffff,58.0,0.0,0.0
847a6b5ffffffff,3.0,0.0,0.0
847a6b7ffffffff,8.0,0.0,0.0
847a6bdffffffff,5.0,0.0,0.0
847a6e5ffffffff,39.0,0.0,0.0
847a6e7ffffffff,12.0,0.0,0.0
847ac87ffffffff,1.0,0.0,0.0
847ae85ffffffff,1.0,0.0,0.0
847aed3ffffffff,3.0,0.0,0.0
8496935ffffffff,2.0,0.0,0.0
