cell_id,Cathartes aura,Cathartes aura [aura Group],Cathartes aura ruficollis,Cathartes aura jota,Cathartes aura [undescribed form]
820e4ffffffffff,141.0,0.0,0.0,0.0,0.0
820e5ffffffffff,4.0,0.0,0.0,0.0,0.0
820e9ffffffffff,2.0,0.0,0.0,0.0,0.0
820ecffffffffff,59.0,0.0,0.0,0.0,0.0
820edffffffffff,15.0,0.0,0.0,0.0,0.0
820ef7fffffffff,1.0,0.0,0.0,0.0,0.0
821247fffffffff,10.0,0.0,0.0,0.0,0.0
82124ffffffffff,46.0,0.0,0.0,0.0,0.0
821257fffffffff,321.0,38.0,0.0,0.0,0.0
82125ffffffffff,350.0,0.0,0.0,0.0,0.0
82126ffffffffff,2.0,0.0,0.0,0.0,0.0
82128ffffffffff,164.0,0.0,0.0,0.0,0.0
82129ffffffffff,105.0,0.0,0.0,0.0,0.0
8212affffffffff,16.0,0.0,0.0,0.0,0.0
8212c7fffffffff,948.0,0.0,0.0,0.0,0.0
8212cffffffffff,2055.0,0.0,0.0,0.0,0.0
8212d7fffffffff,3595.0,0.0,0.0,0.0,0.0
8212dffffffffff,7346.0,0.0,0.0,0.0,0.0
8212e7fffffffff,29.0,0.0,0.0,0.0,0.0
8212effffffffff,639.0,11.0,0.0,0.0,0.0
8212f7fffffffff,61.0,0.0,0.0,0.0,0.0
821b97fffffffff,2.0,0.0,0.0,0.0,0.0
822607fffffffff,2658.0,22.0,0.0,0.0,0.0
82260ffffffffff,8350.0,42.0,0.0,0.0,0.0
822617fffffffff,3094.0,2.0,0.0,0.0,0.0
82261ffffffffff,1544.0,3.0,0.0,0.0,0.0
822627fffffffff,6630.0,0.0,0.0,0.0,0.0
82262ffffffffff,10034.0,0.0,0.0,0.0,0.0
822637fffffffff,1287.0,0.0,0.0,0.0,0.0
822647fffffffff,25310.0,0.0,0.0,0.0,0.0
82264ffffffffff,25985.0,0.0,0.0,0.0,0.0
822657fffffffff,41136.0,0.0,0.0,0.0,0.0
82265ffffffffff,17892.0,0.0,0.0,0.0,0.0
822667fffffffff,33777.0,0.0,0.0,0.0,0.0
82266ffffffffff,30242.0,47.0,0.0,0.0,0.0
822677fffffffff,9993.0,0.0,0.0,0.0,0.0
822687fffffffff,16348.0,0.0,0.0,0.0,0.0
82268ffffffffff,22381.0,0.0,0.0,0.0,0.0
822697fffffffff,9309.0,25.0,0.0,0.0,0.0
82269ffffffffff,14093.0,67.0,0.0,0.0,0.0
8226a7fffffffff,2143.0,0.0,0.0,0.0,0.0
8226affffffffff,5847.0,1.0,0.0,0.0,0.0
8226b7fffffffff,1686.0,7.0,0.0,0.0,0.0
8226c7fffffffff,6838.0,0.0,0.0,0.0,0.0
8226cffffffffff,29057.0,36.0,0.0,0.0,0.0
8226d7fffffffff,3863.0,0.0,0.0,0.0,0.0
8226dffffffffff,5995.0,0.0,0.0,0.0,0.0
8226e7fffffffff,16948.0,0.0,0.0,0.0,0.0
8226effffffffff,12995.0,0.0,0.0,0.0,0.0
8226f7fffffffff,4835.0,0.0,0.0,0.0,0.0
822707fffffffff,1961.0,0.0,0.0,0.0,0.0
82270ffffffffff,3121.0,0.0,0.0,0.0,0.0
822717fffffffff,1424.0,0.0,0.0,0.0,0.0
82271ffffffffff,1447.0,0.0,0.0,0.0,0.0
822727fffffffff,8.0,0.0,0.0,0.0,0.0
82272ffffffffff,53.0,0.0,0.0,0.0,0.0
822737fffffffff,7.0,0.0,0.0,0.0,0.0
822747fffffffff,9747.0,0.0,0.0,0.0,0.0
82274ffffffffff,56506.0,0.0,0.0,0.0,0.0
822757fffffffff,12545.0,0.0,0.0,0.0,0.0
82275ffffffffff,37657.0,0.0,0.0,0.0,0.0
822767fffffffff,4134.0,0.0,0.0,0.0,0.0
82276ffffffffff,14634.0,0.0,0.0,0.0,0.0
822777fffffffff,1757.0,0.0,0.0,0.0,0.0
822787fffffffff,839.0,0.0,0.0,0.0,0.0
82278ffffffffff,2413.0,0.0,0.0,0.0,0.0
822797fffffffff,1831.0,0.0,0.0,0.0,0.0
82279ffffffffff,1522.0,0.0,0.0,0.0,0.0
8227a7fffffffff,326.0,0.0,0.0,0.0,0.0
8227affffffffff,1641.0,0.0,0.0,0.0,0.0
8227b7fffffffff,594.0,0.0,0.0,0.0,0.0
822807fffffffff,20445.0,5.0,0.0,0.0,0.0
822817fffffffff,19735.0,0.0,0.0,0.0,0.0
82281ffffffffff,23451.0,0.0,0.0,0.0,0.0
822837fffffffff,199236.0,2353.0,0.0,0.0,0.0
822887fffffffff,6043.0,0.0,0.0,0.0,0.0
82288ffffffffff,4846.0,0.0,0.0,0.0,0.0
822897fffffffff,3371.0,0.0,0.0,0.0,0.0
82289ffffffffff,3515.0,0.0,0.0,0.0,0.0
8228a7fffffffff,1244.0,0.0,0.0,0.0,0.0
8228affffffffff,14973.0,0.0,0.0,0.0,0.0
8228b7fffffffff,6234.0,0.0,0.0,0.0,0.0
8228c7fffffffff,4127.0,0.0,0.0,0.0,0.0
8228cffffffffff,6.0,0.0,0.0,0.0,0.0
8228d7fffffffff,31917.0,0.0,0.0,0.0,0.0
8228dffffffffff,13675.0,0.0,0.0,0.0,0.0
8228e7fffffffff,2.0,0.0,0.0,0.0,0.0
8228f7fffffffff,45046.0,0.0,0.0,0.0,0.0
822917fffffffff,14481.0,0.0,0.0,0.0,0.0
82291ffffffffff,10729.0,0.0,0.0,0.0,0.0
822987fffffffff,4155.0,0.0,0.0,0.0,0.0
82298ffffffffff,11033.0,0.0,0.0,0.0,0.0
822997fffffffff,7449.0,81.0,0.0,0.0,0.0
82299ffffffffff,1202.0,0.0,0.0,0.0,0.0
8229a7fffffffff,75485.0,1.0,0.0,0.0,0.0
8229affffffffff,39389.0,0.0,0.0,0.0,0.0
8229b7fffffffff,16630.0,3.0,0.0,0.0,0.0
822a07fffffffff,3154.0,3.0,0.0,0.0,0.0
822a17fffffffff,118273.0,131.0,0.0,0.0,0.0
822a37fffffffff,60956.0,72.0,0.0,0.0,0.0
822a87fffffffff,32910.0,429.0,0.0,0.0,0.0
822a8ffffffffff,78497.0,176.0,0.0,0.0,0.0
822a97fffffffff,61704.0,0.0,0.0,0.0,0.0
822a9ffffffffff,15051.0,111.0,0.0,0.0,0.0
822aa7fffffffff,60075.0,0.0,0.0,0.0,0.0
822aaffffffffff,303631.0,4475.0,0.0,0.0,0.0
822ab7fffffffff,106272.0,105.0,0.0,0.0,0.0
822ad7fffffffff,21648.0,36.0,0.0,0.0,0.0
822af7fffffffff,47117.0,0.0,0.0,0.0,0.0
822b07fffffffff,1244.0,0.0,0.0,0.0,0.0
822b0ffffffffff,1337.0,0.0,0.0,0.0,0.0
822b17fffffffff,9337.0,0.0,0.0,0.0,0.0
822b1ffffffffff,12420.0,0.0,0.0,0.0,0.0
822b27fffffffff,25.0,0.0,0.0,0.0,0.0
822b2ffffffffff,30.0,0.0,0.0,0.0,0.0
822b37fffffffff,548.0,0.0,0.0,0.0,0.0
822b87fffffffff,31834.0,971.0,0.0,0.0,0.0
822b8ffffffffff,51253.0,217.0,0.0,0.0,0.0
822b97fffffffff,4296.0,89.0,0.0,0.0,0.0
822b9ffffffffff,73431.0,545.0,0.0,0.0,0.0
822ba7fffffffff,4208.0,0.0,0.0,0.0,0.0
822baffffffffff,58021.0,1.0,0.0,0.0,0.0
822bb7fffffffff,344.0,0.0,0.0,0.0,0.0
824417fffffffff,43300.0,1537.0,0.0,0.0,0.0
82441ffffffffff,42225.0,1185.0,0.0,0.0,0.0
824427fffffffff,58.0,0.0,0.0,0.0,0.0
824437fffffffff,6487.0,669.0,0.0,0.0,0.0
824447fffffffff,22061.0,0.0,0.0,0.0,0.0
82444ffffffffff,12371.0,0.0,0.0,0.0,0.0
824457fffffffff,9893.0,0.0,0.0,0.0,0.0
82445ffffffffff,7193.0,0.0,0.0,0.0,0.0
824467fffffffff,652.0,0.0,0.0,0.0,0.0
82446ffffffffff,59588.0,0.0,0.0,0.0,0.0
824477fffffffff,2398.0,0.0,0.0,0.0,0.0
824487fffffffff,4066.0,0.0,0.0,0.0,0.0
8244a7fffffffff,26272.0,533.0,0.0,0.0,0.0
8244affffffffff,81398.0,2954.0,0.0,0.0,0.0
8244b7fffffffff,678.0,0.0,0.0,0.0,0.0
8244c7fffffffff,28619.0,0.0,0.0,0.0,0.0
8244cffffffffff,22954.0,51.0,0.0,0.0,0.0
8244d7fffffffff,45242.0,0.0,0.0,0.0,0.0
8244dffffffffff,34216.0,882.0,0.0,0.0,0.0
8244e7fffffffff,19715.0,593.0,0.0,0.0,0.0
8244effffffffff,8840.0,0.0,0.0,0.0,0.0
8244f7fffffffff,56867.0,604.0,0.0,0.0,0.0
824507fffffffff,3130.0,34.0,0.0,0.0,0.0
82450ffffffffff,11948.0,0.0,0.0,0.0,0.0
82451ffffffffff,280.0,0.0,0.0,0.0,0.0
824527fffffffff,23194.0,108.0,0.0,0.0,0.0
82452ffffffffff,29702.0,493.0,39.0,0.0,0.0
824537fffffffff,4868.0,0.0,0.0,0.0,0.0
82454ffffffffff,1.0,0.0,0.0,0.0,0.0
82456ffffffffff,4.0,0.0,0.0,0.0,0.0
824577fffffffff,1257.0,41.0,0.0,0.0,0.0
824587fffffffff,278.0,21.0,0.0,0.0,0.0
82458ffffffffff,7310.0,885.0,0.0,0.0,0.0
824597fffffffff,896.0,136.0,0.0,0.0,0.0
82459ffffffffff,3638.0,468.0,0.0,0.0,0.0
8245a7fffffffff,18.0,0.0,0.0,0.0,0.0
8245b7fffffffff,3128.0,0.0,0.0,0.0,0.0
824807fffffffff,1010.0,13.0,0.0,0.0,0.0
82480ffffffffff,4210.0,7.0,0.0,0.0,0.0
824817fffffffff,2021.0,15.0,0.0,0.0,0.0
82481ffffffffff,630.0,0.0,0.0,0.0,0.0
824827fffffffff,1168.0,0.0,0.0,0.0,0.0
82482ffffffffff,3502.0,0.0,0.0,0.0,0.0
824837fffffffff,13526.0,227.0,0.0,0.0,0.0
824847fffffffff,493.0,0.0,0.0,0.0,0.0
82484ffffffffff,260.0,0.0,0.0,0.0,0.0
824857fffffffff,1960.0,0.0,0.0,0.0,0.0
82485ffffffffff,8579.0,0.0,0.0,0.0,0.0
824877fffffffff,1367.0,0.0,0.0,0.0,0.0
824887fffffffff,16058.0,7.0,0.0,0.0,0.0
82488ffffffffff,11581.0,0.0,0.0,0.0,0.0
824897fffffffff,46590.0,53.0,0.0,0.0,0.0
82489ffffffffff,71367.0,0.0,0.0,0.0,0.0
8248a7fffffffff,4892.0,178.0,0.0,0.0,0.0
8248affffffffff,7253.0,0.0,0.0,0.0,0.0
8248b7fffffffff,65807.0,72.0,0.0,0.0,0.0
8248c7fffffffff,27512.0,644.0,0.0,0.0,0.0
8248cffffffffff,8845.0,426.0,0.0,0.0,0.0
8248d7fffffffff,5124.0,0.0,0.0,0.0,0.0
8248dffffffffff,17710.0,0.0,0.0,0.0,0.0
8248e7fffffffff,1858.0,15.0,0.0,0.0,0.0
8248effffffffff,108834.0,492.0,0.0,0.0,0.0
8248f7fffffffff,8113.0,0.0,0.0,0.0,0.0
824987fffffffff,3000.0,40.0,0.0,0.0,0.0
82498ffffffffff,678.0,2.0,0.0,0.0,0.0
824997fffffffff,12856.0,650.0,0.0,0.0,0.0
82499ffffffffff,1382.0,1.0,0.0,0.0,0.0
8249a7fffffffff,313.0,0.0,0.0,0.0,0.0
8249affffffffff,7918.0,394.0,0.0,0.0,0.0
8249b7fffffffff,2308.0,11.0,0.0,0.0,0.0
824c8ffffffffff,248.0,0.0,0.0,0.0,0.0
824c97fffffffff,270.0,2.0,0.0,0.0,0.0
824c9ffffffffff,690.0,1.0,0.0,0.0,0.0
824cc7fffffffff,9229.0,0.0,0.0,0.0,0.0
824cd7fffffffff,683.0,0.0,0.0,0.0,0.0
824ceffffffffff,753.0,0.0,0.0,0.0,0.0
824cf7fffffffff,1170.0,0.0,0.0,0.0,0.0
825e67fffffffff,1.0,0.0,0.0,0.0,0.0
825f07fffffffff,7.0,0.0,1.0,0.0,0.0
825f0ffffffffff,471.0,0.0,0.0,0.0,0.0
825f17fffffffff,109.0,0.0,10.0,0.0,0.0
825f1ffffffffff,302.0,0.0,109.0,0.0,0.0
825f27fffffffff,18.0,0.0,17.0,0.0,0.0
825f2ffffffffff,1259.0,0.0,0.0,0.0,0.0
825f47fffffffff,232.0,0.0,6.0,0.0,0.0
825f4ffffffffff,265.0,0.0,11.0,0.0,0.0
825f57fffffffff,28.0,0.0,0.0,0.0,0.0
825f5ffffffffff,3564.0,0.0,188.0,0.0,0.0
825f67fffffffff,4.0,0.0,0.0,0.0,0.0
825f6ffffffffff,71.0,0.0,0.0,0.0,0.0
825f77fffffffff,345.0,0.0,21.0,0.0,0.0
826607fffffffff,1306.0,1.0,20.0,0.0,0.0
82660ffffffffff,4712.0,8.0,65.0,0.0,0.0
826617fffffffff,9299.0,341.0,501.0,0.0,0.0
82661ffffffffff,10665.0,1.0,287.0,0.0,0.0
826627fffffffff,10221.0,178.0,473.0,0.0,0.0
82662ffffffffff,793.0,3.0,1.0,0.0,0.0
826637fffffffff,1138.0,1.0,14.0,0.0,0.0
826647fffffffff,1282.0,2.0,88.0,0.0,0.0
82664ffffffffff,30.0,0.0,0.0,0.0,0.0
