cell_id,Formicarius analis,Formicarius analis [hoffmanni Group],Formicarius analis [analis Group]
845f483ffffffff,1.0,0.0,0.0
845f583ffffffff,8.0,0.0,4.0
84660d1ffffffff,2.0,0.0,0.0
8466131ffffffff,2.0,1.0,0.0
8466139ffffffff,1.0,0.0,0.0
8466165ffffffff,9.0,3.0,0.0
8466167ffffffff,3.0,0.0,0.0
846619bffffffff,5.0,5.0,0.0
84661c3ffffffff,6.0,0.0,0.0
84661c9ffffffff,11.0,0.0,0.0
84661cdffffffff,23.0,0.0,0.0
84661d3ffffffff,1.0,0.0,0.0
8466a51ffffffff,2.0,0.0,0.0
8466b0bffffffff,7.0,5.0,0.0
8466b4dffffffff,2.0,0.0,0.0
8466b55ffffffff,2.0,2.0,0.0
8466c27ffffffff,1.0,0.0,0.0
8466d0bffffffff,2.0,0.0,0.0
8466d1bffffffff,1.0,0.0,0.0
84674edffffffff,2.0,0.0,0.0
846758dffffffff,3.0,0.0,0.0
84675c9ffffffff,1.0,0.0,0.0
84675e3ffffffff,9.0,0.0,0.0
84675ebffffffff,1.0,0.0,0.0
84679a5ffffffff,8.0,8.0,0.0
846d681ffffffff,1.0,0.0,0.0
846d689ffffffff,4.0,0.0,0.0
846d693ffffffff,2.0,0.0,0.0
846d697ffffffff,34.0,30.0,0.0
846d69bffffffff,10.0,7.0,0.0
848ad13ffffffff,1.0,0.0,0.0
848b5cdffffffff,6.0,0.0,6.0
848b637ffffffff,5.0,0.0,5.0
848b63bffffffff,8.0,0.0,8.0
848b69bffffffff,1.0,0.0,0.0
