cell_id,Luscinia megarhynchos,Luscinia megarhynchos megarhynchos/africana,Luscinia megarhynchos golzii
8209a7fffffffff,2.0,0.0,0.0
821847fffffffff,23.0,0.0,0.0
82184ffffffffff,666.0,0.0,0.0
82185ffffffffff,7.0,0.0,0.0
821867fffffffff,11.0,0.0,0.0
82186ffffffffff,222.0,0.0,0.0
821877fffffffff,5.0,0.0,0.0
821947fffffffff,142.0,1.0,0.0
82194ffffffffff,689.0,0.0,0.0
82195ffffffffff,57.0,0.0,0.0
82196ffffffffff,342.0,0.0,0.0
821e07fffffffff,1241.0,44.0,0.0
821e0ffffffffff,1298.0,2.0,0.0
821e17fffffffff,326.0,3.0,0.0
821e1ffffffffff,708.0,0.0,0.0
821e27fffffffff,242.0,0.0,0.0
821e2ffffffffff,71.0,0.0,0.0
821e37fffffffff,1019.0,10.0,0.0
821e5ffffffffff,37.0,0.0,0.0
821e87fffffffff,120.0,0.0,0.0
821e8ffffffffff,19.0,0.0,0.0
821e97fffffffff,16.0,0.0,0.0
821e9ffffffffff,14.0,0.0,0.0
821ea7fffffffff,414.0,0.0,0.0
821eaffffffffff,283.0,0.0,0.0
821eb7fffffffff,146.0,0.0,0.0
821ec7fffffffff,1471.0,49.0,0.0
821ecffffffffff,1730.0,24.0,0.0
821ed7fffffffff,277.0,0.0,0.0
821edffffffffff,505.0,0.0,0.0
821ee7fffffffff,134.0,0.0,0.0
821eeffffffffff,369.0,15.0,0.0
821ef7fffffffff,193.0,0.0,0.0
821f07fffffffff,27.0,1.0,0.0
821f0ffffffffff,6.0,0.0,0.0
821f17fffffffff,156.0,0.0,0.0
821f1ffffffffff,576.0,25.0,0.0
821f37fffffffff,5.0,0.0,0.0
821f57fffffffff,29.0,0.0,0.0
821f87fffffffff,363.0,1.0,0.0
821f8ffffffffff,87.0,0.0,0.0
821f97fffffffff,167.0,23.0,0.0
821f9ffffffffff,295.0,4.0,0.0
821fa7fffffffff,149.0,0.0,0.0
821faffffffffff,906.0,0.0,0.0
821fb7fffffffff,252.0,0.0,0.0
82200ffffffffff,89.0,0.0,36.0
822017fffffffff,44.0,0.0,26.0
82201ffffffffff,47.0,0.0,14.0
82204ffffffffff,49.0,0.0,2.0
82205ffffffffff,32.0,0.0,1.0
822087fffffffff,29.0,0.0,0.0
8220a7fffffffff,40.0,0.0,18.0
8220affffffffff,13.0,0.0,0.0
8220b7fffffffff,2.0,0.0,0.0
8220e7fffffffff,168.0,0.0,62.0
8220effffffffff,22.0,0.0,1.0
8220f7fffffffff,7.0,0.0,0.0
822157fffffffff,12.0,0.0,2.0
822187fffffffff,6.0,0.0,0.0
82219ffffffffff,21.0,0.0,0.0
8221a7fffffffff,2.0,0.0,2.0
8225a7fffffffff,28.0,0.0,1.0
8225affffffffff,5.0,0.0,0.0
8225b7fffffffff,29.0,0.0,2.0
822c07fffffffff,227.0,0.0,0.0
822c0ffffffffff,81.0,0.0,0.0
822c17fffffffff,25.0,0.0,0.0
822c1ffffffffff,63.0,0.0,0.0
822c27fffffffff,52.0,0.0,0.0
822c2ffffffffff,173.0,0.0,0.0
822c37fffffffff,20.0,0.0,0.0
822c77fffffffff,19.0,0.0,0.0
822c87fffffffff,6.0,0.0,0.0
822c97fffffffff,155.0,6.0,19.0
822c9ffffffffff,2.0,0.0,0.0
822ca7fffffffff,1.0,0.0,0.0
822caffffffffff,10.0,0.0,0.0
822cc7fffffffff,109.0,0.0,0.0
822ccffffffffff,29.0,0.0,0.0
822cd7fffffffff,41.0,0.0,0.0
822cdffffffffff,12.0,0.0,0.0
822ce7fffffffff,19.0,0.0,0.0
822cf7fffffffff,235.0,0.0,0.0
822d07fffffffff,337.0,0.0,0.0
822d17fffffffff,282.0,0.0,0.0
822d1ffffffffff,165.0,0.0,0.0
822d27fffffffff,48.0,0.0,0.0
822d2ffffffffff,2.0,0.0,0.0
822d37fffffffff,615.0,0.0,0.0
822d5ffffffffff,5.0,0.0,0.0
822d77fffffffff,3.0,0.0,0.0
822d87fffffffff,4.0,0.0,0.0
822da7fffffffff,133.0,6.0,0.0
822daffffffffff,63.0,0.0,0.0
822db7fffffffff,923.0,7.0,0.0
82346ffffffffff,3.0,0.0,0.0
823817fffffffff,34.0,0.0,0.0
823827fffffffff,247.0,0.0,0.0
823837fffffffff,40.0,0.0,0.0
82384ffffffffff,11.0,0.0,0.0
82385ffffffffff,1.0,0.0,0.0
823867fffffffff,17.0,0.0,0.0
82386ffffffffff,14.0,0.0,0.0
823877fffffffff,7.0,0.0,0.0
823907fffffffff,8480.0,0.0,0.0
82390ffffffffff,3003.0,0.0,0.0
823917fffffffff,2614.0,0.0,0.0
82391ffffffffff,4797.0,1.0,0.0
823927fffffffff,2042.0,0.0,0.0
82392ffffffffff,5472.0,0.0,0.0
823937fffffffff,879.0,0.0,0.0
823947fffffffff,2599.0,0.0,0.0
823957fffffffff,807.0,0.0,0.0
82395ffffffffff,115.0,0.0,0.0
823967fffffffff,495.0,4.0,0.0
82396ffffffffff,969.0,0.0,0.0
823977fffffffff,4807.0,0.0,0.0
823987fffffffff,166.0,0.0,0.0
82398ffffffffff,221.0,0.0,0.0
823997fffffffff,45.0,0.0,0.0
82399ffffffffff,22.0,0.0,0.0
8239affffffffff,161.0,0.0,0.0
823e47fffffffff,92.0,0.0,0.0
823e67fffffffff,2.0,0.0,0.0
823e6ffffffffff,616.0,8.0,0.0
823e77fffffffff,1.0,0.0,0.0
823f27fffffffff,2.0,0.0,0.0
823f2ffffffffff,56.0,0.0,0.0
823f37fffffffff,34.0,0.0,0.0
823f47fffffffff,25.0,0.0,0.0
823f4ffffffffff,45.0,8.0,0.0
823f67fffffffff,338.0,0.0,0.0
