cell_id,Bradypterus lopezi,Bradypterus lopezi [lopezi Group],Bradypterus lopezi barakae,Bradypterus lopezi boultoni,Bradypterus lopezi [mariae Group]
826ac7fffffffff,1.0,0.0,0.0,0.0,0.0
826adffffffffff,87.0,0.0,0.0,0.0,0.0
827a47fffffffff,62.0,0.0,0.0,0.0,0.0
827a4ffffffffff,5.0,0.0,0.0,0.0,0.0
827a67fffffffff,67.0,0.0,0.0,0.0,5.0
827a6ffffffffff,35.0,0.0,0.0,0.0,0.0
827b4ffffffffff,194.0,0.0,0.0,0.0,21.0
8282d7fffffffff,56.0,35.0,0.0,0.0,0.0
828337fffffffff,14.0,0.0,0.0,0.0,0.0
829607fffffffff,8.0,0.0,0.0,0.0,0.0
829617fffffffff,2.0,0.0,0.0,0.0,0.0
829697fffffffff,66.0,0.0,0.0,0.0,6.0
8296a7fffffffff,30.0,0.0,0.0,0.0,1.0
8296b7fffffffff,96.0,0.0,0.0,0.0,0.0
82978ffffffffff,58.0,0.0,0.0,0.0,0.0
8297affffffffff,54.0,0.0,0.0,0.0,11.0
