cell_id,Vireo bellii,Vireo bellii bellii/medius,Vireo bellii arizonae,Vireo bellii pusillus
8426017ffffffff,2.0,0.0,0.0,0.0
8426035ffffffff,2.0,2.0,0.0,0.0
8426039ffffffff,5.0,0.0,0.0,0.0
8426051ffffffff,2.0,0.0,0.0,0.0
8426055ffffffff,2.0,0.0,0.0,0.0
84260a1ffffffff,4.0,2.0,0.0,0.0
84260a9ffffffff,4.0,2.0,0.0,0.0
84260adffffffff,2.0,0.0,0.0,0.0
84260b9ffffffff,3.0,1.0,0.0,0.0
84260bbffffffff,5.0,0.0,0.0,0.0
8426107ffffffff,1.0,0.0,0.0,0.0
8426117ffffffff,2.0,0.0,0.0,0.0
8426161ffffffff,2.0,0.0,0.0,0.0
842616bffffffff,2.0,0.0,0.0,0.0
8426181ffffffff,3.0,0.0,0.0,0.0
8426183ffffffff,3.0,0.0,0.0,0.0
842619dffffffff,2.0,0.0,0.0,0.0
84261abffffffff,1.0,0.0,0.0,0.0
84261b1ffffffff,1.0,1.0,0.0,0.0
84261c5ffffffff,2.0,0.0,0.0,0.0
84262c9ffffffff,64.0,5.0,0.0,0.0
84262cdffffffff,53.0,5.0,0.0,0.0
842632bffffffff,2.0,2.0,0.0,0.0
8426363ffffffff,52.0,5.0,0.0,0.0
842640dffffffff,18.0,0.0,0.0,0.0
8426415ffffffff,2.0,0.0,0.0,0.0
8426417ffffffff,16.0,7.0,0.0,0.0
8426425ffffffff,1.0,0.0,0.0,0.0
8426433ffffffff,4.0,0.0,0.0,0.0
8426439ffffffff,2.0,0.0,0.0,0.0
842645bffffffff,2.0,0.0,0.0,0.0
8426461ffffffff,5.0,0.0,0.0,0.0
8426463ffffffff,28.0,0.0,0.0,0.0
842646dffffffff,1.0,0.0,0.0,0.0
8426493ffffffff,3.0,0.0,0.0,0.0
84264a7ffffffff,1.0,0.0,0.0,0.0
84264adffffffff,4.0,0.0,0.0,0.0
84264c3ffffffff,29.0,1.0,0.0,0.0
84264c5ffffffff,4.0,0.0,0.0,0.0
84264e5ffffffff,6.0,0.0,0.0,0.0
84264e7ffffffff,2.0,0.0,0.0,0.0
8426501ffffffff,16.0,0.0,0.0,0.0
842650bffffffff,2.0,0.0,0.0,0.0
842651bffffffff,22.0,0.0,0.0,0.0
8426521ffffffff,2.0,0.0,0.0,0.0
8426523ffffffff,9.0,0.0,0.0,0.0
8426525ffffffff,3.0,0.0,0.0,0.0
