cell_id,Muscicapa dauurica,Muscicapa dauurica dauurica,Muscicapa dauurica poonensis/siamensis
840a337ffffffff,1.0,0.0,0.0
8414813ffffffff,18.0,0.0,0.0
84149adffffffff,9.0,0.0,0.0
8414ae5ffffffff,26.0,0.0,0.0
8414d65ffffffff,2.0,0.0,0.0
8415889ffffffff,6.0,0.0,0.0
8415929ffffffff,5.0,0.0,0.0
841592bffffffff,1.0,0.0,0.0
841598bffffffff,1.0,0.0,0.0
84209a5ffffffff,10.0,0.0,0.0
842400dffffffff,1.0,0.0,0.0
8424047ffffffff,1.0,0.0,0.0
8424049ffffffff,3.0,0.0,0.0
84240a9ffffffff,1.0,0.0,0.0
84240adffffffff,7.0,0.0,0.0
84240e1ffffffff,1.0,0.0,0.0
84241dbffffffff,2.0,0.0,0.0
8424213ffffffff,1.0,0.0,0.0
8424265ffffffff,5.0,0.0,0.0
842428dffffffff,2.0,0.0,0.0
8424299ffffffff,2.0,0.0,0.0
84242b3ffffffff,2.0,0.0,0.0
84242c3ffffffff,6.0,0.0,0.0
84242e1ffffffff,2.0,0.0,0.0
8424311ffffffff,3.0,0.0,0.0
8424467ffffffff,3.0,0.0,0.0
84244b1ffffffff,6.0,0.0,0.0
84244c1ffffffff,5.0,0.0,0.0
8424505ffffffff,21.0,0.0,0.0
842450dffffffff,2.0,0.0,0.0
842451dffffffff,18.0,0.0,0.0
8424529ffffffff,9.0,0.0,0.0
8424549ffffffff,2.0,0.0,0.0
8424567ffffffff,21.0,0.0,0.0
84245a7ffffffff,2.0,0.0,0.0
842460dffffffff,52.0,0.0,0.0
842463dffffffff,1.0,0.0,0.0
8424663ffffffff,1.0,0.0,0.0
84246c3ffffffff,2.0,0.0,0.0
8424749ffffffff,2.0,0.0,0.0
8424759ffffffff,4.0,0.0,0.0
8424765ffffffff,2.0,0.0,0.0
842476dffffffff,2.0,0.0,0.0
842509dffffffff,1.0,0.0,0.0
842512bffffffff,3.0,0.0,0.0
8425135ffffffff,2.0,0.0,0.0
8425409ffffffff,8.0,0.0,0.0
8425465ffffffff,8.0,0.0,0.0
8425467ffffffff,7.0,0.0,0.0
8425469ffffffff,3.0,0.0,0.0
84255a3ffffffff,10.0,0.0,0.0
84255a5ffffffff,3.0,0.0,0.0
84255a7ffffffff,6.0,0.0,0.0
84255b1ffffffff,4.0,0.0,0.0
84255b5ffffffff,8.0,0.0,0.0
84255b7ffffffff,5.0,0.0,0.0
84255bdffffffff,1.0,0.0,0.0
8425ae7ffffffff,1.0,0.0,0.0
842e0d7ffffffff,33.0,0.0,0.0
842e135ffffffff,3.0,0.0,0.0
842e137ffffffff,3.0,0.0,0.0
842e1a5ffffffff,3.0,0.0,0.0
842e1a7ffffffff,1.0,0.0,0.0
842e1adffffffff,6.0,0.0,0.0
842e1b1ffffffff,4.0,0.0,0.0
842e1b5ffffffff,7.0,0.0,0.0
842e1b9ffffffff,4.0,0.0,0.0
842e1bdffffffff,6.0,0.0,0.0
842e1e7ffffffff,1.0,0.0,0.0
842e44dffffffff,1.0,0.0,0.0
842e46dffffffff,6.0,0.0,0.0
842e497ffffffff,2.0,0.0,0.0
842e605ffffffff,2.0,0.0,0.0
842e611ffffffff,2.0,0.0,0.0
842e613ffffffff,1.0,0.0,0.0
842e615ffffffff,3.0,0.0,0.0
842e619ffffffff,12.0,0.0,0.0
842e653ffffffff,2.0,0.0,0.0
842e681ffffffff,1.0,0.0,0.0
842e689ffffffff,50.0,0.0,0.0
842e68bffffffff,3.0,0.0,0.0
842e6b5ffffffff,2.0,0.0,0.0
842e6c3ffffffff,2.0,0.0,0.0
842e6d5ffffffff,8.0,0.0,0.0
842e6ddffffffff,2.0,0.0,0.0
842e745ffffffff,46.0,0.0,0.0
842e753ffffffff,2.0,0.0,0.0
842e755ffffffff,1.0,0.0,0.0
842e757ffffffff,4.0,0.0,0.0
842e759ffffffff,8.0,0.0,0.0
842e75dffffffff,14.0,0.0,0.0
842e881ffffffff,14.0,0.0,0.0
842e889ffffffff,3.0,0.0,0.0
842e88bffffffff,3.0,0.0,0.0
842ea9dffffffff,2.0,0.0,0.0
842eac3ffffffff,1.0,0.0,0.0
842eac7ffffffff,8.0,0.0,0.0
842eac9ffffffff,8.0,0.0,0.0
842ead3ffffffff,3.0,0.0,0.0
842ead5ffffffff,11.0,0.0,0.0
842eadbffffffff,2.0,0.0,0.0
842eaddffffffff,6.0,0.0,0.0
842ec03ffffffff,4.0,0.0,0.0
842ec23ffffffff,2.0,0.0,0.0
842ec25ffffffff,3.0,0.0,0.0
842ec95ffffffff,1.0,0.0,0.0
842ecb9ffffffff,14.0,0.0,0.0
842ed53ffffffff,2.0,0.0,0.0
842edc7ffffffff,3.0,0.0,0.0
842ef67ffffffff,2.0,0.0,0.0
842f5a3ffffffff,2.0,0.0,0.0
842f5b1ffffffff,5.0,0.0,0.0
842f5b3ffffffff,4.0,0.0,0.0
842f5b5ffffffff,2.0,0.0,0.0
842f5b9ffffffff,6.0,0.0,0.0
842f5bbffffffff,7.0,0.0,0.0
842f5bdffffffff,11.0,0.0,0.0
8430005ffffffff,1.0,0.0,0.0
843012dffffffff,2.0,0.0,0.0
843019bffffffff,6.0,0.0,0.0
8430259ffffffff,1.0,0.0,0.0
843025dffffffff,4.0,0.0,0.0
84302b7ffffffff,70.0,0.0,0.0
8430305ffffffff,38.0,0.0,0.0
843030dffffffff,4.0,0.0,0.0
8430325ffffffff,56.0,0.0,0.0
8430329ffffffff,4.0,0.0,0.0
843032dffffffff,3.0,0.0,0.0
8430833ffffffff,81.0,0.0,0.0
8430855ffffffff,2.0,0.0,0.0
8430911ffffffff,17.0,0.0,0.0
8430981ffffffff,6.0,0.0,0.0
8430985ffffffff,1.0,0.0,0.0
8430989ffffffff,1.0,0.0,0.0
843098dffffffff,5.0,0.0,0.0
8430991ffffffff,8.0,0.0,0.0
8430995ffffffff,47.0,0.0,0.0
8430997ffffffff,1.0,0.0,0.0
84309a1ffffffff,2.0,0.0,0.0
84309a3ffffffff,4.0,0.0,0.0
84309a5ffffffff,22.0,0.0,0.0
84309adffffffff,1.0,0.0,0.0
84309b3ffffffff,41.0,0.0,0.0
84309b5ffffffff,2.0,0.0,0.0
84309b9ffffffff,24.0,0.0,0.0
84309bbffffffff,1.0,0.0,0.0
84309bdffffffff,8.0,2.0,0.0
84309d1ffffffff,2.0,0.0,0.0
84309d3ffffffff,10.0,0.0,0.0
84309d9ffffffff,165.0,0.0,0.0
84309dbffffffff,1.0,0.0,0.0
8430acdffffffff,4.0,0.0,0.0
8430b03ffffffff,2.0,0.0,0.0
8430c0dffffffff,2.0,0.0,0.0
8430c17ffffffff,4.0,0.0,0.0
8430c1dffffffff,2.0,0.0,0.0
8430c49ffffffff,2.0,0.0,0.0
8430c4dffffffff,1.0,0.0,0.0
8430c69ffffffff,1.0,0.0,0.0
8430c6bffffffff,2.0,0.0,0.0
8430cedffffffff,4.0,0.0,0.0
8430d03ffffffff,1.0,0.0,0.0
8430d15ffffffff,1.0,0.0,0.0
8430d39ffffffff,1.0,0.0,0.0
8430d4bffffffff,4.0,0.0,0.0
8430d87ffffffff,1.0,0.0,0.0
8430d9bffffffff,2.0,0.0,0.0
8430e03ffffffff,8.0,0.0,0.0
8430e09ffffffff,3.0,0.0,0.0
8430e0bffffffff,8.0,0.0,0.0
8430e0dffffffff,5.0,0.0,0.0
8430e11ffffffff,4.0,0.0,0.0
8430e1dffffffff,31.0,0.0,0.0
8430e25ffffffff,100.0,0.0,0.0
8430e29ffffffff,41.0,0.0,0.0
8430e31ffffffff,13.0,0.0,0.0
8430e35ffffffff,2.0,0.0,0.0
8430e37ffffffff,6.0,0.0,0.0
8430e41ffffffff,7.0,0.0,0.0
8430e53ffffffff,1.0,0.0,0.0
8430e57ffffffff,4.0,0.0,0.0
8430ecbffffffff,1.0,0.0,0.0
8430f31ffffffff,11.0,0.0,0.0
8431347ffffffff,3.0,0.0,0.0
8431613ffffffff,10.0,0.0,0.0
8431649ffffffff,2.0,0.0,0.0
