cell_id,Chroicocephalus novaehollandiae,Chroicocephalus novaehollandiae novaehollandiae/forsteri,Chroicocephalus novaehollandiae scopulinus
8441129ffffffff,4.0,4.0,0.0
849451dffffffff,1.0,1.0,0.0
849c235ffffffff,2.0,0.0,0.0
849cc2bffffffff,2.0,2.0,0.0
849d24bffffffff,1.0,0.0,0.0
849e06dffffffff,1.0,1.0,0.0
84a612dffffffff,2.0,2.0,0.0
84b8855ffffffff,7.0,0.0,0.0
84bb097ffffffff,4.0,0.0,4.0
84bb2b5ffffffff,9.0,0.0,7.0
84bb2b9ffffffff,1.0,0.0,0.0
84bb2dbffffffff,11.0,0.0,11.0
84bb367ffffffff,2.0,0.0,2.0
84bb515ffffffff,2.0,0.0,0.0
84bb533ffffffff,5.0,0.0,5.0
84bb53dffffffff,7.0,0.0,5.0
84bb59dffffffff,3.0,0.0,3.0
84be089ffffffff,2.0,2.0,0.0
84be08dffffffff,9.0,9.0,0.0
84be0c7ffffffff,7.0,7.0,0.0
84be0d3ffffffff,1.0,1.0,0.0
84be0e3ffffffff,3.0,2.0,0.0
84be189ffffffff,1.0,0.0,0.0
84be41dffffffff,2.0,0.0,0.0
84be455ffffffff,2.0,0.0,0.0
84be45bffffffff,1.0,0.0,0.0
84be4cdffffffff,3.0,0.0,0.0
84be5b1ffffffff,1.0,0.0,0.0
84be607ffffffff,2.0,2.0,0.0
84be60dffffffff,1.0,0.0,0.0
84be629ffffffff,1.0,0.0,0.0
84be631ffffffff,4.0,2.0,0.0
84be635ffffffff,5.0,5.0,0.0
84be639ffffffff,9.0,8.0,0.0
84be63dffffffff,3.0,0.0,0.0
84be681ffffffff,5.0,5.0,0.0
84be685ffffffff,2.0,2.0,0.0
84be689ffffffff,1.0,1.0,0.0
84be6e7ffffffff,1.0,0.0,0.0
84be6edffffffff,2.0,2.0,0.0
84be713ffffffff,2.0,2.0,0.0
84be72dffffffff,131.0,130.0,0.0
84be8d1ffffffff,6.0,5.0,0.0
84be8ddffffffff,2.0,2.0,0.0
84beab3ffffffff,2.0,0.0,0.0
84beab7ffffffff,4.0,2.0,0.0
84bf4c1ffffffff,2.0,2.0,0.0
84bf4cbffffffff,1.0,1.0,0.0
84bf6b7ffffffff,1.0,0.0,0.0
84da841ffffffff,4.0,0.0,4.0
84da843ffffffff,8.0,0.0,8.0
84da847ffffffff,11.0,0.0,4.0
84da853ffffffff,3.0,0.0,3.0
84da921ffffffff,2.0,0.0,0.0
84da94bffffffff,6.0,0.0,0.0
84da94dffffffff,2.0,0.0,2.0
84da965ffffffff,4.0,0.0,2.0
84daa91ffffffff,2.0,0.0,0.0
