cell_id,Carpodacus rubicilla,Carpodacus rubicilla rubicilla,Carpodacus rubicilla [severtzovi Group]
842049bffffffff,2.0,0.0,2.0
84204c3ffffffff,1.0,0.0,0.0
84208a7ffffffff,3.0,0.0,0.0
8420999ffffffff,3.0,0.0,3.0
8420f6bffffffff,1.0,0.0,1.0
842c083ffffffff,3.0,3.0,0.0
842c09dffffffff,1.0,0.0,0.0
842c283ffffffff,3.0,3.0,0.0
843c0e3ffffffff,9.0,0.0,0.0
843d005ffffffff,13.0,0.0,11.0
843d00dffffffff,2.0,0.0,2.0
843d02bffffffff,2.0,0.0,2.0
843d043ffffffff,2.0,0.0,0.0
843d045ffffffff,1.0,0.0,1.0
843d04dffffffff,10.0,0.0,5.0
843d063ffffffff,1.0,0.0,1.0
843d06bffffffff,25.0,0.0,19.0
843d157ffffffff,2.0,0.0,0.0
843d225ffffffff,4.0,0.0,4.0
843d227ffffffff,4.0,0.0,3.0
843d229ffffffff,1.0,0.0,1.0
843d319ffffffff,2.0,0.0,2.0
843d31bffffffff,2.0,0.0,2.0
843d353ffffffff,2.0,0.0,2.0
