cell_id,Nothocercus bonapartei,Nothocercus bonapartei [bonapartei Group],Nothocercus bonapartei frantzii
8466085ffffffff,2.0,0.0,0.0
846608dffffffff,286.0,21.0,0.0
84660a7ffffffff,2.0,0.0,0.0
84660cbffffffff,16.0,2.0,0.0
84660ddffffffff,9.0,0.0,0.0
8466181ffffffff,3.0,0.0,0.0
8466187ffffffff,2.0,0.0,0.0
846618dffffffff,1.0,0.0,0.0
8466197ffffffff,6.0,0.0,0.0
84661b1ffffffff,37.0,4.0,0.0
84661b3ffffffff,25.0,0.0,0.0
84661b9ffffffff,57.0,0.0,0.0
84661bbffffffff,30.0,0.0,0.0
84661c9ffffffff,1.0,0.0,0.0
84661d1ffffffff,16.0,1.0,0.0
84661d5ffffffff,3.0,0.0,0.0
8466217ffffffff,184.0,0.0,0.0
8466299ffffffff,4.0,0.0,0.0
846629dffffffff,6.0,0.0,0.0
84662b1ffffffff,19.0,15.0,0.0
84662e9ffffffff,10.0,0.0,0.0
8466b41ffffffff,73.0,0.0,0.0
8466b43ffffffff,4.0,0.0,0.0
8466b45ffffffff,97.0,0.0,0.0
8466b49ffffffff,16.0,0.0,0.0
8466b4dffffffff,37.0,0.0,0.0
8466b51ffffffff,131.0,0.0,9.0
8466b55ffffffff,17.0,0.0,0.0
8466b5bffffffff,9.0,0.0,0.0
8466b5dffffffff,10.0,0.0,0.0
8466c0dffffffff,49.0,0.0,0.0
8466c21ffffffff,7.0,0.0,0.0
8466c25ffffffff,1.0,0.0,0.0
8466c29ffffffff,2.0,0.0,0.0
8466c2dffffffff,3.0,0.0,0.0
8466c41ffffffff,1.0,0.0,0.0
8466c47ffffffff,17.0,0.0,0.0
8466c4dffffffff,1.0,0.0,0.0
8466c61ffffffff,7.0,0.0,0.0
8466c63ffffffff,62.0,2.0,0.0
8466c67ffffffff,54.0,0.0,0.0
8466c6bffffffff,2.0,0.0,0.0
8466d1bffffffff,1.0,0.0,0.0
8466de1ffffffff,37.0,5.0,0.0
8466dedffffffff,12.0,0.0,0.0
8466e03ffffffff,2.0,0.0,0.0
8466e07ffffffff,6.0,0.0,0.0
8466e09ffffffff,9.0,0.0,0.0
8466e0bffffffff,43.0,0.0,0.0
8466e27ffffffff,3.0,0.0,0.0
8466e2dffffffff,3.0,0.0,0.0
8466e3dffffffff,18.0,0.0,0.0
8466e41ffffffff,5.0,0.0,0.0
8466e43ffffffff,6.0,0.0,0.0
8466e47ffffffff,8.0,5.0,0.0
8466e51ffffffff,17.0,0.0,0.0
8466e55ffffffff,18.0,0.0,0.0
8466e59ffffffff,11.0,0.0,0.0
8466e5dffffffff,6.0,0.0,0.0
8466e67ffffffff,4.0,0.0,0.0
8466e69ffffffff,2.0,0.0,0.0
8466e6dffffffff,5.0,0.0,0.0
8466f0bffffffff,3.0,0.0,0.0
8466f15ffffffff,5.0,0.0,0.0
8466f1dffffffff,193.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,1.0,0.0,0.0
8466f53ffffffff,4.0,0.0,0.0
8466f57ffffffff,3.0,0.0,0.0
8466f59ffffffff,4.0,0.0,0.0
8466f5dffffffff,6.0,0.0,0.0
8467417ffffffff,8.0,0.0,0.0
8467437ffffffff,2.0,0.0,0.0
84674edffffffff,22.0,1.0,0.0
84675adffffffff,30.0,0.0,0.0
84675ebffffffff,7.0,0.0,0.0
84679a7ffffffff,2.0,0.0,0.0
846d681ffffffff,1.0,0.0,0.0
846d691ffffffff,35.0,0.0,0.0
846d695ffffffff,2.0,0.0,0.0
846d699ffffffff,1.0,0.0,0.0
846d69bffffffff,52.0,0.0,0.0
846d69dffffffff,565.0,0.0,0.0
848f549ffffffff,15.0,0.0,0.0
848f54bffffffff,3.0,0.0,0.0
848f705ffffffff,1.0,0.0,0.0
848f721ffffffff,14.0,0.0,0.0
848f727ffffffff,5.0,0.0,0.0
848f729ffffffff,6.0,0.0,0.0
