cell_id,Turdus iliacus,Turdus iliacus coburni,Turdus iliacus iliacus
820127fffffffff,62.0,0.0,2.0
820137fffffffff,550.0,0.0,55.0
82058ffffffffff,14.0,0.0,0.0
820747fffffffff,3449.0,1122.0,0.0
82074ffffffffff,53.0,39.0,0.0
820757fffffffff,322.0,110.0,0.0
82075ffffffffff,2528.0,758.0,0.0
820767fffffffff,818.0,485.0,0.0
820777fffffffff,1519.0,944.0,0.0
820807fffffffff,64.0,0.0,0.0
820817fffffffff,195.0,0.0,1.0
82081ffffffffff,68.0,0.0,0.0
82082ffffffffff,5.0,0.0,0.0
820837fffffffff,46.0,0.0,2.0
820887fffffffff,173.0,0.0,1.0
82088ffffffffff,147.0,0.0,55.0
820897fffffffff,30.0,0.0,0.0
82089ffffffffff,502.0,0.0,100.0
8208a7fffffffff,130.0,0.0,37.0
8208affffffffff,10.0,0.0,0.0
8208b7fffffffff,40.0,0.0,0.0
8208c7fffffffff,57.0,0.0,1.0
8208cffffffffff,353.0,0.0,42.0
8208d7fffffffff,250.0,0.0,16.0
8208dffffffffff,254.0,0.0,30.0
8208e7fffffffff,42.0,0.0,0.0
8208effffffffff,143.0,0.0,7.0
8208f7fffffffff,43.0,0.0,0.0
820937fffffffff,1.0,1.0,0.0
82094ffffffffff,27.0,0.0,0.0
82095ffffffffff,48.0,0.0,0.0
820987fffffffff,195.0,0.0,2.0
82098ffffffffff,112.0,0.0,9.0
820997fffffffff,87.0,0.0,2.0
82099ffffffffff,232.0,0.0,48.0
8209a7fffffffff,467.0,2.0,23.0
8209affffffffff,3.0,0.0,0.0
8209b7fffffffff,4.0,0.0,0.0
820a37fffffffff,13.0,0.0,0.0
820a97fffffffff,2.0,0.0,0.0
820b9ffffffffff,2.0,0.0,0.0
820bb7fffffffff,1.0,0.0,0.0
821027fffffffff,12.0,0.0,0.0
8210c7fffffffff,227.0,0.0,2.0
8210d7fffffffff,3.0,0.0,0.0
8210dffffffffff,43.0,0.0,0.0
8210effffffffff,46.0,0.0,0.0
8210f7fffffffff,1.0,0.0,0.0
821107fffffffff,200.0,0.0,2.0
82110ffffffffff,6.0,0.0,0.0
821117fffffffff,66.0,0.0,0.0
821127fffffffff,110.0,0.0,10.0
82112ffffffffff,69.0,0.0,14.0
821137fffffffff,54.0,0.0,0.0
821157fffffffff,14.0,0.0,0.0
821167fffffffff,2.0,0.0,0.0
821177fffffffff,2.0,0.0,0.0
821187fffffffff,54.0,0.0,8.0
82118ffffffffff,85.0,0.0,11.0
82119ffffffffff,2.0,0.0,0.0
8211a7fffffffff,11.0,0.0,0.0
8211affffffffff,301.0,0.0,83.0
82154ffffffffff,3.0,0.0,0.0
821807fffffffff,35.0,0.0,4.0
821827fffffffff,62.0,1.0,4.0
82182ffffffffff,424.0,0.0,4.0
821847fffffffff,85.0,0.0,0.0
82184ffffffffff,1097.0,0.0,1.0
82185ffffffffff,145.0,0.0,0.0
821867fffffffff,97.0,0.0,27.0
82186ffffffffff,45.0,0.0,0.0
821877fffffffff,337.0,0.0,33.0
821907fffffffff,29.0,0.0,1.0
82190ffffffffff,220.0,1.0,9.0
82191ffffffffff,2.0,0.0,0.0
821927fffffffff,62.0,8.0,0.0
82192ffffffffff,128.0,0.0,37.0
821947fffffffff,4288.0,0.0,896.0
82194ffffffffff,3329.0,0.0,316.0
821957fffffffff,902.0,0.0,187.0
82195ffffffffff,3196.0,1.0,447.0
82196ffffffffff,913.0,0.0,10.0
821977fffffffff,491.0,0.0,18.0
821e07fffffffff,265.0,0.0,12.0
821e0ffffffffff,220.0,0.0,0.0
821e17fffffffff,70.0,0.0,0.0
821e1ffffffffff,46.0,0.0,0.0
821e27fffffffff,245.0,0.0,0.0
821e2ffffffffff,36.0,0.0,0.0
821e37fffffffff,233.0,0.0,6.0
821e47fffffffff,6.0,0.0,0.0
821e57fffffffff,2.0,0.0,0.0
821e67fffffffff,7.0,0.0,0.0
821e6ffffffffff,1.0,0.0,0.0
821e77fffffffff,3.0,0.0,0.0
821e87fffffffff,10.0,0.0,0.0
821ea7fffffffff,4.0,0.0,0.0
821eaffffffffff,5.0,0.0,2.0
821eb7fffffffff,2.0,0.0,0.0
821ec7fffffffff,75.0,0.0,2.0
821ecffffffffff,148.0,0.0,1.0
821ed7fffffffff,10.0,0.0,0.0
821edffffffffff,36.0,0.0,0.0
821eeffffffffff,7.0,0.0,0.0
821ef7fffffffff,7.0,0.0,3.0
821f07fffffffff,213.0,0.0,46.0
821f0ffffffffff,44.0,0.0,0.0
821f17fffffffff,204.0,0.0,6.0
821f1ffffffffff,175.0,0.0,6.0
821f27fffffffff,108.0,0.0,20.0
821f2ffffffffff,492.0,0.0,293.0
821f37fffffffff,647.0,0.0,96.0
821f47fffffffff,16.0,0.0,1.0
821f4ffffffffff,8.0,0.0,0.0
821f57fffffffff,42.0,0.0,0.0
821f5ffffffffff,17.0,0.0,0.0
821f67fffffffff,29.0,0.0,0.0
821f6ffffffffff,24.0,0.0,0.0
821f77fffffffff,310.0,0.0,6.0
821f87fffffffff,137.0,0.0,5.0
821f8ffffffffff,189.0,0.0,90.0
821f97fffffffff,21.0,0.0,0.0
821f9ffffffffff,38.0,0.0,0.0
821fa7fffffffff,356.0,0.0,14.0
821faffffffffff,306.0,0.0,1.0
821fb7fffffffff,135.0,0.0,2.0
82210ffffffffff,1.0,0.0,0.0
822127fffffffff,3.0,0.0,0.0
82212ffffffffff,2.0,0.0,0.0
822447fffffffff,2.0,0.0,0.0
82250ffffffffff,2.0,0.0,0.0
822517fffffffff,9.0,0.0,0.0
822c07fffffffff,73.0,0.0,25.0
822c0ffffffffff,144.0,0.0,0.0
