cell_id,Larus californicus,Larus californicus californicus,Larus californicus albertaensis
821217fffffffff,1.0,0.0,0.0
82121ffffffffff,92.0,0.0,0.0
82122ffffffffff,2.0,0.0,0.0
821247fffffffff,6.0,0.0,0.0
82124ffffffffff,24.0,0.0,0.0
821257fffffffff,565.0,0.0,99.0
82125ffffffffff,439.0,0.0,0.0
821267fffffffff,16.0,0.0,0.0
821277fffffffff,95.0,0.0,0.0
821287fffffffff,116.0,0.0,0.0
82128ffffffffff,108.0,0.0,0.0
821297fffffffff,170.0,0.0,0.0
82129ffffffffff,1833.0,0.0,0.0
8212affffffffff,78.0,0.0,0.0
8212b7fffffffff,748.0,0.0,0.0
8212c7fffffffff,361.0,0.0,0.0
8212cffffffffff,9403.0,0.0,0.0
8212d7fffffffff,1850.0,0.0,0.0
8212dffffffffff,2033.0,0.0,0.0
8212e7fffffffff,276.0,0.0,2.0
8212effffffffff,2097.0,0.0,37.0
8212f7fffffffff,35.0,0.0,0.0
821357fffffffff,145.0,0.0,0.0
821397fffffffff,68.0,0.0,0.0
82139ffffffffff,180.0,0.0,0.0
821d27fffffffff,45.0,0.0,0.0
821d67fffffffff,7.0,0.0,0.0
822607fffffffff,27.0,0.0,0.0
822617fffffffff,168.0,0.0,0.0
822627fffffffff,24.0,0.0,0.0
822637fffffffff,745.0,0.0,0.0
822687fffffffff,6290.0,0.0,0.0
82268ffffffffff,9037.0,0.0,0.0
822697fffffffff,21327.0,1.0,0.0
82269ffffffffff,1287.0,0.0,0.0
8226a7fffffffff,306.0,0.0,0.0
8226affffffffff,4344.0,0.0,0.0
8226b7fffffffff,519.0,2.0,0.0
8226d7fffffffff,1.0,0.0,0.0
8226f7fffffffff,231.0,0.0,0.0
822707fffffffff,19.0,0.0,0.0
822717fffffffff,214.0,0.0,0.0
82271ffffffffff,106.0,0.0,0.0
822787fffffffff,909.0,0.0,0.0
82278ffffffffff,143.0,0.0,0.0
822797fffffffff,2317.0,0.0,0.0
82279ffffffffff,414.0,0.0,0.0
8227a7fffffffff,839.0,0.0,0.0
8227affffffffff,848.0,0.0,0.0
8227b7fffffffff,668.0,0.0,0.0
822807fffffffff,8205.0,37.0,0.0
822817fffffffff,3569.0,0.0,0.0
82281ffffffffff,8648.0,290.0,0.0
822827fffffffff,1.0,0.0,0.0
822837fffffffff,137815.0,730.0,0.0
822887fffffffff,5797.0,47.0,0.0
82288ffffffffff,6433.0,0.0,0.0
822897fffffffff,2127.0,0.0,0.0
82289ffffffffff,793.0,0.0,0.0
8228a7fffffffff,147.0,0.0,0.0
8228affffffffff,2798.0,0.0,0.0
8228b7fffffffff,6101.0,2.0,0.0
8228c7fffffffff,17325.0,0.0,0.0
8228cffffffffff,308.0,0.0,0.0
8228d7fffffffff,27096.0,0.0,0.0
8228dffffffffff,10042.0,0.0,0.0
8228e7fffffffff,2062.0,0.0,0.0
8228f7fffffffff,19865.0,0.0,0.0
822917fffffffff,9348.0,0.0,0.0
82291ffffffffff,6454.0,0.0,0.0
822987fffffffff,1751.0,0.0,0.0
82298ffffffffff,10825.0,0.0,0.0
822997fffffffff,542.0,0.0,0.0
82299ffffffffff,427.0,0.0,0.0
8229a7fffffffff,57572.0,14.0,0.0
8229affffffffff,12070.0,0.0,0.0
8229b7fffffffff,1434.0,0.0,0.0
824807fffffffff,57.0,0.0,0.0
82480ffffffffff,270.0,0.0,0.0
824827fffffffff,532.0,0.0,0.0
82482ffffffffff,520.0,0.0,0.0
824837fffffffff,376.0,0.0,0.0
824847fffffffff,164.0,0.0,0.0
82484ffffffffff,378.0,0.0,0.0
824857fffffffff,330.0,0.0,0.0
82485ffffffffff,3032.0,0.0,0.0
82486ffffffffff,4.0,0.0,0.0
824877fffffffff,286.0,0.0,0.0
8248c7fffffffff,224.0,0.0,0.0
8248cffffffffff,88.0,0.0,0.0
8248d7fffffffff,33.0,0.0,0.0
8248dffffffffff,279.0,0.0,0.0
8248effffffffff,125.0,0.0,0.0
8249affffffffff,50.0,1.0,0.0
