cell_id,Knipolegus orenocensis,Knipolegus orenocensis orenocensis/xinguensis,Knipolegus orenocensis sclateri
835f43fffffffff,7.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
836662fffffffff,2.0,0.0,0.0
836663fffffffff,3.0,0.0,0.0
836673fffffffff,6.0,0.0,0.0
836675fffffffff,1.0,1.0,0.0
8366dcfffffffff,6.0,0.0,1.0
838163fffffffff,3.0,3.0,0.0
838a2efffffffff,7.0,0.0,0.0
838a45fffffffff,14.0,0.0,2.0
838af6fffffffff,2.0,0.0,0.0
838b1efffffffff,2.0,0.0,0.0
838b69fffffffff,5.0,0.0,0.0
838f48fffffffff,6.0,0.0,0.0
838f4cfffffffff,1.0,0.0,0.0
