cell_id,Sturnella magna,Sturnella magna hippocrepis,Sturnella magna [magna Group]
840e491ffffffff,2.0,0.0,0.0
840e49bffffffff,4.0,0.0,0.0
840e4d3ffffffff,2.0,0.0,0.0
840ec95ffffffff,2.0,0.0,0.0
840eca7ffffffff,2.0,0.0,0.0
841aa07ffffffff,4.0,0.0,0.0
841aa35ffffffff,4.0,0.0,0.0
8426015ffffffff,4.0,0.0,0.0
8426017ffffffff,13.0,0.0,0.0
8426085ffffffff,2.0,0.0,0.0
8426093ffffffff,2.0,0.0,0.0
8426099ffffffff,13.0,0.0,0.0
84260a1ffffffff,5.0,0.0,5.0
84260a3ffffffff,8.0,0.0,8.0
84260a7ffffffff,2.0,0.0,2.0
84260a9ffffffff,17.0,0.0,12.0
84260adffffffff,14.0,0.0,1.0
84260b5ffffffff,2.0,0.0,2.0
84260b7ffffffff,5.0,0.0,0.0
84260bbffffffff,2.0,0.0,0.0
84260cbffffffff,6.0,0.0,0.0
84260d9ffffffff,11.0,0.0,0.0
84260ddffffffff,4.0,0.0,0.0
84260e3ffffffff,1.0,0.0,0.0
84260ebffffffff,4.0,0.0,0.0
8426103ffffffff,1.0,0.0,0.0
8426107ffffffff,25.0,0.0,0.0
8426115ffffffff,2.0,0.0,0.0
8426117ffffffff,9.0,0.0,0.0
842611dffffffff,4.0,0.0,0.0
8426123ffffffff,10.0,0.0,0.0
842612bffffffff,5.0,0.0,0.0
8426183ffffffff,13.0,0.0,0.0
842618bffffffff,5.0,0.0,0.0
842619dffffffff,2.0,0.0,0.0
84261b3ffffffff,9.0,0.0,0.0
8426245ffffffff,5.0,0.0,0.0
8426251ffffffff,1.0,0.0,0.0
8426269ffffffff,6.0,0.0,0.0
8426281ffffffff,2.0,0.0,0.0
84262b3ffffffff,39.0,0.0,0.0
84262b7ffffffff,4.0,0.0,0.0
84262c1ffffffff,3.0,0.0,0.0
84262c9ffffffff,2.0,0.0,0.0
8426405ffffffff,1.0,0.0,0.0
842640dffffffff,8.0,0.0,0.0
8426417ffffffff,4.0,0.0,0.0
842642bffffffff,1.0,0.0,0.0
8426443ffffffff,4.0,0.0,0.0
8426455ffffffff,2.0,0.0,0.0
8426459ffffffff,7.0,0.0,0.0
8426461ffffffff,11.0,0.0,0.0
8426463ffffffff,4.0,0.0,0.0
8426467ffffffff,1.0,0.0,0.0
842646bffffffff,16.0,0.0,0.0
8426481ffffffff,7.0,0.0,3.0
8426483ffffffff,5.0,0.0,2.0
8426487ffffffff,3.0,0.0,2.0
8426489ffffffff,14.0,0.0,7.0
842649bffffffff,5.0,0.0,1.0
842649dffffffff,11.0,0.0,6.0
84264a1ffffffff,9.0,0.0,9.0
84264a3ffffffff,2.0,0.0,2.0
84264a5ffffffff,3.0,0.0,0.0
84264a7ffffffff,11.0,0.0,0.0
84264abffffffff,2.0,0.0,2.0
84264adffffffff,6.0,0.0,0.0
84264b9ffffffff,4.0,0.0,0.0
84264bdffffffff,3.0,0.0,0.0
84264c3ffffffff,3.0,0.0,2.0
84264c7ffffffff,18.0,0.0,17.0
84264cbffffffff,1.0,0.0,1.0
84264d1ffffffff,18.0,0.0,6.0
84264d9ffffffff,9.0,0.0,0.0
84264dbffffffff,4.0,0.0,2.0
84264e1ffffffff,7.0,0.0,0.0
84264e5ffffffff,14.0,0.0,5.0
84264e7ffffffff,6.0,0.0,0.0
8426517ffffffff,2.0,0.0,0.0
8426525ffffffff,11.0,0.0,0.0
8426533ffffffff,1.0,0.0,0.0
842653dffffffff,1.0,0.0,0.0
8426541ffffffff,1.0,0.0,0.0
8426547ffffffff,3.0,0.0,0.0
8426551ffffffff,6.0,0.0,0.0
8426555ffffffff,2.0,0.0,0.0
8426557ffffffff,1.0,0.0,0.0
8426565ffffffff,3.0,0.0,1.0
8426567ffffffff,1.0,0.0,0.0
842656dffffffff,1.0,0.0,0.0
8426587ffffffff,2.0,0.0,0.0
842659bffffffff,74.0,0.0,62.0
84265a9ffffffff,3.0,0.0,3.0
84265b9ffffffff,7.0,0.0,0.0
84265d3ffffffff,2.0,0.0,0.0
84265d7ffffffff,2.0,0.0,0.0
84265dbffffffff,8.0,0.0,6.0
84265e7ffffffff,2.0,0.0,0.0
8426609ffffffff,7.0,0.0,0.0
842660bffffffff,1.0,0.0,0.0
8426629ffffffff,2.0,0.0,2.0
842662bffffffff,1.0,0.0,1.0
842662dffffffff,3.0,0.0,0.0
842663bffffffff,2.0,0.0,0.0
8426643ffffffff,4.0,0.0,0.0
8426645ffffffff,7.0,0.0,2.0
842664bffffffff,2.0,0.0,0.0
842664dffffffff,9.0,0.0,2.0
8426651ffffffff,2.0,0.0,0.0
842666bffffffff,7.0,0.0,2.0
8426689ffffffff,2.0,0.0,0.0
842669bffffffff,7.0,0.0,0.0
84266a9ffffffff,1.0,0.0,0.0
84266bbffffffff,1.0,0.0,0.0
84266c7ffffffff,2.0,0.0,0.0
84266dbffffffff,1.0,0.0,0.0
84266e1ffffffff,1.0,0.0,0.0
84266e7ffffffff,4.0,0.0,2.0
84266ebffffffff,1.0,0.0,0.0
84266edffffffff,3.0,0.0,3.0
8426701ffffffff,2.0,0.0,0.0
8426705ffffffff,6.0,0.0,0.0
842670bffffffff,5.0,0.0,0.0
842670dffffffff,8.0,0.0,0.0
8426723ffffffff,2.0,0.0,2.0
8426743ffffffff,2.0,0.0,0.0
8426745ffffffff,4.0,0.0,0.0
8426747ffffffff,15.0,0.0,0.0
8426749ffffffff,2.0,0.0,0.0
8426753ffffffff,2.0,0.0,0.0
8426765ffffffff,3.0,0.0,0.0
842681bffffffff,46.0,0.0,44.0
842685bffffffff,3.0,0.0,3.0
8426885ffffffff,10.0,0.0,10.0
842688dffffffff,1.0,0.0,1.0
84268cdffffffff,3.0,0.0,3.0
84268e7ffffffff,2.0,0.0,2.0
8426a9dffffffff,6.0,0.0,2.0
8426aadffffffff,18.0,0.0,18.0
8426ac5ffffffff,2.0,0.0,0.0
8426ac9ffffffff,2.0,0.0,0.0
8426acbffffffff,5.0,0.0,0.0
8426c3bffffffff,13.0,0.0,13.0
8426c43ffffffff,1.0,0.0,1.0
8426c49ffffffff,2.0,0.0,0.0
8426c5bffffffff,2.0,0.0,0.0
8426c67ffffffff,1.0,0.0,0.0
8426cc3ffffffff,2.0,0.0,2.0
8426d0bffffffff,1.0,0.0,0.0
8426d1dffffffff,3.0,0.0,0.0
8426d59ffffffff,8.0,0.0,0.0
8426d8dffffffff,7.0,0.0,0.0
8426dc9ffffffff,2.0,0.0,0.0
8426dd3ffffffff,2.0,0.0,0.0
8426de5ffffffff,2.0,0.0,0.0
8426de7ffffffff,1.0,0.0,1.0
8426e01ffffffff,1.0,0.0,0.0
8426e03ffffffff,6.0,0.0,0.0
8426e09ffffffff,2.0,0.0,0.0
8426e19ffffffff,2.0,0.0,0.0
8426e21ffffffff,26.0,0.0,0.0
8426e2dffffffff,6.0,0.0,0.0
8426e33ffffffff,2.0,0.0,0.0
8426e3bffffffff,2.0,0.0,0.0
8426e43ffffffff,7.0,0.0,0.0
8426e47ffffffff,1.0,0.0,0.0
8426e53ffffffff,2.0,0.0,0.0
8426e57ffffffff,4.0,0.0,0.0
8426e59ffffffff,2.0,0.0,0.0
8426e5bffffffff,24.0,0.0,0.0
8426e5dffffffff,8.0,0.0,0.0
8426e97ffffffff,2.0,0.0,2.0
8426e9dffffffff,4.0,0.0,0.0
8426ec1ffffffff,2.0,0.0,0.0
8426ec9ffffffff,2.0,0.0,0.0
8426ecdffffffff,2.0,0.0,0.0
8426ed3ffffffff,2.0,0.0,2.0
8426edbffffffff,1.0,0.0,0.0
8426ee9ffffffff,4.0,0.0,0.0
8426eedffffffff,2.0,0.0,0.0
8426f05ffffffff,2.0,0.0,0.0
8426f0dffffffff,6.0,0.0,0.0
8426f13ffffffff,1.0,0.0,0.0
8426f15ffffffff,2.0,0.0,0.0
8426f1bffffffff,4.0,0.0,0.0
8426f31ffffffff,2.0,0.0,0.0
8426f35ffffffff,3.0,0.0,0.0
8426f53ffffffff,1.0,0.0,0.0
8427023ffffffff,2.0,0.0,0.0
842702bffffffff,1.0,0.0,0.0
8427035ffffffff,1.0,0.0,0.0
842703dffffffff,2.0,0.0,0.0
8427093ffffffff,3.0,0.0,0.0
8427097ffffffff,2.0,0.0,0.0
84270e3ffffffff,11.0,0.0,2.0
8427191ffffffff,2.0,0.0,0.0
84271d9ffffffff,2.0,0.0,0.0
8427401ffffffff,6.0,0.0,0.0
8427409ffffffff,7.0,0.0,0.0
8427411ffffffff,21.0,0.0,0.0
8427417ffffffff,4.0,0.0,0.0
8427419ffffffff,9.0,0.0,0.0
842741bffffffff,21.0,0.0,0.0
842741dffffffff,44.0,0.0,0.0
8427437ffffffff,2.0,0.0,0.0
8427439ffffffff,1.0,0.0,0.0
8427443ffffffff,2.0,0.0,0.0
8427447ffffffff,2.0,0.0,0.0
8427453ffffffff,12.0,0.0,1.0
8427459ffffffff,4.0,0.0,0.0
842745dffffffff,3.0,0.0,0.0
8427461ffffffff,4.0,0.0,0.0
8427463ffffffff,2.0,0.0,0.0
8427481ffffffff,18.0,0.0,0.0
8427483ffffffff,6.0,0.0,0.0
8427485ffffffff,6.0,0.0,0.0
8427487ffffffff,2.0,0.0,0.0
842748bffffffff,3.0,0.0,0.0
842748dffffffff,11.0,0.0,0.0
8427491ffffffff,8.0,0.0,0.0
8427493ffffffff,3.0,0.0,0.0
8427497ffffffff,8.0,0.0,0.0
8427499ffffffff,64.0,0.0,2.0
842749bffffffff,5.0,0.0,0.0
842749dffffffff,12.0,0.0,0.0
84274a3ffffffff,2.0,0.0,0.0
84274abffffffff,38.0,0.0,0.0
84274b1ffffffff,2.0,0.0,0.0
84274b5ffffffff,19.0,0.0,0.0
84274b7ffffffff,2.0,0.0,0.0
84274b9ffffffff,19.0,0.0,0.0
84274bbffffffff,2.0,0.0,0.0
84274c1ffffffff,6.0,0.0,0.0
84274c5ffffffff,2.0,0.0,0.0
84274c9ffffffff,2.0,0.0,0.0
84274cbffffffff,8.0,0.0,0.0
84274cdffffffff,2.0,0.0,0.0
84274d3ffffffff,11.0,0.0,0.0
84274d5ffffffff,19.0,0.0,0.0
84274d7ffffffff,6.0,0.0,0.0
