cell_id,Caprimulgus pectoralis,Caprimulgus pectoralis nigriscapularis,Caprimulgus pectoralis [pectoralis Group]
8354f1fffffffff,1.0,1.0,0.0
8354f6fffffffff,1.0,1.0,0.0
836acafffffffff,2.0,2.0,0.0
836ad8fffffffff,2.0,1.0,0.0
836ad9fffffffff,2.0,2.0,0.0
837a4dfffffffff,2.0,2.0,0.0
837a66fffffffff,2.0,0.0,0.0
8382a0fffffffff,6.0,0.0,0.0
83972efffffffff,1.0,0.0,1.0
83ad32fffffffff,3.0,0.0,2.0
83ad82fffffffff,2.0,0.0,0.0
83ada8fffffffff,2.0,0.0,0.0
83bc45fffffffff,2.0,0.0,0.0
83bc68fffffffff,7.0,0.0,0.0
83bc6afffffffff,5.0,0.0,0.0
83bc6bfffffffff,2.0,0.0,0.0
83bcd0fffffffff,2.0,0.0,0.0
83bcd2fffffffff,8.0,0.0,8.0
83bcf2fffffffff,6.0,0.0,0.0
