cell_id,Gymnorhina tibicen,Gymnorhina tibicen papuana,Gymnorhina tibicen [tibicen Group],Gymnorhina tibicen dorsalis,Gymnorhina tibicen telonocua/tyrannica,Gymnorhina tibicen hypoleuca,Gymnorhina tibicen [tibicen Group] x dorsalis,Gymnorhina tibicen [tibicen Group] x telonocua/tyrannica
84941b1ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8494cddffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8494f53ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8494f5dffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8494f6bffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
849c05dffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
849c413ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
84a606dffffffff,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
84a631dffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
84b8513ffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
84b880bffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84b8857ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84b8a8dffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84b9b3dffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
84bb091ffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84bb0d3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84bb0d5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84bb0d9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84bb0dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84bb0ddffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84bb2b3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84bb2b5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84bb2bbffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
