cell_id,Centropus phasianinus,Centropus phasianinus mui,Centropus phasianinus spilopterus,Centropus phasianinus [phasianinus Group]
837290fffffffff,48.0,0.0,48.0,0.0
8372d2fffffffff,1.0,0.0,0.0,0.0
8372dbfffffffff,15.0,0.0,0.0,0.0
8372f3fffffffff,32.0,0.0,0.0,14.0
839418fffffffff,22.0,0.0,0.0,0.0
83941afffffffff,3.0,0.0,0.0,0.0
83941bfffffffff,33.0,0.0,0.0,6.0
83942dfffffffff,15.0,6.0,0.0,0.0
839442fffffffff,1.0,0.0,0.0,0.0
83944afffffffff,2.0,0.0,0.0,0.0
83944bfffffffff,2.0,0.0,0.0,0.0
839450fffffffff,64.0,0.0,0.0,7.0
839451fffffffff,928.0,0.0,0.0,125.0
839453fffffffff,91.0,0.0,0.0,10.0
839455fffffffff,14.0,0.0,0.0,0.0
839458fffffffff,5.0,0.0,0.0,0.0
839459fffffffff,3.0,0.0,0.0,0.0
83945afffffffff,54.0,0.0,0.0,8.0
83945cfffffffff,354.0,0.0,0.0,78.0
83945efffffffff,71.0,0.0,0.0,15.0
839480fffffffff,472.0,0.0,0.0,32.0
839481fffffffff,81.0,0.0,0.0,2.0
839482fffffffff,19.0,0.0,0.0,0.0
839485fffffffff,6.0,0.0,0.0,0.0
839489fffffffff,7.0,0.0,0.0,0.0
83948cfffffffff,9.0,0.0,0.0,0.0
83948dfffffffff,11.0,0.0,0.0,0.0
83948efffffffff,4.0,0.0,0.0,0.0
839490fffffffff,6.0,0.0,0.0,0.0
839491fffffffff,5.0,0.0,0.0,0.0
839492fffffffff,3.0,0.0,0.0,0.0
839496fffffffff,2.0,0.0,0.0,0.0
8394a9fffffffff,2.0,0.0,0.0,0.0
8394aafffffffff,2.0,0.0,0.0,0.0
8394abfffffffff,7.0,0.0,0.0,1.0
8394aefffffffff,15.0,0.0,0.0,1.0
8394c4fffffffff,38.0,0.0,0.0,14.0
8394c5fffffffff,2.0,0.0,0.0,0.0
8394c6fffffffff,1.0,0.0,0.0,0.0
8394c9fffffffff,2.0,0.0,0.0,0.0
8394ccfffffffff,2.0,0.0,0.0,0.0
8394cdfffffffff,1.0,0.0,0.0,0.0
8394e2fffffffff,83.0,0.0,0.0,13.0
8394e3fffffffff,164.0,0.0,0.0,9.0
8394e8fffffffff,106.0,0.0,0.0,20.0
8394e9fffffffff,8.0,0.0,0.0,2.0
8394eafffffffff,7.0,0.0,0.0,0.0
8394ebfffffffff,2.0,0.0,0.0,2.0
8394edfffffffff,417.0,0.0,0.0,120.0
8394eefffffffff,43.0,0.0,0.0,10.0
8394f2fffffffff,19.0,0.0,0.0,0.0
8394f4fffffffff,8.0,0.0,0.0,2.0
8394f5fffffffff,4.0,0.0,0.0,2.0
8394f6fffffffff,29.0,0.0,0.0,2.0
839c00fffffffff,41.0,0.0,0.0,11.0
839c01fffffffff,60.0,0.0,0.0,19.0
839c05fffffffff,343.0,0.0,0.0,91.0
839c0afffffffff,8.0,0.0,0.0,5.0
839c0cfffffffff,2.0,0.0,0.0,0.0
839c0efffffffff,37.0,0.0,0.0,10.0
839c19fffffffff,326.0,0.0,0.0,37.0
839c20fffffffff,92.0,0.0,0.0,35.0
839c21fffffffff,97.0,0.0,0.0,10.0
839c23fffffffff,1532.0,0.0,0.0,440.0
839c25fffffffff,110.0,0.0,0.0,31.0
839c2cfffffffff,37.0,0.0,0.0,4.0
839c2dfffffffff,20.0,0.0,0.0,4.0
839c2efffffffff,2.0,0.0,0.0,1.0
839c40fffffffff,2.0,0.0,0.0,2.0
839c41fffffffff,12.0,0.0,0.0,0.0
839c43fffffffff,12.0,0.0,0.0,0.0
839c44fffffffff,5.0,0.0,0.0,0.0
839c49fffffffff,14.0,0.0,0.0,7.0
839c4afffffffff,12.0,0.0,0.0,0.0
839c4bfffffffff,23.0,0.0,0.0,10.0
839c4efffffffff,6.0,0.0,0.0,2.0
839c58fffffffff,11.0,0.0,0.0,0.0
839c5afffffffff,25.0,0.0,0.0,4.0
839c60fffffffff,2.0,0.0,0.0,0.0
839c62fffffffff,4.0,0.0,0.0,2.0
839c64fffffffff,2.0,0.0,0.0,2.0
839c66fffffffff,8.0,0.0,0.0,0.0
839c68fffffffff,3.0,0.0,0.0,0.0
839c69fffffffff,1.0,0.0,0.0,1.0
839c6afffffffff,4.0,0.0,0.0,0.0
839c74fffffffff,19.0,0.0,0.0,2.0
839c75fffffffff,2.0,0.0,0.0,0.0
839c85fffffffff,36.0,0.0,0.0,4.0
839c8afffffffff,2.0,0.0,0.0,0.0
839c8bfffffffff,1.0,0.0,0.0,1.0
839c99fffffffff,8.0,0.0,0.0,0.0
839c9dfffffffff,5.0,0.0,0.0,0.0
839ca6fffffffff,44.0,0.0,0.0,36.0
839caafffffffff,50.0,0.0,0.0,18.0
839caefffffffff,187.0,0.0,0.0,56.0
839cb5fffffffff,20.0,0.0,0.0,0.0
839cc2fffffffff,13.0,0.0,0.0,4.0
839cd1fffffffff,10.0,0.0,0.0,2.0
839cd3fffffffff,9.0,0.0,0.0,0.0
839cdafffffffff,2.0,0.0,0.0,2.0
839ce4fffffffff,15.0,0.0,0.0,0.0
839ce9fffffffff,26.0,0.0,0.0,1.0
839cf3fffffffff,63.0,0.0,0.0,31.0
839cf5fffffffff,59.0,0.0,0.0,13.0
839d01fffffffff,100.0,0.0,0.0,22.0
839d08fffffffff,4.0,0.0,0.0,0.0
839d09fffffffff,4.0,0.0,0.0,0.0
839d0afffffffff,25.0,0.0,0.0,4.0
839d0bfffffffff,524.0,0.0,0.0,73.0
839d0cfffffffff,77.0,0.0,0.0,19.0
839d0dfffffffff,2.0,0.0,0.0,2.0
839d0efffffffff,60.0,0.0,0.0,10.0
839d21fffffffff,148.0,0.0,0.0,27.0
839d23fffffffff,11.0,0.0,0.0,3.0
839d24fffffffff,21.0,0.0,0.0,0.0
839d25fffffffff,63.0,0.0,0.0,11.0
839d28fffffffff,7.0,0.0,0.0,0.0
839d29fffffffff,1.0,0.0,0.0,0.0
839d2afffffffff,57.0,0.0,0.0,14.0
839d2bfffffffff,7.0,0.0,0.0,0.0
839d2cfffffffff,6.0,0.0,0.0,0.0
839d2dfffffffff,15.0,0.0,0.0,0.0
839d2efffffffff,3.0,0.0,0.0,0.0
839d44fffffffff,1.0,0.0,0.0,0.0
839d4afffffffff,11.0,0.0,0.0,0.0
839d4efffffffff,3.0,0.0,0.0,0.0
839d50fffffffff,5.0,0.0,0.0,0.0
839d52fffffffff,2.0,0.0,0.0,2.0
839d54fffffffff,7.0,0.0,0.0,1.0
839d56fffffffff,4.0,0.0,0.0,4.0
839d59fffffffff,2.0,0.0,0.0,0.0
839d5afffffffff,4.0,0.0,0.0,0.0
839d5dfffffffff,15.0,0.0,0.0,0.0
839d70fffffffff,2.0,0.0,0.0,1.0
839d75fffffffff,3.0,0.0,0.0,0.0
839d76fffffffff,2.0,0.0,0.0,0.0
83a631fffffffff,1.0,0.0,0.0,0.0
83a6a4fffffffff,3.0,0.0,0.0,0.0
83a6a6fffffffff,37.0,0.0,0.0,4.0
83a782fffffffff,2.0,0.0,0.0,0.0
83a783fffffffff,2.0,0.0,0.0,0.0
83a78afffffffff,4.0,0.0,0.0,0.0
83a79afffffffff,3.0,0.0,0.0,0.0
83a79bfffffffff,1.0,0.0,0.0,0.0
83a79dfffffffff,3.0,0.0,0.0,0.0
83b89afffffffff,2.0,0.0,0.0,0.0
83b89efffffffff,2.0,0.0,0.0,0.0
83be08fffffffff,42.0,0.0,0.0,3.0
83be0afffffffff,9.0,0.0,0.0,2.0
83be0efffffffff,5.0,0.0,0.0,0.0
83be18fffffffff,232.0,0.0,0.0,22.0
83be19fffffffff,20.0,0.0,0.0,2.0
83be1afffffffff,87.0,0.0,0.0,12.0
83be1bfffffffff,5.0,0.0,0.0,0.0
83be1dfffffffff,101.0,0.0,0.0,25.0
83be88fffffffff,335.0,0.0,0.0,37.0
83be89fffffffff,105.0,0.0,0.0,8.0
83be8bfffffffff,201.0,0.0,0.0,4.0
83be8dfffffffff,4688.0,0.0,0.0,583.0
83bea9fffffffff,333.0,0.0,0.0,23.0
83beabfffffffff,318.0,0.0,0.0,25.0
83bec6fffffffff,2.0,0.0,0.0,0.0
83bed0fffffffff,2.0,0.0,0.0,0.0
83bed2fffffffff,13.0,0.0,0.0,2.0
83bed3fffffffff,6.0,0.0,0.0,4.0
83bed4fffffffff,11.0,0.0,0.0,2.0
83bed5fffffffff,5.0,0.0,0.0,1.0
83bed6fffffffff,6.0,0.0,0.0,0.0
83bed8fffffffff,2.0,0.0,0.0,0.0
83bedbfffffffff,2.0,0.0,0.0,0.0
83bedcfffffffff,4.0,0.0,0.0,0.0
83beddfffffffff,2.0,0.0,0.0,0.0
83bedefffffffff,28.0,0.0,0.0,8.0
83bef0fffffffff,17.0,0.0,0.0,0.0
83bef1fffffffff,7.0,0.0,0.0,0.0
83bef2fffffffff,290.0,0.0,0.0,26.0
83bef3fffffffff,1.0,0.0,0.0,0.0
83bef6fffffffff,336.0,0.0,0.0,36.0
