cell_id,Dendropicos goertae,Dendropicos goertae koenigi,Dendropicos goertae [goertae Group]
8452863ffffffff,2.0,0.0,0.0
8452867ffffffff,2.0,0.0,0.0
845291bffffffff,2.0,0.0,0.0
84529b5ffffffff,7.0,0.0,0.0
84529b7ffffffff,5.0,0.0,0.0
84529b9ffffffff,2.0,0.0,0.0
8454025ffffffff,2.0,0.0,2.0
845402dffffffff,15.0,0.0,3.0
84540abffffffff,1.0,0.0,0.0
8454103ffffffff,59.0,0.0,27.0
8454115ffffffff,1.0,0.0,1.0
845411dffffffff,6.0,0.0,3.0
8454133ffffffff,18.0,0.0,3.0
8454137ffffffff,2.0,0.0,1.0
8454139ffffffff,36.0,0.0,22.0
845413bffffffff,9.0,0.0,0.0
8454153ffffffff,14.0,0.0,4.0
8454157ffffffff,33.0,0.0,5.0
8454183ffffffff,4.0,0.0,0.0
8454193ffffffff,2.0,0.0,0.0
8454195ffffffff,7.0,0.0,0.0
84541a3ffffffff,82.0,0.0,7.0
84541a5ffffffff,87.0,0.0,23.0
84541a7ffffffff,4.0,0.0,1.0
84541adffffffff,5.0,0.0,0.0
84541b9ffffffff,45.0,0.0,2.0
84541bbffffffff,3.0,0.0,0.0
84541bdffffffff,8.0,0.0,0.0
84541e1ffffffff,1.0,0.0,0.0
84541e3ffffffff,5.0,0.0,3.0
84541e5ffffffff,2.0,0.0,2.0
84541e7ffffffff,13.0,0.0,2.0
845440dffffffff,4.0,0.0,0.0
8454443ffffffff,1.0,0.0,0.0
8454447ffffffff,3.0,0.0,0.0
8454499ffffffff,1.0,0.0,0.0
8454a93ffffffff,117.0,0.0,8.0
8454a99ffffffff,2.0,0.0,0.0
8454a9bffffffff,196.0,0.0,27.0
8454ac3ffffffff,12.0,0.0,0.0
8454ad1ffffffff,2.0,0.0,0.0
8454ad3ffffffff,4.0,0.0,0.0
8454ad5ffffffff,9.0,0.0,2.0
8454ad7ffffffff,4.0,0.0,0.0
8454ad9ffffffff,4.0,0.0,0.0
8454addffffffff,7.0,0.0,0.0
8454cc3ffffffff,1.0,0.0,0.0
8454e21ffffffff,2.0,0.0,0.0
8454e25ffffffff,2.0,0.0,0.0
8454e41ffffffff,11.0,0.0,0.0
8454e4bffffffff,4.0,0.0,0.0
8454e4dffffffff,93.0,0.0,29.0
8454e51ffffffff,12.0,0.0,1.0
8454e59ffffffff,14.0,0.0,7.0
8454e5bffffffff,8.0,0.0,4.0
8454e5dffffffff,2.0,0.0,0.0
8454e8bffffffff,1.0,0.0,0.0
8454f0bffffffff,3.0,0.0,0.0
8454f0dffffffff,2.0,0.0,0.0
8454f11ffffffff,2.0,0.0,0.0
8454f15ffffffff,10.0,0.0,0.0
8454f17ffffffff,6.0,0.0,0.0
8454f1bffffffff,7.0,0.0,0.0
8454f43ffffffff,2.0,0.0,2.0
8454f45ffffffff,6.0,0.0,0.0
8454f47ffffffff,3.0,0.0,2.0
8454f49ffffffff,20.0,0.0,3.0
8454f4dffffffff,95.0,0.0,11.0
8454f57ffffffff,5.0,0.0,0.0
8454f6bffffffff,13.0,0.0,2.0
84550a7ffffffff,8.0,0.0,0.0
84580bdffffffff,4.0,0.0,0.0
8458517ffffffff,11.0,0.0,0.0
8458581ffffffff,1.0,0.0,0.0
8458585ffffffff,4.0,0.0,0.0
845890bffffffff,7.0,0.0,0.0
845890dffffffff,2.0,0.0,0.0
8458919ffffffff,1.0,0.0,0.0
845891dffffffff,2.0,0.0,0.0
8458969ffffffff,4.0,0.0,0.0
8458a4dffffffff,3.0,0.0,0.0
8458a69ffffffff,2.0,0.0,0.0
8458b51ffffffff,2.0,0.0,0.0
8458c8bffffffff,2.0,0.0,0.0
8458cd9ffffffff,2.0,0.0,0.0
8458d13ffffffff,4.0,0.0,0.0
8458debffffffff,1.0,0.0,0.0
8458e2dffffffff,22.0,0.0,0.0
8458e67ffffffff,4.0,0.0,0.0
8458f09ffffffff,1.0,0.0,0.0
8458f47ffffffff,3.0,0.0,0.0
8458f5bffffffff,1.0,0.0,0.0
8459825ffffffff,1.0,0.0,0.0
8459827ffffffff,6.0,0.0,0.0
84598d7ffffffff,2.0,0.0,0.0
845991bffffffff,5.0,0.0,0.0
8459933ffffffff,2.0,0.0,0.0
8459985ffffffff,6.0,0.0,3.0
84599e5ffffffff,14.0,0.0,5.0
84599e7ffffffff,2.0,0.0,0.0
846a507ffffffff,2.0,0.0,0.0
846a5a9ffffffff,9.0,0.0,0.0
846ac03ffffffff,4.0,0.0,0.0
846ac0bffffffff,3.0,0.0,0.0
846ac11ffffffff,3.0,0.0,0.0
846ac13ffffffff,3.0,0.0,0.0
846ac15ffffffff,59.0,0.0,0.0
846ac1dffffffff,2.0,0.0,0.0
846ac31ffffffff,30.0,0.0,0.0
846ac33ffffffff,2.0,0.0,0.0
846ac35ffffffff,12.0,0.0,0.0
846ac39ffffffff,6.0,0.0,0.0
846ac3dffffffff,64.0,0.0,0.0
846ac89ffffffff,211.0,0.0,12.0
846ac93ffffffff,5.0,0.0,0.0
846ac9bffffffff,12.0,0.0,0.0
846acc3ffffffff,5.0,0.0,0.0
846acc7ffffffff,8.0,0.0,0.0
846acd1ffffffff,4.0,0.0,0.0
846acd5ffffffff,9.0,0.0,0.0
846ace5ffffffff,74.0,0.0,0.0
846ad81ffffffff,4.0,0.0,0.0
846ad89ffffffff,4.0,0.0,0.0
846ad8bffffffff,7.0,0.0,0.0
846adc1ffffffff,9.0,0.0,0.0
846adc3ffffffff,4.0,0.0,0.0
846adc9ffffffff,24.0,0.0,0.0
846add7ffffffff,1.0,0.0,0.0
846add9ffffffff,5.0,0.0,0.0
846ae0bffffffff,6.0,0.0,0.0
846ae85ffffffff,78.0,0.0,0.0
846aea1ffffffff,38.0,0.0,0.0
846aea3ffffffff,14.0,0.0,0.0
846aea5ffffffff,2.0,0.0,0.0
846aea9ffffffff,8.0,0.0,0.0
846aeabffffffff,6.0,0.0,0.0
846aeb5ffffffff,3.0,0.0,0.0
846aee1ffffffff,2.0,0.0,0.0
846aee3ffffffff,61.0,0.0,0.0
846b127ffffffff,4.0,0.0,0.0
846bacdffffffff,1.0,0.0,0.0
846bb61ffffffff,2.0,0.0,0.0
847509dffffffff,1.0,0.0,0.0
84750d3ffffffff,1.0,0.0,1.0
84750d7ffffffff,3.0,0.0,3.0
84750dbffffffff,2.0,0.0,0.0
8475201ffffffff,91.0,0.0,20.0
8475203ffffffff,2.0,0.0,0.0
8475205ffffffff,2.0,0.0,0.0
8475207ffffffff,150.0,0.0,37.0
847520bffffffff,1.0,0.0,0.0
8475293ffffffff,24.0,0.0,2.0
8475295ffffffff,1.0,0.0,0.0
847529bffffffff,15.0,0.0,0.0
84752abffffffff,2.0,0.0,2.0
84752adffffffff,8.0,0.0,5.0
84752e9ffffffff,2.0,0.0,0.0
8475313ffffffff,1.0,0.0,0.0
847532bffffffff,3.0,0.0,0.0
8475361ffffffff,5.0,0.0,0.0
8475761ffffffff,5.0,0.0,1.0
8475769ffffffff,17.0,0.0,2.0
8475a07ffffffff,1.0,0.0,0.0
8475a65ffffffff,2.0,0.0,0.0
847a413ffffffff,53.0,0.0,0.0
847a41bffffffff,5.0,0.0,0.0
847a481ffffffff,11.0,0.0,0.0
847a483ffffffff,8.0,0.0,0.0
847a489ffffffff,2.0,0.0,0.0
847a495ffffffff,3.0,0.0,0.0
847a4b5ffffffff,3.0,0.0,0.0
847a4c1ffffffff,9.0,0.0,0.0
847a4c3ffffffff,2.0,0.0,0.0
847a4cdffffffff,2.0,0.0,0.0
847a4d1ffffffff,33.0,0.0,0.0
847a4d9ffffffff,3.0,0.0,0.0
847a4dbffffffff,8.0,0.0,0.0
847a4e3ffffffff,8.0,0.0,0.0
847a619ffffffff,2.0,0.0,0.0
847a689ffffffff,1.0,0.0,0.0
847a6a7ffffffff,2.0,0.0,0.0
847a6b5ffffffff,2.0,0.0,0.0
847a6b7ffffffff,45.0,0.0,0.0
847a6d1ffffffff,23.0,0.0,0.0
847a6d9ffffffff,9.0,0.0,0.0
847ac81ffffffff,16.0,0.0,0.0
847ac83ffffffff,2.0,0.0,0.0
847ac87ffffffff,2.0,0.0,0.0
847ac8bffffffff,10.0,0.0,0.0
847aca3ffffffff,6.0,0.0,0.0
847acc5ffffffff,3.0,0.0,0.0
847accdffffffff,7.0,0.0,0.0
847acd5ffffffff,19.0,0.0,0.0
847acd7ffffffff,2.0,0.0,0.0
847ad93ffffffff,1.0,0.0,0.0
84828b5ffffffff,2.0,0.0,0.0
84828bdffffffff,1.0,0.0,0.0
8482d07ffffffff,2.0,0.0,0.0
8482d29ffffffff,2.0,0.0,0.0
8482d3dffffffff,3.0,0.0,0.0
8496921ffffffff,8.0,0.0,0.0
8496925ffffffff,21.0,0.0,0.0
8496931ffffffff,2.0,0.0,0.0
8496933ffffffff,1.0,0.0,0.0
