cell_id,Turdus ignobilis,Turdus ignobilis ignobilis/goodfellowi,Turdus ignobilis debilis
835f75fffffffff,2.0,0.0,0.0
836600fffffffff,4.0,0.0,0.0
836601fffffffff,62.0,2.0,0.0
836602fffffffff,6.0,0.0,0.0
836606fffffffff,1.0,0.0,0.0
836608fffffffff,2722.0,11.0,0.0
836609fffffffff,54.0,0.0,0.0
83660afffffffff,125.0,0.0,0.0
83660bfffffffff,410.0,0.0,0.0
83660cfffffffff,201.0,0.0,0.0
83660dfffffffff,136.0,0.0,0.0
83660efffffffff,34.0,0.0,0.0
836611fffffffff,1.0,0.0,0.0
836618fffffffff,1927.0,15.0,0.0
836619fffffffff,5278.0,9.0,0.0
83661afffffffff,12.0,0.0,0.0
83661bfffffffff,6504.0,166.0,0.0
83661cfffffffff,15.0,0.0,0.0
83661dfffffffff,889.0,5.0,0.0
83661efffffffff,12.0,0.0,0.0
836621fffffffff,1.0,0.0,0.0
836629fffffffff,55.0,0.0,0.0
83662bfffffffff,40.0,0.0,0.0
83662dfffffffff,99.0,0.0,0.0
83662efffffffff,4.0,0.0,0.0
836641fffffffff,195.0,0.0,24.0
836643fffffffff,1.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
836650fffffffff,42.0,0.0,0.0
836652fffffffff,254.0,0.0,0.0
836653fffffffff,6.0,0.0,0.0
836654fffffffff,110.0,0.0,0.0
836656fffffffff,429.0,0.0,0.0
83665afffffffff,22.0,0.0,2.0
83665bfffffffff,1.0,0.0,0.0
83665efffffffff,11.0,0.0,0.0
836663fffffffff,25.0,0.0,0.0
836670fffffffff,18.0,0.0,0.0
836672fffffffff,117.0,0.0,0.0
836673fffffffff,49.0,0.0,0.0
836676fffffffff,11.0,0.0,0.0
8366c0fffffffff,936.0,4.0,19.0
8366c1fffffffff,27.0,0.0,0.0
8366c2fffffffff,2402.0,0.0,68.0
8366c3fffffffff,47.0,0.0,0.0
8366c4fffffffff,1325.0,0.0,0.0
8366c5fffffffff,151.0,0.0,0.0
8366c6fffffffff,2913.0,36.0,0.0
8366c9fffffffff,13.0,0.0,0.0
8366cdfffffffff,2.0,0.0,0.0
8366cefffffffff,146.0,0.0,15.0
8366d0fffffffff,16.0,0.0,0.0
8366d1fffffffff,69.0,0.0,2.0
8366d5fffffffff,190.0,0.0,0.0
8366d8fffffffff,36.0,0.0,2.0
8366dafffffffff,504.0,0.0,38.0
8366dbfffffffff,56.0,0.0,0.0
8366dcfffffffff,933.0,0.0,82.0
8366ddfffffffff,71.0,0.0,4.0
8366defffffffff,3382.0,0.0,276.0
8366e0fffffffff,3161.0,12.0,0.0
8366e1fffffffff,813.0,0.0,0.0
8366e2fffffffff,353.0,0.0,0.0
8366e3fffffffff,126.0,0.0,0.0
8366e4fffffffff,2441.0,20.0,0.0
8366e5fffffffff,3898.0,12.0,6.0
8366e6fffffffff,15339.0,202.0,0.0
8366e8fffffffff,8.0,0.0,0.0
8366e9fffffffff,2.0,0.0,0.0
8366eafffffffff,7.0,0.0,0.0
8366ecfffffffff,618.0,0.0,9.0
8366eefffffffff,502.0,0.0,3.0
8366f0fffffffff,694.0,12.0,0.0
8366f1fffffffff,10400.0,107.0,0.0
8366f3fffffffff,25.0,0.0,0.0
8366f5fffffffff,5173.0,36.0,0.0
836758fffffffff,3.0,0.0,0.0
83675afffffffff,31.0,0.0,0.0
83675cfffffffff,4.0,0.0,0.0
83675efffffffff,10.0,0.0,0.0
838a00fffffffff,5.0,0.0,5.0
838a05fffffffff,10.0,0.0,1.0
838a1afffffffff,6.0,0.0,2.0
838a31fffffffff,11.0,0.0,2.0
838a41fffffffff,6.0,0.0,0.0
838a45fffffffff,765.0,0.0,43.0
838a63fffffffff,59.0,0.0,11.0
838a68fffffffff,2.0,0.0,0.0
838a69fffffffff,59.0,0.0,5.0
838a6dfffffffff,635.0,0.0,33.0
838a6efffffffff,2.0,0.0,0.0
838a73fffffffff,8.0,0.0,0.0
838a8dfffffffff,2.0,0.0,0.0
838aa9fffffffff,4.0,0.0,4.0
838aadfffffffff,1.0,0.0,0.0
838ad1fffffffff,5.0,0.0,2.0
838adafffffffff,3.0,0.0,0.0
838adbfffffffff,3.0,0.0,1.0
838adcfffffffff,7.0,0.0,3.0
838ae5fffffffff,2.0,0.0,0.0
838af0fffffffff,29.0,0.0,21.0
838af2fffffffff,50.0,0.0,21.0
838af4fffffffff,12.0,0.0,2.0
838af6fffffffff,163.0,0.0,19.0
838b00fffffffff,3.0,0.0,0.0
838b04fffffffff,12.0,0.0,0.0
838b05fffffffff,2.0,0.0,0.0
838b06fffffffff,2.0,0.0,0.0
838b09fffffffff,1.0,0.0,0.0
838b0cfffffffff,46.0,0.0,0.0
838b0dfffffffff,33.0,0.0,0.0
838b1efffffffff,1.0,0.0,0.0
838b20fffffffff,9.0,0.0,0.0
838b21fffffffff,10.0,0.0,0.0
838b22fffffffff,426.0,0.0,0.0
838b23fffffffff,27.0,0.0,0.0
838b2afffffffff,28.0,0.0,0.0
838b2cfffffffff,20.0,0.0,0.0
838b2efffffffff,30.0,0.0,0.0
838b31fffffffff,6.0,0.0,0.0
838b40fffffffff,25.0,0.0,3.0
838b42fffffffff,23.0,0.0,0.0
838b44fffffffff,375.0,0.0,19.0
838b45fffffffff,26.0,0.0,0.0
838b46fffffffff,15.0,0.0,0.0
838b48fffffffff,8.0,0.0,0.0
838b4efffffffff,7.0,0.0,0.0
