cell_id,Lurocalis semitorquatus,Lurocalis semitorquatus [semitorquatus Group],Lurocalis semitorquatus nattereri
834520fffffffff,2.0,0.0,0.0
834521fffffffff,8.0,0.0,0.0
834523fffffffff,3.0,0.0,0.0
834528fffffffff,3.0,0.0,0.0
83452cfffffffff,66.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0
83452efffffffff,10.0,0.0,0.0
835f01fffffffff,1.0,1.0,0.0
835f4afffffffff,2.0,0.0,0.0
835f58fffffffff,2.0,0.0,0.0
83661cfffffffff,2.0,0.0,0.0
836622fffffffff,3.0,3.0,0.0
836652fffffffff,4.0,0.0,0.0
8366a0fffffffff,1.0,0.0,0.0
8366c2fffffffff,1.0,0.0,0.0
8366d1fffffffff,1.0,0.0,0.0
8366f0fffffffff,4.0,0.0,0.0
836741fffffffff,2.0,0.0,0.0
83674cfffffffff,4.0,0.0,0.0
83674efffffffff,1.0,0.0,0.0
836d2cfffffffff,1.0,0.0,0.0
836d2dfffffffff,7.0,0.0,0.0
836d69fffffffff,2.0,0.0,0.0
836d6dfffffffff,1.0,0.0,0.0
838036fffffffff,2.0,0.0,0.0
838061fffffffff,2.0,2.0,0.0
838102fffffffff,25.0,0.0,12.0
838106fffffffff,2.0,0.0,0.0
838114fffffffff,4.0,0.0,0.0
838116fffffffff,2.0,0.0,0.0
83811efffffffff,9.0,0.0,9.0
83812bfffffffff,4.0,0.0,0.0
838130fffffffff,1.0,0.0,0.0
838132fffffffff,4.0,0.0,0.0
838133fffffffff,35.0,0.0,0.0
838134fffffffff,2.0,0.0,0.0
838136fffffffff,42.0,0.0,0.0
838145fffffffff,3.0,0.0,0.0
838146fffffffff,2.0,0.0,0.0
838163fffffffff,1.0,0.0,0.0
838171fffffffff,8.0,0.0,0.0
838181fffffffff,44.0,0.0,8.0
838185fffffffff,59.0,0.0,19.0
8381adfffffffff,2.0,0.0,0.0
838adcfffffffff,2.0,0.0,0.0
838b63fffffffff,2.0,2.0,0.0
838b75fffffffff,1.0,0.0,0.0
838b9dfffffffff,5.0,0.0,0.0
838f42fffffffff,2.0,0.0,0.0
83a596fffffffff,43.0,0.0,0.0
83a806fffffffff,1.0,0.0,1.0
83a810fffffffff,8.0,0.0,0.0
83a812fffffffff,2.0,0.0,0.0
83a814fffffffff,5.0,0.0,0.0
83a815fffffffff,1.0,0.0,0.0
83a818fffffffff,2.0,0.0,0.0
83a81efffffffff,2.0,0.0,0.0
83a831fffffffff,1.0,0.0,0.0
83a882fffffffff,1.0,0.0,0.0
83a891fffffffff,2.0,0.0,0.0
83a8c0fffffffff,2.0,0.0,0.0
83a946fffffffff,14.0,0.0,0.0
83a950fffffffff,2.0,0.0,0.0
83a953fffffffff,6.0,0.0,0.0
83a955fffffffff,7.0,0.0,0.0
83a968fffffffff,2.0,0.0,0.0
83a973fffffffff,2.0,0.0,0.0
83b342fffffffff,13.0,0.0,2.0
83b35cfffffffff,2.0,0.0,0.0
83b35efffffffff,2.0,0.0,0.0
