cell_id,Buteo rufinus,Buteo rufinus rufinus,Buteo rufinus cirtensis
83118efffffffff,3.0,3.0,0.0
8311aefffffffff,6.0,4.0,0.0
831948fffffffff,2.0,2.0,0.0
83196bfffffffff,2.0,0.0,0.0
831e00fffffffff,2.0,0.0,0.0
831e02fffffffff,4.0,0.0,0.0
831e04fffffffff,48.0,0.0,0.0
831e05fffffffff,1.0,0.0,0.0
831e06fffffffff,6.0,0.0,0.0
831e08fffffffff,2.0,0.0,0.0
831e0afffffffff,41.0,0.0,0.0
831e0efffffffff,39.0,2.0,0.0
831e10fffffffff,3.0,0.0,0.0
831e12fffffffff,2.0,0.0,0.0
831e1bfffffffff,2.0,0.0,0.0
831e1cfffffffff,10.0,0.0,0.0
831e1dfffffffff,2.0,0.0,0.0
831e23fffffffff,2.0,0.0,0.0
831e24fffffffff,1.0,0.0,0.0
831e35fffffffff,10.0,0.0,0.0
831e5afffffffff,1.0,1.0,0.0
831e64fffffffff,2.0,0.0,0.0
831e9afffffffff,1.0,0.0,0.0
831ec0fffffffff,1.0,0.0,0.0
831ec1fffffffff,1.0,0.0,0.0
831ec2fffffffff,3.0,0.0,0.0
831ec4fffffffff,3.0,0.0,0.0
831eccfffffffff,1.0,0.0,0.0
831edafffffffff,20.0,0.0,0.0
831f00fffffffff,2.0,2.0,0.0
831f05fffffffff,1.0,0.0,0.0
831f08fffffffff,1.0,0.0,0.0
831f1afffffffff,5.0,0.0,0.0
831f4afffffffff,1.0,0.0,0.0
831f53fffffffff,2.0,0.0,0.0
831f5dfffffffff,8.0,0.0,0.0
831f98fffffffff,8.0,0.0,0.0
831fa5fffffffff,2.0,0.0,0.0
831fb1fffffffff,7.0,2.0,0.0
832013fffffffff,1.0,1.0,0.0
832029fffffffff,1.0,0.0,0.0
832033fffffffff,10.0,0.0,0.0
8320a0fffffffff,1.0,0.0,0.0
8320e3fffffffff,1.0,0.0,0.0
8320e6fffffffff,1.0,0.0,0.0
832156fffffffff,2.0,0.0,0.0
832403fffffffff,2.0,0.0,0.0
83240afffffffff,2.0,0.0,0.0
83240efffffffff,1.0,0.0,0.0
832431fffffffff,6.0,0.0,0.0
8324d5fffffffff,4.0,0.0,0.0
832513fffffffff,1.0,0.0,0.0
832514fffffffff,2.0,0.0,0.0
832c04fffffffff,2.0,1.0,0.0
832c05fffffffff,3.0,3.0,0.0
832c0bfffffffff,2.0,0.0,0.0
832c0cfffffffff,8.0,8.0,0.0
832c28fffffffff,5.0,5.0,0.0
832c2afffffffff,6.0,6.0,0.0
832c2bfffffffff,2.0,2.0,0.0
832c2efffffffff,12.0,12.0,0.0
832c4cfffffffff,13.0,0.0,0.0
832c51fffffffff,23.0,0.0,0.0
832c5efffffffff,5.0,0.0,0.0
832ce4fffffffff,3.0,0.0,0.0
832d10fffffffff,2.0,2.0,0.0
832d18fffffffff,1.0,0.0,0.0
832d30fffffffff,1.0,0.0,0.0
832d32fffffffff,1.0,0.0,0.0
832d33fffffffff,1.0,0.0,0.0
832d64fffffffff,1.0,0.0,0.0
832da1fffffffff,2.0,0.0,0.0
832db0fffffffff,1.0,1.0,0.0
832db1fffffffff,2.0,0.0,0.0
832db2fffffffff,7.0,7.0,0.0
832db6fffffffff,1.0,1.0,0.0
833800fffffffff,1.0,0.0,1.0
83380dfffffffff,2.0,0.0,2.0
833810fffffffff,1.0,0.0,1.0
833825fffffffff,1.0,0.0,0.0
833862fffffffff,49.0,0.0,41.0
833863fffffffff,4.0,0.0,2.0
833870fffffffff,1.0,0.0,1.0
833871fffffffff,5.0,0.0,5.0
833872fffffffff,1.0,0.0,1.0
833875fffffffff,18.0,0.0,15.0
8338dbfffffffff,1.0,0.0,1.0
833908fffffffff,2.0,0.0,0.0
83390dfffffffff,4.0,0.0,2.0
833910fffffffff,1.0,0.0,1.0
833911fffffffff,3.0,0.0,3.0
833918fffffffff,3.0,0.0,1.0
833919fffffffff,2.0,0.0,0.0
83391afffffffff,34.0,0.0,0.0
83391cfffffffff,4.0,0.0,1.0
83391efffffffff,5.0,0.0,0.0
833928fffffffff,2.0,0.0,0.0
833929fffffffff,2.0,0.0,0.0
83392afffffffff,20.0,2.0,0.0
83392efffffffff,2.0,0.0,0.0
83395cfffffffff,1.0,0.0,0.0
833963fffffffff,1.0,0.0,0.0
83396cfffffffff,2.0,0.0,0.0
833971fffffffff,45.0,26.0,0.0
833974fffffffff,16.0,0.0,1.0
833c02fffffffff,7.0,0.0,0.0
833c11fffffffff,1.0,1.0,0.0
833c19fffffffff,43.0,0.0,0.0
833c1bfffffffff,6.0,0.0,0.0
833c1cfffffffff,4.0,0.0,0.0
833c1dfffffffff,1.0,0.0,0.0
833c52fffffffff,2.0,0.0,0.0
833c53fffffffff,4.0,0.0,0.0
833c58fffffffff,2.0,0.0,0.0
833c5afffffffff,8.0,0.0,0.0
833c5cfffffffff,3.0,0.0,0.0
833c8dfffffffff,6.0,0.0,0.0
833ca9fffffffff,8.0,0.0,0.0
833cabfffffffff,3.0,0.0,0.0
833cc6fffffffff,2.0,0.0,0.0
833ce2fffffffff,1.0,0.0,0.0
833ceafffffffff,9.0,0.0,0.0
833cedfffffffff,4.0,0.0,0.0
833cf2fffffffff,4.0,0.0,0.0
833cf4fffffffff,20.0,0.0,0.0
833cf6fffffffff,6.0,0.0,0.0
833d00fffffffff,10.0,0.0,0.0
833d04fffffffff,4.0,0.0,0.0
833d11fffffffff,2.0,0.0,0.0
833d22fffffffff,1.0,0.0,0.0
833d33fffffffff,3.0,0.0,0.0
833d85fffffffff,8.0,0.0,0.0
833d8bfffffffff,2.0,0.0,0.0
833d8dfffffffff,6.0,0.0,0.0
833d98fffffffff,5.0,0.0,0.0
833da1fffffffff,5.0,0.0,0.0
833da6fffffffff,3.0,0.0,0.0
833da9fffffffff,1.0,0.0,0.0
833daafffffffff,5.0,0.0,0.0
833e45fffffffff,23.0,0.0,0.0
833e68fffffffff,7.0,4.0,0.0
833e6cfffffffff,1.0,1.0,0.0
834253fffffffff,17.0,0.0,0.0
834259fffffffff,2.0,0.0,0.0
83425afffffffff,1.0,0.0,0.0
83425efffffffff,2.0,0.0,0.0
8342c4fffffffff,11.0,0.0,0.0
834360fffffffff,1.0,0.0,0.0
83438cfffffffff,2.0,2.0,0.0
8343a6fffffffff,1.0,0.0,0.0
8343a9fffffffff,3.0,0.0,0.0
83526bfffffffff,1.0,0.0,1.0
83529efffffffff,2.0,0.0,0.0
835929fffffffff,3.0,0.0,3.0
836016fffffffff,61.0,0.0,0.0
836030fffffffff,5.0,0.0,0.0
836033fffffffff,7.0,0.0,0.0
83608bfffffffff,21.0,0.0,0.0
83609efffffffff,3.0,0.0,0.0
8360a2fffffffff,20.0,0.0,0.0
8360acfffffffff,1.0,0.0,0.0
836332fffffffff,2.0,0.0,2.0
836336fffffffff,3.0,3.0,0.0
83641bfffffffff,3.0,0.0,0.0
836482fffffffff,13.0,0.0,0.0
836520fffffffff,2.0,0.0,0.0
836acefffffffff,1.0,0.0,0.0
837a41fffffffff,4.0,0.0,0.0
837a45fffffffff,1.0,0.0,0.0
837a60fffffffff,2.0,0.0,0.0
