cell_id,Sitta carolinensis,Sitta carolinensis carolinensis,Sitta carolinensis [lagunae Group],Sitta carolinensis aculeata/alexandrae
830e5bfffffffff,20.0,0.0,0.0,0.0
830ec9fffffffff,2.0,0.0,0.0,0.0
830eccfffffffff,5.0,0.0,0.0,0.0
8312a3fffffffff,1.0,0.0,0.0,0.0
8312c8fffffffff,3.0,0.0,0.0,0.0
8312c9fffffffff,5.0,5.0,0.0,0.0
8312cbfffffffff,2.0,0.0,2.0,0.0
8312ccfffffffff,6.0,0.0,0.0,0.0
8312cefffffffff,2.0,0.0,2.0,0.0
8312d3fffffffff,1.0,0.0,0.0,0.0
8312d8fffffffff,1.0,0.0,0.0,0.0
8312d9fffffffff,3.0,0.0,0.0,0.0
8312dafffffffff,2.0,0.0,1.0,0.0
8312dcfffffffff,4.0,0.0,0.0,0.0
8312ddfffffffff,30.0,0.0,0.0,0.0
8312ecfffffffff,6.0,0.0,2.0,0.0
8312f2fffffffff,3.0,0.0,0.0,0.0
8312f6fffffffff,3.0,0.0,0.0,0.0
831aa0fffffffff,2.0,0.0,0.0,0.0
832601fffffffff,1.0,0.0,0.0,0.0
832603fffffffff,2.0,2.0,0.0,0.0
832608fffffffff,32.0,29.0,0.0,0.0
832609fffffffff,2.0,0.0,0.0,0.0
83260afffffffff,21.0,21.0,0.0,0.0
83260bfffffffff,26.0,0.0,0.0,0.0
83260efffffffff,18.0,18.0,0.0,0.0
832613fffffffff,1.0,1.0,0.0,0.0
832614fffffffff,1.0,1.0,0.0,0.0
832618fffffffff,11.0,11.0,0.0,0.0
83261afffffffff,2.0,2.0,0.0,0.0
83261bfffffffff,2.0,2.0,0.0,0.0
832625fffffffff,2.0,2.0,0.0,0.0
832628fffffffff,2.0,2.0,0.0,0.0
832629fffffffff,2.0,0.0,0.0,0.0
83262cfffffffff,9.0,2.0,0.0,0.0
832640fffffffff,17.0,0.0,0.0,0.0
832641fffffffff,8.0,0.0,0.0,0.0
832642fffffffff,30.0,0.0,0.0,0.0
832643fffffffff,11.0,0.0,0.0,0.0
832644fffffffff,2.0,0.0,0.0,0.0
832645fffffffff,2.0,0.0,0.0,0.0
832646fffffffff,45.0,0.0,0.0,0.0
832648fffffffff,40.0,28.0,0.0,0.0
832649fffffffff,30.0,9.0,0.0,0.0
83264afffffffff,43.0,39.0,0.0,0.0
83264bfffffffff,12.0,6.0,0.0,0.0
83264cfffffffff,68.0,55.0,0.0,0.0
83264dfffffffff,34.0,10.0,0.0,0.0
83264efffffffff,12.0,3.0,0.0,0.0
832650fffffffff,8.0,0.0,0.0,0.0
832651fffffffff,15.0,0.0,0.0,0.0
832652fffffffff,1.0,0.0,0.0,0.0
832653fffffffff,5.0,0.0,0.0,0.0
832654fffffffff,7.0,0.0,0.0,0.0
832655fffffffff,25.0,0.0,0.0,0.0
832656fffffffff,47.0,4.0,0.0,0.0
832658fffffffff,4.0,0.0,0.0,0.0
83265afffffffff,16.0,16.0,0.0,0.0
83265bfffffffff,20.0,20.0,0.0,0.0
83265cfffffffff,2.0,0.0,0.0,0.0
83265dfffffffff,12.0,0.0,0.0,0.0
83265efffffffff,3.0,2.0,0.0,0.0
832660fffffffff,2.0,0.0,0.0,0.0
832662fffffffff,19.0,2.0,0.0,0.0
832663fffffffff,5.0,0.0,0.0,0.0
832664fffffffff,202.0,70.0,0.0,0.0
832666fffffffff,26.0,16.0,0.0,0.0
832668fffffffff,1.0,1.0,0.0,0.0
832669fffffffff,5.0,0.0,0.0,0.0
83266cfffffffff,2.0,0.0,0.0,0.0
832671fffffffff,3.0,0.0,0.0,0.0
832672fffffffff,3.0,1.0,0.0,0.0
832673fffffffff,4.0,0.0,0.0,0.0
832675fffffffff,9.0,0.0,0.0,0.0
832681fffffffff,254.0,4.0,18.0,0.0
832683fffffffff,4.0,0.0,0.0,0.0
832685fffffffff,10.0,5.0,1.0,0.0
832688fffffffff,23.0,9.0,4.0,0.0
832689fffffffff,22.0,5.0,17.0,0.0
83268afffffffff,2.0,0.0,0.0,0.0
83268bfffffffff,2.0,0.0,2.0,0.0
83268cfffffffff,102.0,11.0,8.0,0.0
83268dfffffffff,41.0,3.0,25.0,0.0
83268efffffffff,1.0,0.0,1.0,0.0
832690fffffffff,48.0,0.0,4.0,0.0
832692fffffffff,10.0,0.0,0.0,0.0
832694fffffffff,4.0,0.0,0.0,0.0
832695fffffffff,3.0,0.0,0.0,0.0
832696fffffffff,562.0,0.0,418.0,0.0
832698fffffffff,3.0,0.0,0.0,0.0
832699fffffffff,6.0,0.0,0.0,0.0
83269afffffffff,3.0,0.0,0.0,0.0
83269cfffffffff,2.0,0.0,0.0,0.0
83269dfffffffff,12.0,0.0,1.0,0.0
83269efffffffff,3.0,0.0,3.0,0.0
8326a1fffffffff,2.0,2.0,0.0,0.0
8326a5fffffffff,2.0,2.0,0.0,0.0
8326a8fffffffff,5.0,0.0,1.0,0.0
8326a9fffffffff,8.0,8.0,0.0,0.0
8326aafffffffff,69.0,11.0,41.0,0.0
8326abfffffffff,17.0,10.0,5.0,0.0
8326acfffffffff,6.0,4.0,0.0,0.0
8326adfffffffff,4.0,4.0,0.0,0.0
8326aefffffffff,12.0,6.0,4.0,0.0
8326c0fffffffff,1.0,0.0,0.0,0.0
8326c3fffffffff,4.0,4.0,0.0,0.0
8326c4fffffffff,4.0,0.0,0.0,0.0
8326c8fffffffff,5.0,0.0,0.0,0.0
8326c9fffffffff,2.0,0.0,0.0,0.0
8326cafffffffff,1.0,0.0,0.0,0.0
8326cbfffffffff,3.0,2.0,0.0,0.0
8326ccfffffffff,4.0,4.0,0.0,0.0
8326cefffffffff,6.0,0.0,0.0,0.0
8326d1fffffffff,7.0,0.0,0.0,0.0
8326d2fffffffff,1.0,1.0,0.0,0.0
8326d3fffffffff,13.0,6.0,1.0,0.0
8326d4fffffffff,5.0,0.0,0.0,0.0
8326d5fffffffff,13.0,3.0,0.0,0.0
8326d6fffffffff,11.0,2.0,5.0,0.0
8326d8fffffffff,1.0,0.0,0.0,0.0
8326defffffffff,21.0,3.0,0.0,0.0
8326e5fffffffff,12.0,0.0,0.0,0.0
8326e9fffffffff,10.0,6.0,0.0,0.0
8326ecfffffffff,9.0,6.0,0.0,0.0
8326edfffffffff,40.0,33.0,0.0,0.0
8326f0fffffffff,4.0,4.0,0.0,0.0
8326f2fffffffff,33.0,11.0,4.0,0.0
8326f4fffffffff,2.0,2.0,0.0,0.0
8326f6fffffffff,2.0,2.0,0.0,0.0
832702fffffffff,2.0,0.0,0.0,0.0
832709fffffffff,2.0,1.0,0.0,0.0
83270afffffffff,1.0,1.0,0.0,0.0
83270bfffffffff,2.0,2.0,0.0,0.0
832711fffffffff,2.0,0.0,0.0,0.0
83271afffffffff,2.0,0.0,0.0,0.0
832741fffffffff,48.0,0.0,0.0,0.0
832744fffffffff,4.0,1.0,0.0,0.0
832745fffffffff,4.0,0.0,0.0,0.0
832746fffffffff,2.0,0.0,0.0,0.0
832748fffffffff,841.0,5.0,0.0,0.0
832749fffffffff,203.0,69.0,0.0,0.0
83274afffffffff,25.0,2.0,0.0,0.0
83274bfffffffff,41.0,0.0,0.0,0.0
83274cfffffffff,41.0,0.0,0.0,0.0
83274dfffffffff,280.0,26.0,0.0,0.0
83274efffffffff,51.0,0.0,0.0,0.0
832754fffffffff,2.0,0.0,0.0,0.0
832755fffffffff,1.0,0.0,0.0,0.0
832758fffffffff,31.0,0.0,0.0,0.0
832759fffffffff,512.0,251.0,0.0,0.0
83275afffffffff,1.0,0.0,0.0,0.0
83275bfffffffff,11.0,2.0,0.0,0.0
83275cfffffffff,3.0,0.0,0.0,0.0
83275dfffffffff,3.0,0.0,0.0,0.0
83275efffffffff,5.0,0.0,0.0,0.0
832763fffffffff,18.0,0.0,0.0,0.0
83276afffffffff,41.0,3.0,0.0,0.0
83276bfffffffff,33.0,0.0,0.0,0.0
83276efffffffff,11.0,0.0,0.0,0.0
832770fffffffff,9.0,0.0,0.0,0.0
832771fffffffff,6.0,0.0,0.0,0.0
832773fffffffff,7.0,0.0,0.0,0.0
832780fffffffff,2.0,2.0,0.0,0.0
832782fffffffff,2.0,0.0,2.0,0.0
832785fffffffff,4.0,4.0,0.0,0.0
83278bfffffffff,3.0,1.0,2.0,0.0
83278cfffffffff,4.0,4.0,0.0,0.0
83278efffffffff,1.0,1.0,0.0,0.0
832792fffffffff,5.0,0.0,3.0,0.0
832793fffffffff,5.0,0.0,5.0,0.0
832794fffffffff,2.0,2.0,0.0,0.0
832796fffffffff,6.0,2.0,0.0,0.0
832798fffffffff,2.0,0.0,2.0,0.0
832799fffffffff,5.0,0.0,5.0,0.0
83279afffffffff,2.0,0.0,2.0,0.0
83279cfffffffff,2.0,2.0,0.0,0.0
83279dfffffffff,2.0,0.0,0.0,0.0
83279efffffffff,2.0,0.0,2.0,0.0
8327a0fffffffff,4.0,0.0,0.0,0.0
8327a9fffffffff,2.0,0.0,0.0,0.0
8327aafffffffff,1.0,0.0,0.0,0.0
8327acfffffffff,2.0,0.0,0.0,0.0
8327adfffffffff,4.0,4.0,0.0,0.0
832800fffffffff,7.0,0.0,0.0,0.0
832802fffffffff,221.0,0.0,0.0,73.0
832806fffffffff,110.0,0.0,0.0,34.0
832810fffffffff,23.0,0.0,1.0,14.0
832811fffffffff,17.0,0.0,15.0,2.0
832812fffffffff,9.0,0.0,9.0,0.0
832813fffffffff,20.0,0.0,4.0,16.0
832814fffffffff,9.0,0.0,4.0,5.0
832815fffffffff,27.0,0.0,4.0,3.0
832816fffffffff,6.0,0.0,6.0,0.0
832818fffffffff,6.0,0.0,0.0,2.0
83281afffffffff,10.0,0.0,10.0,0.0
83281cfffffffff,34.0,0.0,0.0,6.0
83281efffffffff,117.0,0.0,20.0,59.0
832830fffffffff,130.0,0.0,0.0,15.0
832831fffffffff,5.0,0.0,0.0,0.0
832832fffffffff,102.0,0.0,0.0,92.0
832833fffffffff,8.0,0.0,0.0,8.0
832834fffffffff,210.0,0.0,0.0,58.0
832835fffffffff,1.0,0.0,0.0,0.0
832836fffffffff,2693.0,0.0,0.0,510.0
832880fffffffff,8.0,0.0,0.0,0.0
832881fffffffff,5.0,0.0,5.0,0.0
832884fffffffff,24.0,0.0,2.0,0.0
832888fffffffff,40.0,0.0,0.0,0.0
832889fffffffff,5.0,0.0,5.0,0.0
83288afffffffff,3.0,0.0,0.0,0.0
83288bfffffffff,5.0,0.0,3.0,0.0
83288cfffffffff,8.0,0.0,8.0,0.0
83288efffffffff,1.0,0.0,1.0,0.0
832890fffffffff,3.0,0.0,3.0,0.0
832892fffffffff,11.0,0.0,1.0,0.0
832893fffffffff,2.0,0.0,2.0,0.0
832898fffffffff,7.0,0.0,2.0,0.0
832899fffffffff,2.0,0.0,0.0,0.0
83289cfffffffff,1.0,0.0,0.0,0.0
83289dfffffffff,6.0,0.0,4.0,0.0
83289efffffffff,5.0,0.0,3.0,0.0
8328a8fffffffff,4.0,0.0,4.0,0.0
8328a9fffffffff,19.0,0.0,6.0,0.0
8328aafffffffff,9.0,0.0,9.0,0.0
8328abfffffffff,18.0,0.0,18.0,0.0
8328acfffffffff,2.0,0.0,2.0,0.0
8328adfffffffff,13.0,0.0,12.0,0.0
8328b6fffffffff,80.0,0.0,21.0,0.0
8328c2fffffffff,1.0,0.0,0.0,0.0
8328d1fffffffff,30.0,0.0,1.0,0.0
8328d2fffffffff,7.0,0.0,2.0,0.0
8328d3fffffffff,5.0,0.0,0.0,0.0
8328d4fffffffff,14.0,0.0,10.0,0.0
8328d5fffffffff,13.0,0.0,0.0,2.0
8328d6fffffffff,3.0,0.0,3.0,0.0
8328defffffffff,4.0,0.0,0.0,0.0
8328f0fffffffff,8.0,0.0,6.0,0.0
8328f1fffffffff,9.0,0.0,0.0,0.0
8328f2fffffffff,1.0,0.0,1.0,0.0
8328f3fffffffff,30.0,0.0,4.0,5.0
8328f4fffffffff,23.0,0.0,0.0,23.0
8328f5fffffffff,8.0,0.0,0.0,1.0
8328f6fffffffff,3.0,0.0,0.0,0.0
832912fffffffff,3.0,0.0,0.0,1.0
83291afffffffff,1.0,0.0,0.0,1.0
832980fffffffff,14.0,0.0,14.0,0.0
832984fffffffff,6.0,0.0,2.0,0.0
832986fffffffff,3.0,0.0,3.0,0.0
832989fffffffff,20.0,0.0,17.0,0.0
83298cfffffffff,3.0,0.0,2.0,0.0
83298dfffffffff,8.0,0.0,8.0,0.0
832990fffffffff,15.0,0.0,6.0,0.0
832995fffffffff,3.0,0.0,3.0,0.0
83299bfffffffff,8.0,0.0,8.0,0.0
8329a0fffffffff,30.0,0.0,0.0,11.0
8329a1fffffffff,115.0,0.0,0.0,30.0
8329a2fffffffff,9.0,0.0,0.0,2.0
8329a3fffffffff,7.0,0.0,0.0,0.0
8329a4fffffffff,309.0,0.0,0.0,28.0
8329a5fffffffff,221.0,0.0,0.0,1.0
8329a6fffffffff,46.0,0.0,0.0,7.0
8329a8fffffffff,5.0,0.0,0.0,0.0
8329a9fffffffff,7.0,0.0,0.0,0.0
8329aafffffffff,41.0,0.0,23.0,16.0
8329abfffffffff,4.0,0.0,0.0,4.0
8329acfffffffff,2.0,0.0,0.0,2.0
8329adfffffffff,2.0,0.0,0.0,2.0
8329aefffffffff,58.0,0.0,25.0,31.0
8329b0fffffffff,2.0,0.0,0.0,0.0
8329b2fffffffff,1.0,0.0,1.0,0.0
8329b3fffffffff,1.0,0.0,0.0,0.0
8329b6fffffffff,4.0,0.0,4.0,0.0
832a06fffffffff,3.0,0.0,0.0,0.0
832a10fffffffff,462.0,42.0,0.0,0.0
832a12fffffffff,4170.0,310.0,0.0,0.0
832a13fffffffff,4362.0,315.0,0.0,0.0
832a14fffffffff,28.0,4.0,0.0,0.0
832a15fffffffff,3.0,2.0,0.0,0.0
832a16fffffffff,75.0,10.0,0.0,0.0
832a30fffffffff,121.0,36.0,0.0,0.0
832a31fffffffff,149.0,46.0,0.0,0.0
832a32fffffffff,16.0,11.0,0.0,0.0
832a33fffffffff,34.0,19.0,0.0,0.0
832a34fffffffff,30.0,8.0,0.0,0.0
832a36fffffffff,20.0,5.0,0.0,0.0
832a81fffffffff,3.0,0.0,0.0,0.0
832a83fffffffff,2.0,0.0,0.0,0.0
832a84fffffffff,3.0,0.0,0.0,0.0
832a85fffffffff,2.0,1.0,0.0,0.0
832a86fffffffff,3.0,0.0,0.0,0.0
832a88fffffffff,2.0,0.0,0.0,0.0
832a89fffffffff,1.0,0.0,0.0,0.0
832a8afffffffff,1.0,1.0,0.0,0.0
832a8bfffffffff,6.0,4.0,0.0,0.0
832a8cfffffffff,1.0,0.0,0.0,0.0
832a8dfffffffff,2.0,2.0,0.0,0.0
832a90fffffffff,1.0,0.0,0.0,0.0
832a91fffffffff,2.0,1.0,0.0,0.0
832a92fffffffff,1.0,0.0,0.0,0.0
832a94fffffffff,6.0,5.0,0.0,0.0
832a95fffffffff,4.0,2.0,0.0,0.0
832a99fffffffff,1.0,0.0,0.0,0.0
832a9bfffffffff,6.0,2.0,0.0,0.0
832a9cfffffffff,2.0,0.0,0.0,0.0
832aa1fffffffff,105.0,90.0,0.0,0.0
832aa2fffffffff,14.0,0.0,0.0,0.0
832aa3fffffffff,7.0,5.0,0.0,0.0
832aa4fffffffff,24.0,8.0,0.0,0.0
832aa5fffffffff,19.0,18.0,0.0,0.0
832aa6fffffffff,4.0,2.0,0.0,0.0
832aa8fffffffff,55.0,20.0,0.0,0.0
832aa9fffffffff,14.0,4.0,0.0,0.0
832aaafffffffff,20.0,7.0,0.0,0.0
