cell_id,Fregetta tropica,Fregetta tropica tropica,Fregetta tropica melanoleuca
82346ffffffffff,3.0,0.0,0.0
823997fffffffff,1.0,0.0,0.0
829ed7fffffffff,1.0,0.0,0.0
829f57fffffffff,2.0,0.0,0.0
82ad37fffffffff,8.0,0.0,0.0
82bb27fffffffff,1.0,0.0,0.0
82bb57fffffffff,2.0,0.0,0.0
82bc1ffffffffff,5.0,0.0,0.0
82bc6ffffffffff,1.0,0.0,0.0
82bcf7fffffffff,3.0,0.0,0.0
82bd07fffffffff,10.0,0.0,0.0
82bd27fffffffff,18.0,0.0,0.0
82bd2ffffffffff,3.0,0.0,0.0
82bd67fffffffff,35.0,0.0,0.0
82bd77fffffffff,2.0,0.0,0.0
82be1ffffffffff,1.0,0.0,0.0
82be8ffffffffff,24.0,0.0,0.0
82beaffffffffff,47.0,0.0,0.0
82bf6ffffffffff,6.0,0.0,0.0
82c01ffffffffff,3.0,0.0,1.0
82c0d7fffffffff,1.0,0.0,1.0
82c0e7fffffffff,2.0,0.0,0.0
82c0f7fffffffff,1.0,0.0,1.0
82c2f7fffffffff,2.0,0.0,0.0
82c987fffffffff,17.0,0.0,0.0
82c9b7fffffffff,9.0,0.0,0.0
82ce37fffffffff,1.0,0.0,0.0
82d167fffffffff,2.0,0.0,0.0
82d16ffffffffff,11.0,0.0,0.0
82d46ffffffffff,2.0,0.0,0.0
82d68ffffffffff,5.0,0.0,0.0
82d6affffffffff,95.0,0.0,0.0
82d6dffffffffff,40.0,0.0,0.0
82d6f7fffffffff,32.0,0.0,0.0
82d90ffffffffff,1.0,0.0,0.0
82da07fffffffff,61.0,0.0,0.0
82da0ffffffffff,45.0,0.0,0.0
82da17fffffffff,30.0,0.0,0.0
82da1ffffffffff,95.0,0.0,0.0
82da37fffffffff,12.0,0.0,0.0
82da87fffffffff,69.0,0.0,0.0
82daa7fffffffff,7.0,0.0,0.0
82daaffffffffff,95.0,0.0,0.0
82dab7fffffffff,19.0,0.0,0.0
82db87fffffffff,10.0,0.0,0.0
82db8ffffffffff,20.0,0.0,0.0
82db97fffffffff,38.0,0.0,0.0
82db9ffffffffff,2.0,0.0,0.0
82de0ffffffffff,21.0,0.0,0.0
82de1ffffffffff,22.0,0.0,0.0
82de27fffffffff,5.0,1.0,0.0
82de4ffffffffff,3.0,0.0,0.0
82de6ffffffffff,4.0,0.0,0.0
82dea7fffffffff,5.0,0.0,0.0
82df07fffffffff,2.0,1.0,0.0
82df0ffffffffff,12.0,0.0,0.0
82df2ffffffffff,3.0,0.0,0.0
82df47fffffffff,9.0,0.0,0.0
82df57fffffffff,4.0,0.0,0.0
82df5ffffffffff,1.0,0.0,0.0
82df77fffffffff,26.0,0.0,0.0
82df8ffffffffff,1.0,0.0,0.0
82df9ffffffffff,2.0,0.0,0.0
