cell_id,Tauraco schuettii,Tauraco schuettii emini,Tauraco schuettii schuettii
836a9afffffffff,12.0,0.0,0.0
836a9efffffffff,15.0,0.0,0.0
836ac0fffffffff,62.0,2.0,0.0
836ac1fffffffff,205.0,25.0,0.0
836ac3fffffffff,6.0,0.0,0.0
836acafffffffff,7.0,0.0,0.0
836accfffffffff,16.0,0.0,0.0
836acdfffffffff,52.0,8.0,0.0
836acefffffffff,3.0,3.0,0.0
836adafffffffff,3.0,0.0,0.0
836adcfffffffff,891.0,93.0,0.0
836adefffffffff,204.0,0.0,0.0
836ae8fffffffff,1.0,0.0,0.0
836aeafffffffff,35.0,2.0,0.0
837a4cfffffffff,52.0,0.0,0.0
837a4dfffffffff,7.0,0.0,0.0
838392fffffffff,2.0,0.0,0.0
838398fffffffff,36.0,0.0,0.0
8396d2fffffffff,3.0,0.0,0.0
8396d6fffffffff,2.0,0.0,0.0
8396d8fffffffff,1.0,0.0,0.0
