cell_id,Horornis flavolivaceus,Horornis flavolivaceus [vulcanius Group],Horornis flavolivaceus [flavolivaceus Group],Horornis flavolivaceus intricatus/oblitus
823c07fffffffff,3.0,0.0,0.0,0.0
823c0ffffffffff,3.0,0.0,0.0,0.0
823c1ffffffffff,36.0,0.0,1.0,0.0
823c5ffffffffff,28.0,0.0,1.0,0.0
823ce7fffffffff,3.0,0.0,0.0,0.0
823ceffffffffff,1.0,0.0,0.0,0.0
823d17fffffffff,4.0,0.0,0.0,0.0
823d1ffffffffff,4.0,0.0,1.0,0.0
823d37fffffffff,6.0,0.0,0.0,0.0
823daffffffffff,3.0,0.0,0.0,0.0
826817fffffffff,6.0,6.0,0.0,0.0
