cell_id,Falco tinnunculus,Falco tinnunculus [tinnunculus Group],Falco tinnunculus canariensis/dacotiae,Falco tinnunculus neglectus/alexandri,Falco tinnunculus rufescens
821ed7fffffffff,660.0,0.0,0.0,0.0,0.0
821edffffffffff,1895.0,1.0,0.0,0.0,0.0
821ee7fffffffff,268.0,1.0,0.0,0.0,0.0
821eeffffffffff,980.0,70.0,0.0,0.0,0.0
821ef7fffffffff,309.0,0.0,0.0,0.0,0.0
821f07fffffffff,1626.0,297.0,0.0,0.0,0.0
821f0ffffffffff,159.0,0.0,0.0,0.0,0.0
821f17fffffffff,1205.0,12.0,0.0,0.0,0.0
821f1ffffffffff,1606.0,70.0,0.0,0.0,0.0
821f27fffffffff,497.0,80.0,0.0,0.0,0.0
821f2ffffffffff,733.0,250.0,0.0,0.0,0.0
821f37fffffffff,917.0,126.0,0.0,0.0,0.0
821f47fffffffff,19.0,0.0,0.0,0.0,0.0
821f4ffffffffff,61.0,0.0,0.0,0.0,0.0
821f57fffffffff,322.0,0.0,0.0,0.0,0.0
821f5ffffffffff,59.0,0.0,0.0,0.0,0.0
821f67fffffffff,45.0,0.0,0.0,0.0,0.0
821f6ffffffffff,4.0,3.0,0.0,0.0,0.0
821f77fffffffff,214.0,0.0,0.0,0.0,0.0
821f87fffffffff,2417.0,123.0,0.0,0.0,0.0
821f8ffffffffff,2427.0,599.0,0.0,0.0,0.0
821f97fffffffff,551.0,138.0,0.0,0.0,0.0
821f9ffffffffff,1197.0,79.0,0.0,0.0,0.0
821fa7fffffffff,1263.0,32.0,0.0,0.0,0.0
821faffffffffff,3691.0,31.0,0.0,0.0,0.0
821fb7fffffffff,660.0,71.0,0.0,0.0,0.0
82200ffffffffff,91.0,14.0,0.0,0.0,0.0
822017fffffffff,69.0,18.0,0.0,0.0,0.0
82201ffffffffff,169.0,24.0,0.0,0.0,0.0
822037fffffffff,2.0,0.0,0.0,0.0,0.0
82204ffffffffff,84.0,15.0,0.0,0.0,0.0
82205ffffffffff,37.0,14.0,0.0,0.0,0.0
82206ffffffffff,10.0,8.0,0.0,0.0,0.0
822087fffffffff,32.0,0.0,0.0,0.0,0.0
82208ffffffffff,4.0,0.0,0.0,0.0,0.0
82209ffffffffff,58.0,0.0,0.0,0.0,0.0
8220a7fffffffff,42.0,0.0,0.0,0.0,0.0
8220affffffffff,17.0,0.0,0.0,0.0,0.0
8220b7fffffffff,68.0,0.0,0.0,0.0,0.0
8220c7fffffffff,10.0,0.0,0.0,0.0,0.0
8220cffffffffff,3.0,3.0,0.0,0.0,0.0
8220e7fffffffff,334.0,75.0,0.0,0.0,0.0
8220effffffffff,21.0,0.0,0.0,0.0,0.0
8220f7fffffffff,41.0,0.0,0.0,0.0,0.0
822107fffffffff,12.0,0.0,0.0,0.0,0.0
822127fffffffff,9.0,0.0,0.0,0.0,0.0
82212ffffffffff,5.0,0.0,0.0,0.0,0.0
82214ffffffffff,11.0,0.0,0.0,0.0,0.0
822157fffffffff,125.0,32.0,0.0,0.0,0.0
822187fffffffff,5.0,0.0,0.0,0.0,0.0
82218ffffffffff,2.0,0.0,0.0,0.0,0.0
82219ffffffffff,30.0,0.0,0.0,0.0,0.0
8221a7fffffffff,2.0,0.0,0.0,0.0,0.0
822407fffffffff,10.0,0.0,0.0,0.0,0.0
82240ffffffffff,35.0,0.0,0.0,0.0,0.0
822427fffffffff,27.0,0.0,0.0,0.0,0.0
82242ffffffffff,57.0,0.0,0.0,0.0,0.0
822437fffffffff,4.0,0.0,0.0,0.0,0.0
822447fffffffff,3.0,0.0,0.0,0.0,0.0
82244ffffffffff,30.0,12.0,0.0,0.0,0.0
822457fffffffff,163.0,0.0,0.0,0.0,0.0
82245ffffffffff,2.0,0.0,0.0,0.0,0.0
822467fffffffff,146.0,0.0,0.0,0.0,0.0
82246ffffffffff,21.0,0.0,0.0,0.0,0.0
822477fffffffff,60.0,0.0,0.0,0.0,0.0
822487fffffffff,9.0,4.0,0.0,0.0,0.0
82248ffffffffff,100.0,9.0,0.0,0.0,0.0
82249ffffffffff,14.0,0.0,0.0,0.0,0.0
8224a7fffffffff,2.0,0.0,0.0,0.0,0.0
8224affffffffff,2.0,0.0,0.0,0.0,0.0
8224c7fffffffff,14.0,0.0,0.0,0.0,0.0
8224d7fffffffff,26.0,1.0,0.0,0.0,0.0
8224e7fffffffff,4.0,0.0,0.0,0.0,0.0
8224effffffffff,5.0,0.0,0.0,0.0,0.0
822507fffffffff,25.0,0.0,0.0,0.0,0.0
822517fffffffff,122.0,0.0,0.0,0.0,0.0
82251ffffffffff,4.0,0.0,0.0,0.0,0.0
822547fffffffff,35.0,0.0,0.0,0.0,0.0
822557fffffffff,2.0,0.0,0.0,0.0,0.0
82255ffffffffff,220.0,0.0,0.0,0.0,0.0
82256ffffffffff,2.0,0.0,0.0,0.0,0.0
822577fffffffff,26.0,0.0,0.0,0.0,0.0
822587fffffffff,2.0,0.0,0.0,0.0,0.0
822597fffffffff,1.0,0.0,0.0,0.0,0.0
8225a7fffffffff,37.0,7.0,0.0,0.0,0.0
8225affffffffff,17.0,0.0,0.0,0.0,0.0
8225b7fffffffff,83.0,13.0,0.0,0.0,0.0
822c07fffffffff,1037.0,22.0,0.0,0.0,0.0
